metric,value
activation_feature_count,5
allowed_next_step,Step100
boundary_motion_interface_report_pass_count,1
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
combined_runtime_geometry_wall_velocity_enabled_count,1
driver_run_called_count,1
driver_run_required,True
from_step98_duration_expansion,True
gate_source_step,Step99
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
ggui_camera_configured_count,1
ggui_render_report_pass_count,1
ggui_renderer_called_count,1
ggui_scene_created_count,1
ggui_screenshot_count,1
ggui_screenshot_exists_count,1
ggui_video_file_count,0
ggui_visualization_enabled_count,1
ggui_window_created_count,1
grid_48_enabled_count,1
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
max_lbm_max_v,0.008381160907447338
max_mpm_max_speed,0.008832728490233421
max_rho_max,1.0133136510849
min_completed_lbm_steps,5
min_diagnostics_row_count,6
min_mpm_min_J,0.9993438720703125
min_rho_min,0.9929272532463074
min_total_mpm_substeps,5
missing_required_rows,[]
only_new_dimension_from_step98,n_lbm_steps_5
optional_row_count,0
particle_npy_output_count,0
physics_feature_expansion,48cube_5step_taichi_ggui_visualization_run_only
post_gate_simulation_allowed,True
previous_step,Step99
previous_step98_n_grid,48
previous_step98_n_lbm_steps,1
procedural_geometry_enabled_count,1
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_48_5step_ggui_visual_run""]"
required_stable_count,1
row_count,1
runtime_code_changed,False
runtime_geometry_enabled_count,1
runtime_hard_fail_count,0
runtime_warning_count,0
slowest_elapsed_seconds,61.89948790000926
slowest_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_48_5step_ggui_visual_run
solver_behavior_changed,False
squid_proxy_enabled_count,1
stable_count,1
step100_48cube_5step_taichi_ggui_visualization_run_matrix_pass,True
step100_n_grid,48
step100_n_lbm_steps,5
total_elapsed_seconds,61.89948790000926
vtr_output_count,0
wall_velocity_application_report_pass_count,1
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
