metric,value
combined_runtime_geometry_wall_velocity_planned_for_step102,True
duration_expansion_from_step100,True
from_step100_duration_expansion,True
geometry_motion_application_mode_planned_for_step102,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step102,squid_proxy
ggui_interactive_window_allowed_for_step102,True
ggui_screenshot_allowed_for_step102,True
ggui_video_allowed_for_step102,False
ggui_visualization_planned_for_step102,True
grid_64_planned_for_step102,False
grid_convergence_claim_allowed,False
guard_pass_count,56
guard_row_count,56
link_area_planned_for_step102,False
particle_npy_output_planned_for_step102,False
planned_step102_activation_feature_count,5
planned_step102_n_grid,48
planned_step102_n_lbm_steps,10
previous_step100_n_grid,48
previous_step100_n_lbm_steps,5
real_geometry_candidate_data_planned_for_step102,False
real_geometry_planned_for_step102,False
row_count,56
runtime_geometry_planned_for_step102,True
squid_proxy_planned_for_step102,True
step101_48cube_10step_taichi_ggui_visualization_guard_pass,True
step101_activation_feature_count,0
step102_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_48_10step_ggui_visual_run
target_lbm_field_planned_for_step102,solid_vel
target_u_lbm_planned_for_step102,"[0.0, 0.0, 0.0]"
video_output_planned_for_step102,False
vtr_output_planned_for_step102,False
wall_velocity_application_mode_planned_for_step102,solid_vel_experimental
wall_velocity_planned_for_step102,True
write_particles_allowed_for_step102,False
write_vtk_planned_for_step102,False
