metric,value
allowed_initial_observable_count,8
comparison_level_allowed_initially,qualitative_and_diagnostic_only
current_solver_dimensionality,3D
current_solver_geometry_type,procedural_squid_proxy_or_future_procedural_proxy
current_structure_proxy,mpm_particles_or_future_duct_flap_proxy
direct_equivalence_claim_allowed,False
forbidden_initial_observable_count,5
mapping_status,intake_only
official_case_dimensionality,2D
official_mesh_type,2D conformal fluid-solid mesh
official_structure_model,linear_elasticity_intrinsic_fsi
pass_count,12
quantitative_match_claim_allowed,False
recommended_future_solver_proxy,procedural_duct_flap_proxy_not_official_mesh_import
row_count,12
step102_fluent_official_2way_fsi_mapping_guard_pass,True
validation_claim_allowed,False
