metric,value
activation_feature_count,5
combined_runtime_geometry_wall_velocity_enabled_count,1
driver_run_called_count,1
duct_flap_proxy_enabled_count,1
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
ggui_render_report_pass_count,1
ggui_renderer_called_count,1
ggui_screenshot_count,1
ggui_video_file_count,0
ggui_visualization_enabled_count,1
grid_48_enabled_count,1
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
min_completed_lbm_steps,5
min_diagnostics_row_count,6
missing_required_rows,[]
optional_row_count,0
particle_npy_output_count,0
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""fluent_inspired_duct_flap_proxy_48_5step_ggui_comparison_smoke""]"
required_stable_count,1
row_count,1
runtime_code_changed,True
runtime_geometry_enabled_count,1
runtime_hard_fail_count,0
solver_behavior_changed,False
solver_formula_changed,False
stable_count,1
step103_fluent_inspired_duct_flap_proxy_smoke_matrix_pass,True
total_elapsed_seconds,62.70982969999022
vtr_output_count,0
wall_velocity_application_report_pass_count,0
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
