step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,3.0882552071176406e-09,3.4924596548080444e-10,-2.875458537943132e-09
2,0.001,8.726506628420339e-09,9.196810535350153e-10,-7.974449545145035e-09
3,0.0015,1.6313011386159815e-08,1.5832484212552345e-09,-1.4656689195646777e-08
4,0.002,2.6546167930519005e-08,3.7369320970981335e-09,-2.3422762396307917e-08
5,0.0025,3.957854133318506e-08,7.054768769165776e-09,-3.4656842728963966e-08
6,0.003,5.5090371375854374e-08,1.1071096928105817e-08,-4.782341633813303e-08
7,0.0035,7.237624544131904e-08,1.637963542577836e-08,-6.216578185558319e-08
8,0.004,9.115765919887053e-08,2.2281893663489427e-08,-7.738126583944904e-08
9,0.0045000000000000005,1.1141147382431882e-07,2.848682889577958e-08,-9.369104958523167e-08
10,0.005,1.3317782077137963e-07,3.479653898352808e-08,-1.1089723983559452e-07
11,0.0055,1.5583964341203682e-07,4.176981960313242e-08,-1.2860401454872772e-07
12,0.006,1.7922103268119827e-07,4.962785382645052e-08,-1.462991434664218e-07
13,0.006500000000000001,2.0329311212208268e-07,5.8684964443500576e-08,-1.6372651145957207e-07
14,0.007,2.2801550869644416e-07,6.830087073694813e-08,-1.810607557217736e-07
15,0.0075,2.530882454720995e-07,7.856870354316925e-08,-1.979293386966674e-07
16,0.008,2.7813086944661336e-07,8.932547501672161e-08,-2.1392479254700447e-07
17,0.0085,3.02946517649616e-07,1.0040821507573128e-07,-2.2879103767081688e-07
18,0.009000000000000001,3.275530389146297e-07,1.1191004745114697e-07,-2.42830736851829e-07
19,0.0095,3.518987909956195e-07,1.2378441738292167e-07,-2.557179072937288e-07
20,0.01,3.7662462659682205e-07,1.367181567957232e-07,-2.674525774182257e-07
21,0.0105,4.012158569821622e-07,1.504551647713015e-07,-2.7789502610175987e-07
22,0.011,4.2531050326033437e-07,1.6480917963690445e-07,-2.868939361633238e-07
23,0.0115,4.493211065437208e-07,1.7969868792988564e-07,-2.944842094620981e-07
24,0.012,4.7331616315204883e-07,1.9504223303101753e-07,-3.0084046898082306e-07
25,0.0125,4.972549163539952e-07,2.1094456315040588e-07,-3.058812581002712e-07
26,0.013000000000000001,5.212214659877645e-07,2.2746390015981888e-07,-3.0965313158048957e-07
27,0.0135,5.452766913549567e-07,2.4458859115839005e-07,-3.1217933837979217e-07
28,0.014,5.694998321814637e-07,2.622953729769506e-07,-3.134715313990455e-07
29,0.0145,5.939151606071391e-07,2.8050271794199944e-07,-3.1387898502543976e-07
30,0.015,6.185760526022932e-07,2.9918737709522247e-07,-3.132154233753681e-07
31,0.0155,6.436150101762905e-07,3.185472507993836e-07,-3.1169039971246093e-07
32,0.016,6.690391387564887e-07,3.38442617930923e-07,-3.0938537065594574e-07
33,0.0165,6.950223792046017e-07,3.5880367477147956e-07,-3.065914029320993e-07
34,0.017,7.215018626993697e-07,3.7960708709761093e-07,-3.0344818924277206e-07
35,0.0175,7.486965500902443e-07,4.0105078369379044e-07,-2.99955729587964e-07
36,0.018000000000000002,7.764116958242084e-07,4.230532795190811e-07,-2.9628864695041557e-07
37,0.0185,8.046642960835015e-07,4.4547488187163253e-07,-2.925517037510872e-07
38,0.019,8.334564540746214e-07,4.683272152306017e-07,-2.8881478897346824e-07
39,0.0195,8.630246384200291e-07,4.916335569760122e-07,-2.853921614587307e-07
40,0.02,8.932756259127927e-07,5.153473807695264e-07,-2.822838780502934e-07
41,0.0205,9.240438885171898e-07,5.394453523877019e-07,-2.7954811798736046e-07
42,0.021,9.55456926021725e-07,5.640671929540986e-07,-2.7719653417079826e-07
43,0.021500000000000002,9.873305089058704e-07,5.890382794859761e-07,-2.7546192882255127e-07
44,0.022,1.0197890105700935e-06,6.145564839243889e-07,-2.74181360282455e-07
45,0.0225,1.052727611750015e-06,6.405404064935283e-07,-2.7334317564964294e-07
46,0.023,1.0862023600566317e-06,6.670830998700694e-07,-2.7304051286591857e-07
47,0.0235,1.1200751259821118e-06,6.939750392120914e-07,-2.733315511704859e-07
48,0.024,1.1543505706868018e-06,7.212744321805076e-07,-2.740765978614945e-07
49,0.0245,1.1890015230164863e-06,7.49097694097145e-07,-2.751825434188504e-07
50,0.025,1.2240916476002894e-06,7.772818548801297e-07,-2.766842897017341e-07
