extension,forbidden,pass,path,size_bytes
.md,False,True,benchmarks/public/fluent_fsi_2way_digitized/figure_29_4_digitization_notes.md,595
.csv,False,True,benchmarks/public/fluent_fsi_2way_digitized/figure_29_4_structural_point_flap_digitized.csv,4096
.json,False,True,configs/step107_artifact_manifest_policy.json,264
.json,False,True,configs/step107_digitization_policy.json,817
.json,False,True,configs/step107_error_metric_policy.json,587
.json,False,True,configs/step107_output_guard_policy.json,1258
.json,False,True,configs/step107_public_fluent_reference_metadata.json,1088
.log,False,True,logs/step107_artifact_manifest.log,64
.log,False,True,logs/step107_error_comparison_harness.log,129
.log,False,True,logs/step107_output_guard.log,50
.log,False,True,logs/step107_public_reference_digitization.log,208
.csv,False,True,outputs/step107_error_comparison/error_report.csv,728
.json,False,True,outputs/step107_error_comparison/error_report.json,1264
.md,False,True,outputs/step107_error_comparison/error_report.md,1179
.csv,False,True,outputs/step107_error_comparison/error_summary.csv,191
.json,False,True,outputs/step107_public_reference_digitization/digitization_quality_report.json,936
.csv,False,True,outputs/step107_public_reference_digitization/digitization_quality_summary.csv,829
.csv,False,True,outputs/step107_public_reference_digitization/figure_29_4_digitized_reference.csv,4096
.json,False,True,outputs/step107_public_reference_digitization/public_reference_metadata.json,1115
