step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.7776975000160746
1,1,moving_boundary,0.9999998807907104,1.0290641784667969,0.020020755007863045,0.010759970173239708,0.0016451046103611588,0.0108605045825243,1.1061990335292649e-05,0.9999964237213135,9.52731934376061e-05,0.5214123129844666,224,0.0,0.4163241386413574,11466,0.0,1024,4.210937549942173e-05,44.32858070000657
2,2,moving_boundary,0.9999998211860657,1.0204991102218628,0.02874317206442356,0.01295397337526083,0.0020696655847132206,0.013061794452369213,2.1187952370382845e-05,0.9999945163726807,0.00019913433061446995,0.5214123129844666,224,0.0,0.4116634726524353,11466,5.3967155189127425e-09,1024,4.210938641335815e-05,44.561500400013756
3,3,moving_boundary,0.9999998807907104,1.0201787948608398,0.02692188136279583,0.012256973423063755,0.0019217345397919416,0.012362753972411156,3.068715159315616e-05,0.9999960064888,0.00030739797512069345,0.521412193775177,224,0.0,0.4117065966129303,11466,1.0840032871328731e-08,1024,4.210939005133696e-05,44.73899280000478
4,4,moving_boundary,0.9999998211860657,1.0207760334014893,0.026953309774398804,0.012313446961343288,0.0019592486787587404,0.01241784542798996,3.971660044044256e-05,0.9999971389770508,0.000382517057005316,0.5214122533798218,224,0.0,0.41178181767463684,11466,1.687482331647061e-08,1024,4.210940460325219e-05,44.92008350000833
5,5,moving_boundary,0.9999998211860657,1.0206913948059082,0.027038849890232086,0.012340876273810863,0.001961995381861925,0.012445583939552307,4.8332538426620886e-05,0.9999966621398926,0.00044987580622546375,0.5214124321937561,224,0.0,0.4117485284805298,11466,2.1940246952567577e-08,1024,4.210942279314622e-05,45.09795920000761
6,6,moving_boundary,0.9999998211860657,1.0206810235977173,0.02701755240559578,0.012333598919212818,0.0019599252846091986,0.012438326142728329,5.65602422284428e-05,0.9999952912330627,0.00052104756468907,0.5214123725891113,224,0.0,0.4117494523525238,11466,2.5917515245055256e-08,1024,4.2109444621019065e-05,45.27610710001318
7,7,moving_boundary,0.9999998211860657,1.0206869840621948,0.027014747262001038,0.01233390998095274,0.0019603306427598,0.012438629753887653,6.440776633098722e-05,0.9999946355819702,0.0005845719133503735,0.5214123725891113,224,0.0,0.4117499589920044,11466,2.9639448229090704e-08,1024,4.210946644889191e-05,45.45430840001791
8,8,moving_boundary,0.9999997615814209,1.0206862688064575,0.027013616636395454,0.012334255501627922,0.001960348105058074,0.012438974343240261,7.188103336375207e-05,0.9999949932098389,0.0006323428242467344,0.5214122533798218,224,0.0,0.41174912452697754,11466,3.340365850590388e-08,1024,4.210948827676475e-05,45.62903660000302
9,9,moving_boundary,0.9999998807907104,1.0206862688064575,0.027011945843696594,0.012334204278886318,0.001960247755050659,0.012438942678272724,7.898826152086258e-05,0.9999954104423523,0.0006657976191490889,0.5214123725891113,224,0.0,0.4117489457130432,11466,3.649470059485793e-08,1024,4.210951738059521e-05,45.811264799995115
10,10,moving_boundary,0.9999998807907104,1.020686388015747,0.027010861784219742,0.01233418844640255,0.0019601350650191307,0.01243892777711153,8.574123057769611e-05,0.9999950528144836,0.0006858920096419752,0.5214124321937561,224,0.0,0.411749005317688,11466,3.834293949012135e-08,1024,4.2109546484425664e-05,45.99346890000743
11,11,moving_boundary,0.9999997615814209,1.0206862688064575,0.02701028250157833,0.012334202416241169,0.001960030058398843,0.012438952922821045,9.215363388648257e-05,0.9999943375587463,0.0006972267292439938,0.5214123725891113,224,0.0,0.41174909472465515,11466,3.917856972179834e-08,1024,4.210957922623493e-05,46.17394730000524
