official_step,completed_lbm_substeps,time_s,inlet_mean_ux,inlet_max_ux,mid_mean_ux,mid_max_ux,outlet_mean_ux,outlet_max_ux,outlet_to_mid_mean_ux_ratio,outlet_to_inlet_mean_ux_ratio,rho_min,rho_max,mass_total,has_nan,has_inf
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3840.0,False,False
1,120,0.0005,0.02000000700354576,0.020000005140900612,0.008910303935408592,0.013167425990104675,0.013613778166472912,0.018148383125662804,1.527869112564524,0.6806886699619331,0.9999997615814209,1.0282245874404907,3907.39404296875,False,False
2,240,0.001,0.02000000700354576,0.020000005140900612,0.012843267992138863,0.019674036651849747,0.013794571161270142,0.019474036991596222,1.0740701797792862,0.6897283165363157,0.9999998807907104,1.0194919109344482,3878.9326171875,False,False
3,360,0.0015,0.02000000700354576,0.020000005140900612,0.01217216718941927,0.01888830028474331,0.012216036207973957,0.01746448315680027,1.0036040433779796,0.6108015965098512,0.9999998807907104,1.0195003747940063,3879.52587890625,False,False
4,480,0.002,0.02000000700354576,0.020000005140900612,0.012285999022424221,0.019076168537139893,0.012409533374011517,0.01774665154516697,1.0100548886062763,0.6204764514238148,0.9999998211860657,1.02000892162323,3880.644775390625,False,False
5,600,0.0025,0.02000000700354576,0.020000005140900612,0.012311721220612526,0.019153038039803505,0.012421811930835247,0.017789246514439583,1.008941943067912,0.6210903790500177,0.9999998211860657,1.0198887586593628,3880.30859375,False,False
6,720,0.003,0.02000000700354576,0.020000005140900612,0.012302379123866558,0.019151484593749046,0.01240539737045765,0.017772596329450607,1.00837384749355,0.6202696513185381,0.9999998211860657,1.019887924194336,3880.3173828125,False,False
7,840,0.0035,0.02000000700354576,0.020000005140900612,0.012305546551942825,0.01915961690247059,0.012409361079335213,0.017779719084501266,1.008436401175208,0.6204678366930163,0.9999998807907104,1.0198941230773926,3880.331298828125,False,False
8,960,0.004,0.02000000700354576,0.020000005140900612,0.012307901866734028,0.019164005294442177,0.012411537580192089,0.017783179879188538,1.0084202583494892,0.620576661697752,0.9999998807907104,1.019892692565918,3880.3271484375,False,False
9,1080,0.0045000000000000005,0.02000000700354576,0.020000005140900612,0.012309523299336433,0.019166097044944763,0.012413271702826023,0.017785126343369484,1.0084283039210122,0.6206633677990863,0.9999998211860657,1.0198925733566284,3880.3271484375,False,False
10,1200,0.005,0.02000000700354576,0.020000005140900612,0.012310833670198917,0.019167259335517883,0.01241440512239933,0.01778591424226761,1.0084130331848387,0.6207200387579067,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
11,1320,0.0055,0.02000000700354576,0.020000005140900612,0.012311778031289577,0.0191679485142231,0.012414632365107536,0.017785407602787018,1.008354141339826,0.6207314008893382,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
12,1440,0.006,0.02000000700354576,0.020000005140900612,0.012312418781220913,0.019168250262737274,0.012414134107530117,0.017784329131245613,1.0082611977481095,0.6207064880191911,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
13,1560,0.006500000000000001,0.02000000700354576,0.020000005140900612,0.012312857434153557,0.019168414175510406,0.012413231655955315,0.0177827887237072,1.0081519844064253,0.620661365456252,0.9999999403953552,1.019892692565918,3880.327392578125,False,False
14,1680,0.007,0.02000000700354576,0.020000005140900612,0.012313184328377247,0.01916848123073578,0.012412144802510738,0.017781469970941544,1.0080369522208341,0.6206070228030527,0.9999998807907104,1.0198925733566284,3880.3271484375,False,False
15,1800,0.0075,0.02000000700354576,0.020000005140900612,0.012313403189182281,0.01916855201125145,0.012411168776452541,0.017780359834432602,1.0079397698400836,0.620558221517232,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
16,1920,0.008,0.02000000700354576,0.020000005140900612,0.012313557788729668,0.019168654456734657,0.012410293333232403,0.017779501155018806,1.0078560190452246,0.6205144493715531,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
17,2040,0.0085,0.02000000700354576,0.020000005140900612,0.012313666753470898,0.019168632104992867,0.012409585528075695,0.017778964713215828,1.0077896191707283,0.6204790591261106,0.9999998807907104,1.0198923349380493,3880.327392578125,False,False
18,2160,0.009000000000000001,0.02000000700354576,0.020000005140900612,0.012313740327954292,0.019168680533766747,0.012409038841724396,0.01777862012386322,1.0077392011876163,0.6204517248181174,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
19,2280,0.0095,0.02000000700354576,0.020000005140900612,0.012313795275986195,0.019168665632605553,0.012408584356307983,0.017778335139155388,1.0076977956996445,0.6204290005552543,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
20,2400,0.01,0.02000000700354576,0.020000005140900612,0.012313841842114925,0.019168730825185776,0.012408247217535973,0.01777811534702778,1.0076666061357202,0.6204121436225567,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
21,2520,0.0105,0.02000000700354576,0.020000005140900612,0.012313878163695335,0.01916872151196003,0.012407924979925156,0.017777934670448303,1.0076374652225402,0.6203960317476579,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
22,2640,0.011,0.02000000700354576,0.020000005140900612,0.012313872575759888,0.01916874572634697,0.01240763533860445,0.01777777448296547,1.0076144009342063,0.6203815496866939,0.9999998807907104,1.0198925733566284,3880.3271484375,False,False
23,2760,0.0115,0.02000000700354576,0.020000005140900612,0.012313904240727425,0.01916872337460518,0.012407536618411541,0.017777753993868828,1.0076037929038326,0.620376613678777,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
24,2880,0.012,0.02000000700354576,0.020000005140900612,0.012313907966017723,0.019168738275766373,0.012407459318637848,0.017777731642127037,1.007597210640058,0.6203727486914457,0.9999998807907104,1.0198924541473389,3880.3271484375,False,False
25,3000,0.0125,0.02000000700354576,0.020000005140900612,0.012313904240727425,0.019168775528669357,0.012407330796122551,0.017777733504772186,1.0075870782790501,0.6203663225679311,0.9999998211860657,1.0198923349380493,3880.327392578125,False,False
26,3120,0.013000000000000001,0.02000000700354576,0.020000005140900612,0.01231392752379179,0.019168732687830925,0.012407268397510052,0.017777713015675545,1.0075801058222826,0.6203632026383987,0.9999998211860657,1.0198925733566284,3880.32763671875,False,False
27,3240,0.0135,0.02000000700354576,0.020000005140900612,0.012313926592469215,0.019168777391314507,0.012407236732542515,0.017777688801288605,1.0075776105511596,0.6203616193905762,0.9999998807907104,1.0198924541473389,3880.32763671875,False,False
28,3360,0.014,0.02000000700354576,0.020000005140900612,0.012313940562307835,0.01916876994073391,0.012407169677317142,0.017777670174837112,1.007571022008558,0.6203582666304817,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
29,3480,0.0145,0.02000000700354576,0.020000005140900612,0.01231393776834011,0.019168738275766373,0.012407122179865837,0.017777660861611366,1.007567393410523,0.6203558917587481,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
30,3600,0.015,0.02000000700354576,0.020000005140900612,0.012313926592469215,0.01916876994073391,0.01240713894367218,0.01777769811451435,1.007569669228008,0.6203567299487717,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
31,3720,0.0155,0.02000000700354576,0.020000005140900612,0.012313945218920708,0.019168855622410774,0.012407111003994942,0.0177776962518692,1.0075658762011612,0.6203553329653989,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
32,3840,0.016,0.02000000700354576,0.020000005140900612,0.012313909828662872,0.019168782979249954,0.012407098896801472,0.017777716740965843,1.0075677887393397,0.6203547276059375,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
33,3960,0.0165,0.02000000700354576,0.020000005140900612,0.01231388933956623,0.019168751314282417,0.012407063506543636,0.01777769811451435,1.0075665912213474,0.6203529580936653,0.9999998807907104,1.0198928117752075,3880.327392578125,False,False
34,4080,0.017,0.02000000700354576,0.020000005140900612,0.01231394149363041,0.019168779253959656,0.012407037429511547,0.017777688801288605,1.0075602061232216,0.6203516542425175,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
35,4200,0.0175,0.02000000700354576,0.020000005140900612,0.012313920073211193,0.01916879042983055,0.01240701973438263,0.017777636647224426,1.0075605218011747,0.6203507694863813,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
36,4320,0.018000000000000002,0.02000000700354576,0.020000005140900612,0.012313909828662872,0.01916881836950779,0.01240701787173748,0.01777762733399868,1.0075612087769135,0.6203506763541565,0.9999998807907104,1.0198924541473389,3880.327392578125,False,False
37,4440,0.0185,0.02000000700354576,0.020000005140900612,0.01231393963098526,0.019168749451637268,0.012407016940414906,0.017777636647224426,1.0075586946354225,0.6203506297880441,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
38,4560,0.019,0.02000000700354576,0.020000005140900612,0.01231393776834011,0.019168773666024208,0.012407056987285614,0.017777632921934128,1.0075620991998935,0.6203526321308783,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
39,4680,0.0195,0.02000000700354576,0.020000005140900612,0.012313914485275745,0.01916876621544361,0.012407038360834122,0.017777692526578903,1.0075624916568755,0.6203517008086299,0.9999998211860657,1.0198924541473389,3880.327392578125,False,False
40,4800,0.02,0.02000000700354576,0.020000005140900612,0.012313907966017723,0.01916874572634697,0.012407049536705017,0.01777762733399868,1.0075639326641335,0.6203522596019789,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
41,4920,0.0205,0.02000000700354576,0.020000005140900612,0.012313912622630596,0.019168797880411148,0.01240709237754345,0.017777711153030396,1.007567030704896,0.6203544016431505,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
42,5040,0.021,0.02000000700354576,0.020000005140900612,0.012313912622630596,0.019168728962540627,0.012407064437866211,0.01777763105928898,1.0075647617528503,0.6203530046597777,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
43,5160,0.021500000000000002,0.02000000700354576,0.020000005140900612,0.012313907034695148,0.019168755039572716,0.012407081201672554,0.01777765341103077,1.0075665803481284,0.6203538428498013,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
44,5280,0.022,0.02000000700354576,0.020000005140900612,0.012313926592469215,0.0191687922924757,0.012407099828124046,0.0177776999771595,1.0075664926987475,0.6203547741720499,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
45,5400,0.0225,0.02000000700354576,0.020000005140900612,0.012313926592469215,0.01916882023215294,0.012407134287059307,0.017777709290385246,1.0075692910697627,0.6203564971182096,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
46,5520,0.023,0.02000000700354576,0.020000005140900612,0.012313928455114365,0.019168781116604805,0.012407144531607628,0.017777765169739723,1.0075699706095456,0.6203570093454462,0.9999998807907104,1.019892692565918,3880.327392578125,False,False
47,5640,0.0235,0.02000000700354576,0.020000005140900612,0.012313878163695335,0.01916871778666973,0.01240712683647871,0.01777767948806286,1.0075726486443806,0.6203561245893102,0.9999998807907104,1.0198925733566284,3880.327392578125,False,False
