step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,3.271405830673757e-07,6.426125764846802e-08,-2.9737131512774795e-07
2,0.001,9.80712457021582e-07,1.9350555646724388e-07,-8.908799031814851e-07
3,0.0015,1.9581693777581677e-06,3.8816361325189064e-07,-1.777440843397926e-06
4,0.002,3.2563409604335902e-06,6.492482498288155e-07,-2.9530260690080468e-06
5,0.0025,4.871548753726529e-06,9.773532383405836e-07,-4.412932412378723e-06
6,0.003,6.799275524826953e-06,1.3732235402130755e-06,-6.151723482616944e-06
7,0.0035,9.03492582438048e-06,1.837569357121538e-06,-8.163752681866754e-06
8,0.004,1.1573417395993602e-05,2.3707632408331847e-06,-1.0443094652146101e-05
9,0.0045000000000000005,1.4409483810595702e-05,2.973154323626659e-06,-1.2983475244254805e-05
10,0.005,1.7537899111630395e-05,3.645149945441517e-06,-1.5778712622704916e-05
11,0.0055,2.0952977138222195e-05,4.387053195387125e-06,-1.88222747965483e-05
12,0.006,2.464921271894127e-05,5.199131464905804e-06,-2.210773527622223e-05
13,0.006500000000000001,2.8621090677916072e-05,6.081338597141439e-06,-2.5628600269556046e-05
14,0.007,3.28630703734234e-05,7.033790552668506e-06,-2.9378546969383024e-05
15,0.0075,3.736983489943668e-05,8.056883416429628e-06,-3.335126893944107e-05
16,0.008,4.213608190184459e-05,9.150326150120236e-06,-3.7540765333687887e-05
17,0.0085,4.715695831691846e-05,1.031424653774593e-05,-4.194123903289437e-05
18,0.009000000000000001,5.242771658231504e-05,1.154864457930671e-05,-4.654724762076512e-05
19,0.0095,5.794409298687242e-05,1.2853567568527069e-05,-5.135379251441918e-05
20,0.01,6.370199116645381e-05,1.422852528776275e-05,-5.6356042478000745e-05
21,0.0105,6.96977658662945e-05,1.5673635061830282e-05,-6.154972652439028e-05
22,0.011,7.59280301281251e-05,1.718878047540784e-05,-6.693098839605227e-05
23,0.0115,8.238985174102709e-05,1.8773671399685554e-05,-7.249635382322595e-05
24,0.012,8.908098971005529e-05,2.0428142306627706e-05,-7.824302156222984e-05
25,0.0125,9.599906479706988e-05,2.2151973098516464e-05,-8.41683940961957e-05
26,0.013000000000000001,0.00010314242535969242,2.3944781787577085e-05,-9.027044143294916e-05
27,0.0135,0.0001105094634112902,2.580605178081896e-05,-9.654743189457804e-05
28,0.014,0.00011809944408014417,2.773573032754939e-05,-0.00010299835412297398
29,0.0145,0.0001259111741092056,2.973306800413411e-05,-0.00010962200030917302
30,0.015,0.0001339442969765514,3.1798030249774456e-05,-0.0001164179338957183
31,0.0155,0.00014219825970940292,3.39300386258401e-05,-0.0001233856164617464
32,0.016,0.00015067278582137078,3.612886575865559e-05,-0.0001305249606957659
33,0.0165,0.00015936768613755703,3.839340206468478e-05,-0.00013783601752948016
34,0.017,0.00016828288789838552,4.072393130627461e-05,-0.0001453185686841607
35,0.0175,0.0001774183620000258,4.31196422141511e-05,-0.00015297287609428167
36,0.018000000000000002,0.00018677381740417331,4.557984721031971e-05,-0.00016079893975984305
37,0.0185,0.00019634916679933667,4.8104149755090475e-05,-0.0001687968906480819
38,0.019,0.00020614376990124583,5.069159669801593e-05,-0.00017696623399388045
39,0.0195,0.00021615719015244395,5.334201341611333e-05,-0.00018530679517425597
40,0.02,0.00022638848167844117,5.6054373999359086e-05,-0.00019381786114536226
41,0.0205,0.00023683675681240857,5.8828260080190375e-05,-0.00020249861699994653
42,0.021,0.00024750063312239945,6.16630059084855e-05,-0.00021134782582521439
43,0.021500000000000002,0.00025837848079390824,6.455803668359295e-05,-0.00022036406153347343
44,0.022,0.00026946846628561616,6.75123228575103e-05,-0.0002295455924468115
45,0.0225,0.0002807679120451212,7.052502041915432e-05,-0.00023888969735708088
46,0.023,0.0002922746352851391,7.359578012255952e-05,-0.0002483941207174212
47,0.0235,0.000303985842037946,7.672375068068504e-05,-0.00025805598124861717
48,0.024,0.00031589806894771755,7.990792073542252e-05,-0.0002678717428352684
49,0.0245,0.0003280074743088335,8.314746810356155e-05,-0.0002778374182526022
50,0.025,0.00034031085669994354,8.644194895168766e-05,-0.00028794948593713343
