step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.6744415999855846
1,1,moving_boundary,0.9999998807907104,1.0290641784667969,0.020020755007863045,0.010759970173239708,0.0016451046103611588,0.0108605045825243,1.1061990335292649e-05,0.9999964237213135,9.52731934376061e-05,0.5214123129844666,224,0.0,0.4163241386413574,11466,0.0,1024,4.210937549942173e-05,60.830450699984794
2,2,moving_boundary,0.9999998211860657,1.0204991102218628,0.02874317206442356,0.01295397337526083,0.0020696655847132206,0.013061794452369213,2.1187368474784307e-05,0.9999945759773254,0.00019921288185287267,0.5214122533798218,224,0.0,0.4116634726524353,11466,5.3967155189127425e-09,1024,4.2109382775379345e-05,61.02581609998015
3,3,moving_boundary,0.9999998807907104,1.0201787948608398,0.02692188136279583,0.012256973423063755,0.0019217345397919416,0.012362753972411156,3.068597288802266e-05,0.9999960064888,0.00030717308982275426,0.5214123129844666,224,0.0,0.4117065668106079,11466,1.0839480424351677e-08,1024,4.210939005133696e-05,61.215588399994886
4,4,moving_boundary,0.9999998211860657,1.0207760334014893,0.026953309774398804,0.012313446961343288,0.0019592486787587404,0.01241784542798996,3.971565092797391e-05,0.9999971985816956,0.0003825231979135424,0.5214124321937561,224,0.0,0.41178181767463684,11466,1.6868243690737472e-08,1024,4.2109408241230994e-05,61.40415039999061
5,5,moving_boundary,0.9999998211860657,1.0206913948059082,0.027038849890232086,0.012340876273810863,0.001961995381861925,0.012445583939552307,4.833319326280616e-05,0.9999967217445374,0.0004499147180467844,0.5214123725891113,224,0.0,0.4117485284805298,11466,2.193635850744613e-08,1024,4.210942643112503e-05,61.59154470000067
6,6,moving_boundary,0.9999998211860657,1.0206811428070068,0.02701747603714466,0.01233359333127737,0.001959927612915635,0.012438318692147732,5.655999848386273e-05,0.9999953508377075,0.0005207950598560274,0.5214123129844666,224,0.0,0.4117492735385895,11466,2.5917644919104532e-08,1024,4.210943734506145e-05,61.77806889999192
7,7,moving_boundary,0.9999998807907104,1.0206868648529053,0.027014825493097305,0.012333915568888187,0.0019603329710662365,0.012438630685210228,6.440671131713316e-05,0.999994695186615,0.0005843169637955725,0.5214124321937561,224,0.0,0.4117499589920044,11466,2.963809464517908e-08,1024,4.210946644889191e-05,61.96202199999243
8,8,moving_boundary,0.9999997615814209,1.0206867456436157,0.027013733983039856,0.012334255501627922,0.0019603529945015907,0.012438973411917686,7.188016752479598e-05,0.9999950528144836,0.0006326527218334377,0.5214122533798218,224,0.0,0.41174909472465515,11466,3.340032606047316e-08,1024,4.210948827676475e-05,62.15435419999994
9,9,moving_boundary,0.9999998211860657,1.0206862688064575,0.027012009173631668,0.012334203347563744,0.0019602517131716013,0.012438939884305,7.898823241703212e-05,0.9999953508377075,0.0006657236372120678,0.5214123129844666,224,0.0,0.4117489457130432,11466,3.6503308820101665e-08,1024,4.2109521018574014e-05,62.35854339998332
10,10,moving_boundary,0.9999998807907104,1.020686388015747,0.02701089344918728,0.012334182858467102,0.0019601413514465094,0.012438920326530933,8.574136154493317e-05,0.9999949336051941,0.0006861994625069201,0.5214122533798218,224,0.0,0.4117490351200104,11466,3.83484781707466e-08,1024,4.2109546484425664e-05,62.54423199998564
11,11,moving_boundary,0.9999997615814209,1.0206866264343262,0.027010228484869003,0.012334206141531467,0.001960033318027854,0.012438957579433918,9.215351747116074e-05,0.9999942183494568,0.0006973675917834044,0.5214123129844666,224,0.0,0.41174906492233276,11466,3.918378510547882e-08,1024,4.210957922623493e-05,62.729690899985144
12,12,moving_boundary,0.9999998807907104,1.0206868648529053,0.027009695768356323,0.012334173545241356,0.0019599052611738443,0.01243892777711153,9.823769505601376e-05,0.9999939799308777,0.0007016294985078275,0.5214124917984009,224,0.0,0.4117492437362671,11466,3.958683336691138e-08,1024,4.2109615606023e-05,62.91489279997768
13,13,moving_boundary,0.9999998807907104,1.0206865072250366,0.027009323239326477,0.012334194965660572,0.0019597772043198347,0.01243895199149847,0.00010401164763607085,0.9999942183494568,0.0006959223537705839,0.5214122533798218,224,0.0,0.41174939274787903,11466,3.962547623359569e-08,1024,4.2109644709853455e-05,63.10370829998283
14,14,moving_boundary,0.9999998807907104,1.0206860303878784,0.02700897864997387,0.012334167957305908,0.001959659159183502,0.012438932433724403,0.00010949539137072861,0.9999937415122986,0.0006807997706346214,0.5214123725891113,224,0.0,0.41174960136413574,11466,3.894364297707398e-08,1024,4.210967381368391e-05,63.303128599975025
15,15,moving_boundary,0.9999998211860657,1.020686388015747,0.0270089041441679,0.012334147468209267,0.0019595567137002945,0.01243891753256321,0.00011471504694782197,0.999992847442627,0.0006572789861820638,0.5214124321937561,224,0.0,0.4117496907711029,11466,3.7447719591909845e-08,1024,4.2109706555493176e-05,63.4921786999912
16,16,moving_boundary,0.9999998211860657,1.020686149597168,0.027008719742298126,0.012334139086306095,0.0019594579935073853,0.012438911944627762,0.00011969644401688129,0.9999918937683105,0.0006326591828837991,0.5214123725891113,224,0.0,0.4117499887943268,11466,3.539838644428528e-08,1024,4.2109732021344826e-05,63.67807109997375
17,17,moving_boundary,0.9999997615814209,1.0206860303878784,0.02700861357152462,0.01233414001762867,0.0019593769684433937,0.012438912875950336,0.00012446146865841,0.9999908804893494,0.0006071479292586446,0.5214123725891113,224,0.0,0.41175004839897156,11466,3.316903729455589e-08,1024,4.210976112517528e-05,63.86584879999282
18,18,moving_boundary,0.9999997615814209,1.0206862688064575,0.027008552104234695,0.012334160506725311,0.0019593052566051483,0.012438937090337276,0.00012903480092063546,0.9999898672103882,0.0005781258805654943,0.5214125514030457,224,0.0,0.4117502272129059,11466,3.089183309157306e-08,1024,4.210979022900574e-05,64.0522908999992
19,19,moving_boundary,0.9999998807907104,1.020686388015747,0.0270084235817194,0.01233415212482214,0.0019592363387346268,0.012438930571079254,0.00013344237231649458,0.9999889731407166,0.0005951967905275524,0.5214124321937561,224,0.0,0.4117503762245178,11466,2.84099463954135e-08,1024,4.2109819332836196e-05,64.24294139997801
20,20,moving_boundary,0.9999998211860657,1.020686388015747,0.027008362114429474,0.012334137223660946,0.0019591886084526777,0.012438919395208359,0.00013771257363259792,0.9999881386756897,0.0006430477951653302,0.5214123725891113,224,0.0,0.411750465631485,11466,3.056733532957878e-08,1024,4.2109833884751424e-05,64.43206139997346
21,21,moving_boundary,0.9999998211860657,1.020686149597168,0.027008311823010445,0.012334154918789864,0.001959130633622408,0.012438940815627575,0.00014186857151798904,0.9999872446060181,0.000692596600856632,0.5214123725891113,224,0.0,0.4117506444454193,11466,3.484117527818853e-08,1024,4.210985207464546e-05,64.61785979999695
22,22,moving_boundary,0.9999998211860657,1.020686388015747,0.027008213102817535,0.012334139086306095,0.0019590919837355614,0.012438928708434105,0.00014593134983442724,0.9999864101409912,0.000740588060580194,0.5214123129844666,224,0.0,0.41175079345703125,11466,3.8843804617272326e-08,1024,4.2109870264539495e-05,64.80360009998549
23,23,moving_boundary,0.9999998211860657,1.020686149597168,0.027008261531591415,0.012334142811596394,0.001959059154614806,0.012438933365046978,0.0001499229547334835,0.9999856352806091,0.0007857797318138182,0.5214123129844666,224,0.0,0.4117506742477417,11466,4.234677675185594e-08,1024,4.210988845443353e-05,64.9863151999889
24,24,moving_boundary,0.9999998807907104,1.0206865072250366,0.02700825221836567,0.012334139086306095,0.0019590293522924185,0.012438931502401829,0.00015386070299427956,0.999984860420227,0.0008284500217996538,0.5214122533798218,224,0.0,0.4117507040500641,11466,4.530752306663999e-08,1024,4.210990300634876e-05,65.17087589998846
25,25,moving_boundary,0.9999998807907104,1.0206866264343262,0.027008257806301117,0.012334153056144714,0.0019590072333812714,0.012438947334885597,0.00015776260988786817,0.9999841451644897,0.0008661134052090347,0.5214124321937561,224,0.0,0.41175082325935364,11466,4.786348384300254e-08,1024,4.210991028230637e-05,65.36043019997305
26,26,moving_boundary,0.9999998807907104,1.020686388015747,0.027008168399333954,0.012334149330854416,0.0019589911680668592,0.012438939884305,0.0001616423251107335,0.999983549118042,0.0008979225531220436,0.5214123725891113,224,0.0,0.4117508828639984,11466,4.9838003945978926e-08,1024,4.21099248342216e-05,65.54795469998498
27,27,moving_boundary,0.9999998807907104,1.020686388015747,0.027008160948753357,0.012334153987467289,0.0019589790608733892,0.012438944540917873,0.00016550984582863748,0.9999828934669495,0.0009252001182176173,0.5214123725891113,224,0.0,0.4117508828639984,11466,5.112177703381349e-08,1024,4.210993574815802e-05,65.73519279999891
28,28,moving_boundary,0.9999998807907104,1.0206862688064575,0.027008192613720894,0.012334163300693035,0.0019589606672525406,0.012438954785466194,0.00016937269538175315,0.9999824166297913,0.0009468611679039896,0.5214123725891113,224,0.0,0.4117509722709656,11466,5.200653419024093e-08,1024,4.210993574815802e-05,65.92008189999615
29,29,moving_boundary,0.9999998211860657,1.020686149597168,0.027008188888430595,0.012334165163338184,0.001958958338946104,0.012438957579433918,0.00017323734937235713,0.9999819397926331,0.0009620635537430644,0.5214123725891113,224,0.0,0.41175103187561035,11466,5.238066336232805e-08,1024,4.210993938613683e-05,66.10725009997259
30,30,moving_boundary,0.9999998211860657,1.0206866264343262,0.02700812742114067,0.012334163300693035,0.0019589453004300594,0.012438957579433918,0.00017710811516735703,0.9999815821647644,0.0009803754510357976,0.5214123129844666,224,0.0,0.41175100207328796,11466,5.213598441855538e-08,1024,4.210993938613683e-05,66.29264449997572
31,31,moving_boundary,0.9999998807907104,1.020686388015747,0.02700810134410858,0.012334163300693035,0.001958937384188175,0.012438957579433918,0.00018098505097441375,0.9999812245368958,0.00099856685847044,0.5214122533798218,224,0.0,0.4117509722709656,11466,5.1476021667440364e-08,1024,4.210994302411564e-05,66.48046469999827
32,32,moving_boundary,0.9999998211860657,1.020686388015747,0.02700810879468918,0.012334157712757587,0.0019589350558817387,0.012438951060175896,0.00018486591579858214,0.9999805688858032,0.0010090599535033107,0.5214123725891113,224,0.0,0.41175106167793274,11466,5.0523048855666275e-08,1024,4.210994302411564e-05,66.67160069997772
33,33,moving_boundary,0.9999998807907104,1.0206862688064575,0.027008136734366417,0.012334157712757587,0.0019589285366237164,0.012438951060175896,0.00018875075329560786,0.9999799132347107,0.0010145397391170263,0.5214123129844666,224,0.0,0.41175106167793274,11466,4.908923401103493e-08,1024,4.210993938613683e-05,66.86181379997288
