step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.747263199998997
1,1,moving_boundary,0.9999998807907104,1.0290641784667969,0.020020755007863045,0.010759970173239708,0.0016451046103611588,0.0108605045825243,0.0011061994591727853,0.9996411204338074,0.009527320973575115,0.5214121341705322,224,0.0,0.4163241386413574,11466,0.0,1024,0.0042109377682209015,128.55546889998368
2,2,moving_boundary,0.9999997615814209,1.020498275756836,0.02874269336462021,0.012953827157616615,0.0020692716352641582,0.013061653822660446,0.002118668518960476,0.9994610548019409,0.019900353625416756,0.5214122533798218,224,0.0,0.4116634130477905,11466,5.396626647780067e-07,1024,0.004211003426462412,128.7665946999914
3,3,moving_boundary,0.9999998211860657,1.020177960395813,0.026920899748802185,0.012256639078259468,0.001920642564073205,0.012362414039671421,0.0030681821517646313,0.9995906352996826,0.03065323643386364,0.5214124321937561,224,0.0,0.41170626878738403,11466,1.081240839084785e-06,1024,0.004211105406284332,128.9571062999894
4,4,moving_boundary,0.9999998211860657,1.0207741260528564,0.026951979845762253,0.01231300551444292,0.0019571033772081137,0.012417391873896122,0.003970052115619183,0.9997086524963379,0.03823215886950493,0.5214124321937561,224,0.0,0.411781370639801,11466,1.6863899645613856e-06,1024,0.004211226478219032,129.1481520999805
5,5,moving_boundary,0.9999998807907104,1.0206897258758545,0.027037296444177628,0.012340296059846878,0.001958513166755438,0.012444984167814255,0.004829821176826954,0.9996606707572937,0.044985581189394,0.5214122533798218,224,0.0,0.4117479622364044,11466,2.1933612970315153e-06,1024,0.004211376886814833,129.3409668999957
6,6,moving_boundary,0.9999998807907104,1.020679235458374,0.027015622705221176,0.012332938611507416,0.0019547808915376663,0.012437650002539158,0.005649859551340342,0.9995291829109192,0.052068546414375305,0.521412193775177,224,0.0,0.4117487072944641,11466,2.589166797406506e-06,1024,0.004211569204926491,129.53221229999326
7,7,moving_boundary,0.9999998807907104,1.0206849575042725,0.027012715116143227,0.01233319565653801,0.0019532826263457537,0.012437895871698856,0.006431139074265957,0.9994670748710632,0.05845623090863228,0.5214121341705322,224,0.0,0.4117492735385895,11466,2.9614009235956473e-06,1024,0.00421179598197341,129.720983599982
8,8,moving_boundary,0.9999998211860657,1.0206842422485352,0.02701134979724884,0.012333461083471775,0.001951252343133092,0.012438169680535793,0.007174198981374502,0.9995014667510986,0.06327155977487564,0.5214123129844666,224,0.0,0.41174831986427307,11466,3.338061787871993e-06,1024,0.004212035797536373,129.90876339998795
9,9,moving_boundary,0.9999998807907104,1.020684003829956,0.02700938656926155,0.01233338937163353,0.0019489487167447805,0.012438097968697548,0.007879694923758507,0.9995355606079102,0.06658605486154556,0.5214124321937561,224,0.0,0.4117482304573059,11466,3.6477356388786575e-06,1024,0.004212271887809038,130.10028679997777
