step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,3.2724026209742484e-06,6.417278200387957e-07,-2.974562812596562e-06,1.2036529369652264e-06
2,0.001,9.046359522796761e-06,1.938606146723032e-06,-8.063553832471373e-06,3.6135199479758716e-06
3,0.0015,1.688483892509195e-05,3.904302138835189e-06,-1.47499144077301e-05,7.231475319713349e-06
4,0.002,2.718298017591019e-05,6.550061516463757e-06,-2.3467058781534413e-05,1.2054387480020517e-05
5,0.0025,4.0282654654094414e-05,9.883125312626363e-06,-3.4616491757333254e-05,1.80752482265234e-05
6,0.003,5.572758934102635e-05,1.3908813707530494e-05,-4.767575301229953e-05,2.5281053967773922e-05
7,0.0035,7.28083973145878e-05,1.8627021927386532e-05,-6.181999342516065e-05,3.365093143656848e-05
8,0.004,9.131571627484765e-05,2.4031195789575576e-05,-7.680167909711602e-05,4.315742990002036e-05
9,0.0045000000000000005,0.00011138209579394478,3.0108878854662182e-05,-9.27798449993133e-05,5.377106135711073e-05
10,0.005,0.000132931569188474,3.6841549444943666e-05,-0.0001096755266189575,6.545823998749253e-05
11,0.0055,0.00015553626820142012,4.4205889571458137e-05,-0.00012698500650003549,7.818042067810897e-05
12,0.006,0.00017874444336219114,5.217577563598754e-05,-0.00014416052727028725,9.18967183679342e-05
13,0.006500000000000001,0.00020240744510281503,6.072415271773935e-05,-0.00016101178480312228,0.00010656714439392089
14,0.007,0.0002265678667901478,6.982246413826948e-05,-0.00017758592730388056,0.00012215179158374663
15,0.0075,0.0002511238273307943,7.944273529574282e-05,-0.00019375008996576094,0.00013861071784049264
16,0.008,0.00027580043562923167,8.956033270806076e-05,-0.00020913787884637713,0.0001559043768793343
17,0.0085,0.0003003997573460656,0.0001001532422378659,-0.00022346192272379992,0.0001739945728331804
18,0.009000000000000001,0.0003249124376393739,0.00011120260460302233,-0.00023666953202337027,0.00019284606678411368
19,0.0095,0.000349398713579403,0.0001227419474162161,-0.0002488588099367916,0.00021232797298580412
20,0.01,0.00037376193619352414,0.00013475625310093171,-0.0002598604769445954,0.00023240324808284634
21,0.0105,0.0003979329275285437,0.0001472326344810427,-0.0002695295494049789,0.00025303554721176617
22,0.011,0.0004219241544595612,0.0001601597061380744,-0.0002778281923383475,0.00027419036487117397
23,0.0115,0.00044579016329925904,0.00017352707218378787,-0.00028477631276473396,0.0002958372468128801
24,0.012,0.00046961300521644047,0.0001873236731626094,-0.0002904388355091214,0.0003179488936439156
25,0.0125,0.0004934453498222927,0.00020153681980445985,-0.0002948394510895015,0.0003405009862035512
26,0.013000000000000001,0.0005173035809606112,0.00021615339210256926,-0.0002979396609589456,0.00036347305867820954
27,0.0135,0.000541248139042452,0.00023115682415664196,-0.0002997746807523071,0.0003868477884680034
28,0.014,0.0005653867958882119,0.0002465258119627834,-0.0003004773170687257,0.0004106100765056909
29,0.0145,0.0005898063399144538,0.00026223604800179584,-0.00030016249511390927,0.00043474849080666906
30,0.015,0.0006145609945855707,0.00027826131554320455,-0.0002989008324220779,0.00045925390440970654
31,0.0155,0.0006397032692068569,0.00029457196360453984,-0.00029677726561203597,0.00048411866882815954
32,0.016,0.0006652940862317065,0.0003111356170848012,-0.00029391740681603543,0.0005093362415209411
33,0.0165,0.000691451980951845,0.00032787722302600724,-0.00029042456299066554,0.0005350289167836308
34,0.017,0.0007182619405126546,0.00034475926076993357,-0.00028654008638113733,0.0005611916305497289
35,0.0175,0.0007457423073336821,0.000361749774310738,-0.0002823611721396446,0.00058782723499462
36,0.018000000000000002,0.0007738938424543859,0.0003788193454965948,-0.0002779506728984415,0.0006149398395791649
37,0.0185,0.0008030284155486358,0.00039596935966983464,-0.00027338442159816626,0.0006429026834666733
38,0.019,0.0008331858708161893,0.00041316098067909493,-0.0002689190907403825,0.0006716987583786247
39,0.0195,0.000864346789477086,0.00043036602437496164,-0.00026463697431609043,0.0007013185648247598
40,0.02,0.0008964804388823352,0.0004475564812310041,-0.00026061106473207485,0.0007317460258491333
41,0.0205,0.000929560081817412,0.00046469774097204194,-0.00025699111865833406,0.0007629505358636382
42,0.021,0.000963541151892058,0.00048175759147852656,-0.00025388306239619834,0.0007948990911245346
43,0.021500000000000002,0.0009983681485383439,0.0004987057531252505,-0.0002513592713512482,0.0008275566739030186
44,0.022,0.0010339865005655226,0.0005155110498890281,-0.00024951604427769764,0.0008608822128735484
45,0.0225,0.0010703351926721857,0.000532142329029739,-0.0002484274329617619,0.0008948328206315632
46,0.023,0.0011073488786829866,0.00054857354843989,-0.0002481185598298907,0.0009293684852309532
47,0.0235,0.0011449645299411173,0.0005647800979204477,-0.0002486052340827881,0.0009644494042731818
48,0.024,0.0011832175269997128,0.0005807503825053571,-0.00024976941058412193,0.0010001739603467277
49,0.0245,0.001222062388126468,0.0005964650539681314,-0.00025160801596939574,0.0010365130612626666
50,0.025,0.0012614641845287954,0.0006119071971625093,-0.0002541119116358459,0.001073447067756206
