step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,4.178460965374088e-06,8.404254913330079e-07,-3.9547681808471685e-06,1.055002212524414e-06
2,0.001,1.129293523630376e-05,2.390146255493164e-06,-1.0445713996887207e-05,3.5643577575683596e-06
3,0.0015,2.0898894033324293e-05,4.625320434570313e-06,-1.8915534019470216e-05,7.587671279907227e-06
4,0.002,3.384442492895022e-05,7.593631744384766e-06,-3.0377507209777834e-05,1.284480094909668e-05
5,0.0025,5.05838779105704e-05,1.1336803436279298e-05,-4.542768001556397e-05,1.914501190185547e-05
6,0.003,7.011628027470007e-05,1.583695411682129e-05,-6.293654441833497e-05,2.6541948318481446e-05
7,0.0035,9.125764778111623e-05,2.1034479141235354e-05,-8.158385753631592e-05,3.506541252136231e-05
8,0.004,0.00011399734373387361,2.690553665161133e-05,-0.00010141134262084961,4.4578313827514654e-05
9,0.0045000000000000005,0.00013867527077101994,3.347992897033692e-05,-0.00012282729148864748,5.498528480529785e-05
10,0.005,0.00016475176389343696,4.077553749084473e-05,-0.00014521777629852294,6.627440452575684e-05
11,0.0055,0.00019125013246886656,4.874467849731446e-05,-0.00016748309135437012,7.842183113098145e-05
12,0.006,0.0002177410192160385,5.732178688049317e-05,-0.00018913149833679201,9.140372276306152e-05
13,0.006500000000000001,0.0002442550897981082,6.648898124694824e-05,-0.0002101421356201172,0.00010526180267333984
14,0.007,0.00027062881026756054,7.62641429901123e-05,-0.00023026466369628908,0.00012000799179077149
15,0.0075,0.00029651331595884463,8.662939071655274e-05,-0.00024902820587158203,0.000135648250579834
16,0.008,0.0003216783885153623,9.75489616394043e-05,-0.00026607215404510497,0.00015220642089843752
17,0.0085,0.0003460907985697951,0.00010900497436523439,-0.00028122663497924804,0.00016973018646240237
18,0.009000000000000001,0.0003698124222724774,0.00012099146842956544,-0.00029442608356475833,0.0001882433891296387
19,0.0095,0.000392974948601645,0.00013353824615478516,-0.00030575394630432133,0.00020763278007507324
20,0.01,0.00041582154354658174,0.0001466631889343262,-0.0003153681755065918,0.00022790431976318362
21,0.0105,0.00043840786598146447,0.00016036629676818848,-0.0003232121467590332,0.0002490341663360596
22,0.011,0.0004607870665728997,0.0001746475696563721,-0.0003292202949523926,0.0002709925174713135
23,0.0115,0.00048325003080949266,0.0001895129680633545,-0.00033364593982696536,0.0002937614917755127
24,0.012,0.0005061068836975193,0.00020496249198913576,-0.00033683180809021,0.0003172993659973145
25,0.0125,0.0005294509031488318,0.00022099614143371584,-0.00033887028694152833,0.0003415346145629883
26,0.013000000000000001,0.0005532951169381039,0.00023759603500366213,-0.0003397613763809204,0.00036639571189880373
27,0.0135,0.0005777677915168685,0.0002547264099121094,-0.00033971965312957765,0.00039181709289550783
28,0.014,0.0006030161597500413,0.0002723515033721924,-0.0003390312194824219,0.00041774511337280276
29,0.0145,0.0006290884559320882,0.0002904355525970459,-0.0003378003835678101,0.00044417381286621094
30,0.015,0.0006559581966177245,0.00030893683433532717,-0.0003360658884048462,0.00047106146812438967
31,0.0155,0.0006836224500165024,0.0003278017044067383,-0.00033396780490875245,0.0004983484745025635
32,0.016,0.000712098171748194,0.00034697055816650395,-0.0003316551446914673,0.0005260229110717774
33,0.0165,0.0007414479084853152,0.00036638379096984867,-0.0003291696310043335,0.0005542159080505372
34,0.017,0.0007716004930152897,0.000385969877243042,-0.0003264814615249634,0.0005829274654388428
35,0.0175,0.0008025479066644092,0.00040567517280578615,-0.0003237217664718628,0.0006121397018432617
36,0.018000000000000002,0.0008342919245538313,0.00042543411254882815,-0.00032103955745697025,0.0006418585777282715
37,0.0185,0.0008669589522802869,0.00044525265693664553,-0.000318443775177002,0.0006722807884216309
38,0.019,0.0009005381541906808,0.00046510696411132817,-0.0003158003091812134,0.0007035017013549805
39,0.0195,0.0009350818163997963,0.00048496127128601075,-0.0003132551908493042,0.0007355690002441407
40,0.02,0.0009705764984770822,0.0005047738552093506,-0.00031101405620574956,0.0007684350013732911
41,0.0205,0.0010069538875325534,0.0005245268344879151,-0.00030906498432159424,0.0008020639419555665
42,0.021,0.0010442035114666293,0.0005442023277282715,-0.00030735433101654054,0.0008365035057067872
43,0.021500000000000002,0.001082313637006635,0.0005637705326080322,-0.00030601024627685547,0.0008717358112335206
44,0.022,0.0011212112011085755,0.0005832076072692871,-0.0003051668405532837,0.000907665491104126
45,0.0225,0.0011608409439776883,0.000602489709854126,-0.0003048002719879151,0.000944274663925171
46,0.023,0.0012011573090916865,0.0006215989589691163,-0.00030487775802612305,0.0009815514087677002
47,0.0235,0.0012420669013536365,0.0006405055522918702,-0.0003054797649383545,0.0010193943977355958
48,0.024,0.0012835235415257036,0.0006591975688934326,-0.000306624174118042,0.0010577678680419923
49,0.0245,0.00132550619111442,0.0006776690483093263,-0.0003081619739532471,0.001096707582473755
50,0.025,0.0013679608251050482,0.0006959080696105958,-0.000310090184211731,0.0011361658573150635
