step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,3.2724026368669e-06,6.417278086701117e-07,-2.9745629035460297e-06
2,0.001,9.046359082276467e-06,1.938606146723032e-06,-8.06355365057243e-06
3,0.0015,1.688484007900115e-05,3.9043020478857215e-06,-1.4749914953426924e-05
4,0.002,2.7182981284568086e-05,6.550061698362697e-06,-2.3467058781534433e-05
5,0.0025,4.0282655390910804e-05,9.883125130727421e-06,-3.461649248492904e-05
6,0.003,5.5727588915033266e-05,1.390881425322732e-05,-4.7675752284703776e-05
7,0.0035,7.280839781742543e-05,1.8627022654982284e-05,-6.181999196996912e-05
8,0.004,9.131572005571797e-05,2.4031196517171338e-05,-7.680168346269056e-05
9,0.0045000000000000005,0.00011138209811178967,3.01088784908643e-05,-9.277984645450488e-05
10,0.005,0.00013293157098814845,3.6841549444943666e-05,-0.00010967552952934057
11,0.0055,0.00015553626872133464,4.4205891754245386e-05,-0.00012698500358965248
12,0.006,0.00017874444893095642,5.217577563598752e-05,-0.00014416052727028728
13,0.006500000000000001,0.00020240744925104082,6.0724152717739344e-05,-0.00016101179062388837
14,0.007,0.00022656786313746125,6.982246850384399e-05,-0.00017758592730388045
15,0.0075,0.00025112382718361914,7.944273966131732e-05,-0.00019375009287614375
16,0.008,0.00027580044115893543,8.956033707363531e-05,-0.00020913789921905845
17,0.0085,0.0003003997844643891,0.00010015324369305745,-0.00022346196055877954
18,0.009000000000000001,0.0003249124565627426,0.00011120260751340538,-0.00023666955530643463
19,0.0095,0.0003493987023830414,0.00012274195614736527,-0.0002488587924744934
20,0.01,0.00037376192631199956,0.0001347562501905486,-0.00025986041873693466
21,0.0105,0.0003979329776484519,0.00014723264030180871,-0.00026952955522574484
22,0.011,0.00042192425462417305,0.00016015970322769135,-0.00027782825054600835
23,0.0115,0.00044579009409062564,0.00017352707800455391,-0.00028477623709477484
24,0.012,0.0004696129763033241,0.00018732367607299238,-0.00029043873655609787
25,0.0125,0.000493445317260921,0.00020153683726675808,-0.0002948394394479692
26,0.013000000000000001,0.0005173035897314548,0.00021615340665448457,-0.00029793972498737276
27,0.0135,0.0005412481259554625,0.00023115682415664196,-0.00029977463418617845
28,0.014,0.0005653869011439383,0.0002465258294250816,-0.0003004774625878781
29,0.0145,0.0005898064700886607,0.00026223607710562646,-0.00030016261734999716
30,0.015,0.0006145608494989574,0.000278261344647035,-0.00029890076257288456
31,0.0155,0.0006397031829692423,0.0002945719752460718,-0.0002967773179989308
32,0.016,0.0006652939482592046,0.00031113563454709947,-0.0002939174009952694
33,0.0165,0.0006914518889971077,0.0003278772346675396,-0.000290424533886835
34,0.017,0.0007182618719525635,0.0003447592898737639,-0.0002865400747396052
35,0.0175,0.0007457422907464206,0.00036174978595227003,-0.000282361259451136
36,0.018000000000000002,0.0007738937856629491,0.0003788193571381271,-0.00027795069036073983
37,0.0185,0.0008030282333493233,0.000395969400415197,-0.0002733844448812306
38,0.019,0.0008331857970915735,0.0004131609748583287,-0.0002689190732780844
39,0.0195,0.00086434674449265,0.00043036608258262277,-0.0002646368520800024
40,0.02,0.0008964806329458952,0.00044755658018402755,-0.00026061112293973565
41,0.0205,0.0009295599302276969,0.0004646977467928082,-0.0002569910720922053
42,0.021,0.0009635412134230137,0.00048175762640312314,-0.0002538830158300698
43,0.021500000000000002,0.0009983677882701159,0.0004987057182006538,-0.0002513592771720141
44,0.022,0.0010339862201362848,0.0005155110848136246,-0.0002495160442776978
45,0.0225,0.0010703351581469178,0.000532142526935786,-0.0002484274737071246
46,0.023,0.0011073489440605044,0.0005485735018737614,-0.00024811862385831773
47,0.0235,0.0011449642479419708,0.0005647802609018981,-0.00024860521079972386
48,0.024,0.0011832176242023706,0.0005807504639960825,-0.00024976933491416276
49,0.0245,0.0012220622738823295,0.0005964652518741786,-0.0002516080276109278
50,0.025,0.0012614636216312647,0.0006119071622379124,-0.000254111917456612
