step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,3.271405830673757e-07,6.426125764846802e-08,-2.9737131512774795e-07
2,0.001,9.73574742602068e-07,1.9341241852544044e-07,-8.831033824208134e-07
3,0.0015,1.9245524072175613e-06,3.8831495885460754e-07,-1.740467268973589e-06
4,0.002,3.160921551170759e-06,6.499467417597771e-07,-2.8474839837144827e-06
5,0.0025,4.662604624172673e-06,9.790528565645218e-07,-4.181149506621296e-06
6,0.003,6.411461527022766e-06,1.3766111806035042e-06,-5.720195076719392e-06
7,0.0035,8.393463758693542e-06,1.843180484684126e-06,-7.447973075613845e-06
8,0.004,1.0600478162814397e-05,2.379377974648378e-06,-9.354297617392149e-06
9,0.0045000000000000005,1.3030054105911404e-05,2.9855757475161226e-06,-1.1435593478381634e-05
10,0.005,1.5685369362472557e-05,3.662204790089163e-06,-1.3694993867829908e-05
11,0.0055,1.85736807907233e-05,4.409381745063001e-06,-1.614044958841987e-05
12,0.006,2.1703841412090696e-05,5.227257588558132e-06,-1.878208786365576e-05
13,0.006500000000000001,2.5084096705541015e-05,6.116030363045866e-06,-2.1629804905387573e-05
14,0.007,2.871984543162398e-05,7.075432222336531e-06,-2.469050195941236e-05
15,0.0075,3.2612606446491554e-05,8.105288543447386e-06,-2.796644184854813e-05
16,0.008,3.6758327041752636e-05,9.205529750033747e-06,-3.145369919366203e-05
17,0.0085,4.1148352465825155e-05,1.0375783858762588e-05,-3.51427479472477e-05
18,0.009000000000000001,4.576892024488188e-05,1.1615641597018111e-05,-3.901842501363717e-05
19,0.0095,5.0604212447069585e-05,1.2924650036438834e-05,-4.306276241550222e-05
20,0.01,5.563702143263072e-05,1.4302181625680532e-05,-4.72564970550593e-05
21,0.0105,6.085152199375443e-05,1.5748071746202186e-05,-5.158133717486635e-05
22,0.011,6.623304943786934e-05,1.7261016182601452e-05,-5.602125384029932e-05
23,0.0115,7.177078077802435e-05,1.8840772099792957e-05,-6.056390702724457e-05
24,0.012,7.745682523818687e-05,2.0486360881477594e-05,-6.520089664263651e-05
25,0.0125,8.328634430654347e-05,2.2197305952431634e-05,-6.992709677433595e-05
26,0.013000000000000001,8.925621659727767e-05,2.397229036432691e-05,-7.473991718143225e-05
27,0.0135,9.536401194054633e-05,2.5810557417571545e-05,-7.963732787175104e-05
28,0.014,0.00010160676174564287,2.7711072107194923e-05,-8.46169059514068e-05
29,0.0145,0.00010798044240800664,2.9672881282749586e-05,-8.967480243882164e-05
30,0.015,0.00011447843280620873,3.169502815580927e-05,-9.48042725212872e-05
31,0.0155,0.00012109200906706974,3.3776079362723976e-05,-9.999610483646393e-05
32,0.016,0.00012781070836354047,3.591517452150583e-05,-0.00010523865785216913
33,0.0165,0.0001346225180895999,3.811109490925446e-05,-0.00011051866749767214
34,0.017,0.0001415150036336854,4.0362938307225704e-05,-0.00011582191655179486
35,0.0175,0.00014847589773125947,4.266925316187553e-05,-0.00012113470438634977
36,0.018000000000000002,0.00015549386444035918,4.502936644712463e-05,-0.00012644394882954657
37,0.0185,0.00016255896480288357,4.7441608330700547e-05,-0.00013173850311432034
38,0.019,0.00016966272960416973,4.9904909246833995e-05,-0.00013700882846023887
39,0.0195,0.00017679786833468825,5.241796679911204e-05,-0.00014224686310626566
40,0.02,0.00018395842926111072,5.4979849664960057e-05,-0.00014744594227522612
41,0.0205,0.0001911388972075656,5.7589706557337195e-05,-0.0001525996922282502
42,0.021,0.00019833385886158794,6.0246082284720615e-05,-0.00015770219033584
43,0.021500000000000002,0.00020553782815113664,6.294807099038735e-05,-0.0001627471938263625
44,0.022,0.00021274483879096806,6.569430843228474e-05,-0.00016772780509199947
45,0.0225,0.0002199484151788056,6.848416524007916e-05,-0.0001726362097542733
46,0.023,0.00022714179067406803,7.131636812118813e-05,-0.00017746425874065608
47,0.0235,0.00023431795125361532,7.418997120112181e-05,-0.00018220339552499354
48,0.024,0.00024147007206920534,7.710399950155988e-05,-0.00018684499082155526
49,0.0245,0.0002485918812453747,8.00576526671648e-05,-0.00019138088100589812
50,0.025,0.00025567758711986244,8.305005030706525e-05,-0.00019580358639359474
