step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,4.764762272385058e-06,5.692243576049805e-07,-1.3023614883422852e-06,4.5478343963623045e-06
2,0.001,1.4228668692270508e-05,-3.3378601074218753e-07,-4.2974948883056646e-06,1.3560056686401367e-05
3,0.0015,2.8955289368262655e-05,1.049041748046875e-06,-6.7442655563354496e-06,2.8139352798461915e-05
4,0.002,4.790218122327884e-05,2.2590160369873046e-06,-1.0788440704345703e-05,4.661679267883301e-05
5,0.0025,7.04231065581456e-05,3.6776065826416017e-06,-1.6012787818908693e-05,6.84797763824463e-05
6,0.003,9.650336251360569e-05,5.823373794555664e-06,-2.207458019256592e-05,9.3764066696167e-05
7,0.0035,0.00012578338222892093,8.77976417541504e-06,-2.888739109039307e-05,0.00012210607528686523
8,0.004,0.0001574771010559016,1.2350082397460939e-05,-3.667771816253662e-05,0.0001526474952697754
9,0.0045000000000000005,0.00019083938419346265,1.652240753173828e-05,-4.560649394989014e-05,0.00018457174301147463
10,0.005,0.00022523982118189705,2.1231174468994143e-05,-5.566775798797608e-05,0.00021721720695495607
11,0.0055,0.00026020061619631287,2.6386976242065432e-05,-6.683170795440674e-05,0.00025008320808410643
12,0.006,0.0002953693610738474,3.203749656677246e-05,-7.908344268798829e-05,0.0002827763557434082
13,0.006500000000000001,0.00033022672399895083,3.810524940490723e-05,-9.24050807952881e-05,0.0003147363662719727
14,0.007,0.0003641830248254381,4.43875789642334e-05,-0.00010681450366973878,0.00034532546997070315
15,0.0075,0.0003969354037952448,5.083680152893067e-05,-0.0001222670078277588,0.00037419795989990234
16,0.008,0.0004283683413678553,5.756020545959473e-05,-0.00013853609561920166,0.0004012405872344971
17,0.0085,0.0004583272653513979,6.46054744720459e-05,-0.00015540122985839845,0.0004263103008270264
18,0.009000000000000001,0.0004866173312025327,7.19308853149414e-05,-0.0001727670431137085,0.00044919252395629887
19,0.0095,0.0005131258073445865,7.953643798828126e-05,-0.00019049942493438722,0.0004697680473327637
20,0.01,0.000537876536539559,8.749961853027344e-05,-0.00020833909511566164,0.0004881083965301514
21,0.0105,0.0005610111615674654,9.592175483703614e-05,-0.00022603273391723634,0.0005044221878051758
22,0.011,0.0005826599593441877,0.00010483264923095704,-0.00024341642856597903,0.0005188941955566406
23,0.0115,0.0006029185603323278,0.0001141965389251709,-0.00026034712791442874,0.0005316853523254395
24,0.012,0.0006226257016544058,0.00012726187705993652,-0.00027785301208496096,0.0005424618721008301
25,0.0125,0.0006417132389671086,0.00013880133628845216,-0.00029331743717193605,0.0005536198616027832
26,0.013000000000000001,0.0006602964224224647,0.00015089511871337893,-0.00030804872512817387,0.0005642056465148926
27,0.0135,0.0006786426049090709,0.00016348361968994142,-0.000321999192237854,0.0005745828151702881
28,0.014,0.0006970044250301785,0.0001764833927154541,-0.0003351777791976929,0.0005850851535797119
29,0.0145,0.00071887308830564,0.00020967125892639162,-0.00034837424755096436,0.0005928337574005127
30,0.015,0.0007423836547113752,0.0002269148826599121,-0.0003604203462600708,0.000608062744140625
31,0.0155,0.0007667821824386563,0.0002444744110107422,-0.00037188231945037845,0.0006244122982025147
32,0.016,0.0007922207664412444,0.00026226043701171875,-0.0003828614950180054,0.0006420671939849854
33,0.0165,0.0008188364933184843,0.00028018951416015626,-0.00039349794387817384,0.0006611704826354981
34,0.017,0.0008467412493565289,0.0002981960773468018,-0.0004039287567138672,0.0006818294525146485
35,0.0175,0.0008760260351474358,0.0003162384033203125,-0.00041429996490478517,0.0007041096687316895
36,0.018000000000000002,0.0009067672549238271,0.0003342926502227783,-0.0004247725009918213,0.0007280409336090088
37,0.0185,0.0009390322262909907,0.00035235881805419924,-0.0004354983568191529,0.0007536351680755616
38,0.019,0.0009728643608333213,0.00037043690681457523,-0.00044661760330200195,0.0007808804512023926
39,0.0195,0.0010082701026189968,0.0003885149955749512,-0.00045826137065887453,0.0008097290992736816
40,0.02,0.0010452476868673345,0.00040659308433532715,-0.0004705429077148438,0.0008401274681091309
41,0.0205,0.001083803083817279,0.0004246771335601807,-0.00048355460166931157,0.0008720397949218751
42,0.021,0.0011239029475341885,0.0004427492618560791,-0.0004973739385604859,0.0009054005146026612
43,0.021500000000000002,0.0011654972847081717,0.00046078562736511235,-0.0005120664834976197,0.0009401321411132813
44,0.022,0.0012085421565959955,0.00047876238822937013,-0.0005276769399642945,0.00097617506980896
45,0.0225,0.0012529510158814333,0.000496596097946167,-0.0005443036556243896,0.001013416051864624
46,0.023,0.0012986727434045509,0.0005142629146575928,-0.0005619704723358155,0.001051795482635498
47,0.0235,0.001345645608832589,0.0005317389965057373,-0.0005806952714920044,0.0010912418365478516
48,0.024,0.0013937712463190572,0.0005489587783813477,-0.0006005465984344482,0.0011316299438476564
49,0.0245,0.0014429933223252314,0.0005659103393554687,-0.0006215482950210572,0.0011728823184967041
50,0.025,0.0014932498700470317,0.0005825996398925781,-0.0006436914205551148,0.0012149214744567871
