step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,7.79424e-06,7.79424e-06,0.0,0.0
2,0.001,1.567696e-05,1.567696e-05,0.0,0.0
3,0.0015,3.4498160000000005e-05,3.4498160000000005e-05,0.0,0.0
4,0.002,5.340784e-05,5.340784e-05,0.0,0.0
5,0.0025,7.5506e-05,7.5506e-05,0.0,0.0
6,0.003,9.769264e-05,9.769264e-05,0.0,0.0
7,0.0035,0.00011144276,0.00011144276,0.0,0.0
8,0.004,0.00012528136,0.00012528136,0.0,0.0
9,0.0045,0.00012215843999999998,0.00012215843999999998,0.0,0.0
10,0.005,0.00011912399999999999,0.00011912399999999999,0.0,0.0
11,0.0055,0.00010145304000000001,0.00010145304000000001,0.0,0.0
12,0.006,8.387056000000001e-05,8.387056000000001e-05,0.0,0.0
13,0.0065,6.172656e-05,6.172656e-05,0.0,0.0
14,0.007,3.967104e-05,3.967104e-05,0.0,0.0
15,0.0075,2.9329000000000003e-05,2.9329000000000003e-05,0.0,0.0
16,0.008,1.9075440000000003e-05,1.9075440000000003e-05,0.0,0.0
17,0.0085,2.3635360000000005e-05,2.3635360000000005e-05,0.0,0.0
18,0.009,2.8283759999999996e-05,2.8283759999999996e-05,0.0,0.0
19,0.0095,4.309564e-05,4.309564e-05,0.0,0.0
20,0.01,5.7996e-05,5.7996e-05,0.0,0.0
21,0.0105,7.840984e-05,7.840984e-05,0.0,0.0
22,0.011,9.891216e-05,9.891216e-05,0.0,0.0
23,0.0115,0.00011640296,0.00011640296,0.0,0.0
24,0.012,0.00013398224,0.00013398224,0.0,0.0
25,0.0125,0.000143125,0.000143125,0.0,0.0
26,0.013,0.00015235624,0.00015235624,0.0,0.0
27,0.0135,0.00015082596,0.00015082596,0.0,0.0
28,0.014,0.00014938416,0.00014938416,0.0,0.0
29,0.0145,0.00013640584,0.00013640584,0.0,0.0
30,0.015,0.000123516,0.000123516,0.0,0.0
31,0.0155,0.00010451464000000001,0.00010451464000000001,0.0,0.0
32,0.016,8.560176000000001e-05,8.560176000000001e-05,0.0,0.0
33,0.0165,7.375236e-05,7.375236e-05,0.0,0.0
34,0.017,6.199144000000001e-05,6.199144000000001e-05,0.0,0.0
35,0.0175,6.349400000000003e-05,6.349400000000003e-05,0.0,0.0
36,0.018,6.508503999999998e-05,6.508503999999998e-05,0.0,0.0
37,0.0185,7.838956e-05,7.838956e-05,0.0,0.0
38,0.019,9.178256e-05,9.178256e-05,0.0,0.0
39,0.0195,0.00011378904,0.00011378904,0.0,0.0
40,0.02,0.00013588400000000002,0.00013588400000000002,0.0,0.0
41,0.0205,0.00015806744,0.00015806744,0.0,0.0
42,0.021,0.00018033935999999998,0.00018033935999999998,0.0,0.0
43,0.0215,0.00019262476000000002,0.00019262476000000002,0.0,0.0
44,0.022,0.00020499863999999998,0.00020499863999999998,0.0,0.0
45,0.0225,0.00020196099999999999,0.00020196099999999999,0.0,0.0
46,0.023,0.00019901184,0.00019901184,0.0,0.0
47,0.0235,0.00017987616,0.00017987616,0.0,0.0
48,0.024,0.00016082896000000003,0.00016082896000000003,0.0,0.0
49,0.0245,0.00014497024,0.00014497024,0.0,0.0
50,0.025,0.00012920000000000002,0.00012920000000000002,0.0,0.0
