step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.2774692600000002e-05,2.2774692600000002e-05,0.0,0.0
2,0.001,4.5558770400000006e-05,4.5558770400000006e-05,0.0,0.0
3,0.0015,0.0001002302334,0.0001002302334,0.0,0.0
4,0.002,0.00015491108159999999,0.00015491108159999999,0.0,0.0
5,0.0025,0.00021870931500000002,0.00021870931500000002,0.0,0.0
6,0.003,0.0002825169336,0.0002825169336,0.0,0.0
7,0.0035,0.0003212869374,0.0003212869374,0.0,0.0
8,0.004,0.0003600663264,0.0003600663264,0.0,0.0
9,0.0045,0.00034876110059999996,0.00034876110059999996,0.0,0.0
10,0.005,0.00033746526,0.00033746526,0.0,0.0
11,0.0055,0.00028291580459999997,0.00028291580459999997,0.0,0.0
12,0.006,0.0002283757344,0.0002283757344,0.0,0.0
13,0.0065,0.0001601830494,0.0001601830494,0.0,0.0
14,0.007,9.19997496e-05,9.19997496e-05,0.0,0.0
15,0.0075,5.7980835e-05,5.7980835e-05,0.0,0.0
16,0.008,2.3971305600000002e-05,2.3971305600000002e-05,0.0,0.0
17,0.0085,3.3234161399999994e-05,3.3234161399999994e-05,0.0,0.0
18,0.009,4.25064024e-05,4.25064024e-05,0.0,0.0
19,0.0095,8.13890286e-05,8.13890286e-05,0.0,0.0
20,0.01,0.00012028103999999999,0.00012028103999999999,0.0,0.0
21,0.0105,0.00017512143660000003,0.00017512143660000003,0.0,0.0
22,0.011,0.0002299712184,0.0002299712184,0.0,0.0
23,0.0115,0.0002757223854,0.0002757223854,0.0,0.0
24,0.012,0.0003214829376,0.0003214829376,0.0,0.0
25,0.0125,0.0003422058750000001,0.0003422058750000001,0.0,0.0
26,0.013,0.0003629381976,0.0003629381976,0.0,0.0
27,0.0135,0.0003518019054,0.0003518019054,0.0,0.0
28,0.014,0.0003406749984,0.0003406749984,0.0,0.0
29,0.0145,0.00029540247660000003,0.00029540247660000003,0.0,0.0
30,0.015,0.00025013934,0.00025013934,0.0,0.0
31,0.0155,0.00018666958860000002,0.00018666958860000002,0.0,0.0
32,0.016,0.0001232092224,0.0001232092224,0.0,0.0
33,0.0165,8.025124140000001e-05,8.025124140000001e-05,0.0,0.0
34,0.017,3.73026456e-05,3.73026456e-05,0.0,0.0
35,0.0175,3.307243500000001e-05,3.307243500000001e-05,0.0,0.0
36,0.018,2.88516096e-05,2.88516096e-05,0.0,0.0
37,0.0185,5.87951694e-05,5.87951694e-05,0.0,0.0
38,0.019,8.874811440000001e-05,8.874811440000001e-05,0.0,0.0
39,0.0195,0.0001437574446,0.0001437574446,0.0,0.0
40,0.02,0.00019877616,0.00019877616,0.0,0.0
41,0.0205,0.0002538042606,0.0002538042606,0.0,0.0
42,0.021,0.0003088417464,0.0003088417464,0.0,0.0
43,0.0215,0.00033428761740000005,0.00033428761740000005,0.0,0.0
44,0.022,0.0003597428736,0.0003597428736,0.0,0.0
45,0.0225,0.000339667515,0.000339667515,0.0,0.0
46,0.023,0.0003196015416,0.0003196015416,0.0,0.0
47,0.0235,0.0002517279534,0.0002517279534,0.0,0.0
48,0.024,0.00018386375040000002,0.00018386375040000002,0.0,0.0
49,0.0245,0.00012511693259999998,0.00012511693259999998,0.0,0.0
50,0.025,6.63795e-05,6.63795e-05,0.0,0.0
