step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,0.9999998807907104,1.0198925733566284,0.020000005140900612,0.01247412245720625,0.0,0.01247412245720625,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.266872099979082
1,1,moving_boundary,0.9999998807907104,1.0207643508911133,0.02734951116144657,0.0122379707172513,0.0021189984399825335,0.012327507138252258,0.0021821116097271442,0.9992815256118774,0.019055064767599106,0.5214121341705322,224,0.0,0.4123327434062958,11466,0.0,1024,0.008421875536441803,66.11793539999053
2,2,moving_boundary,0.9999997615814209,1.020585298538208,0.027358924970030785,0.012352409772574902,0.002027034293860197,0.012452206574380398,0.0041959951631724834,0.9980586767196655,0.03831852972507477,0.5214124917984009,224,0.0,0.41192784905433655,11466,1.0797709819598822e-06,1024,0.008422138169407845,66.34435569998459
3,3,moving_boundary,0.9999998807907104,1.020669937133789,0.027131453156471252,0.012333366088569164,0.0019954803865402937,0.01243558432906866,0.00610232213512063,0.9964486956596375,0.05778088793158531,0.5214124321937561,224,0.0,0.4118049442768097,11466,2.149942247342551e-06,1024,0.008422641083598137,66.54766939999536
4,4,moving_boundary,0.9999998211860657,1.0206799507141113,0.027072735130786896,0.012332992628216743,0.0019849492236971855,0.01243598572909832,0.007932251319289207,0.9945170283317566,0.07744680345058441,0.5214123725891113,224,0.0,0.41176414489746094,11466,3.2163602554646786e-06,1024,0.008423360995948315,66.74764970000251
5,5,moving_boundary,0.9999998807907104,1.0206828117370605,0.027050025761127472,0.012333717197179794,0.0019759926944971085,0.012437178753316402,0.009704035706818104,0.9923771023750305,0.09730201959609985,0.5214123725891113,224,0.0,0.41174301505088806,11466,4.282613645045785e-06,1024,0.008424265310168266,66.94551269998192
6,6,moving_boundary,0.9999997615814209,1.020681619644165,0.02703661099076271,0.012333216145634651,0.0019676657393574715,0.01243696641176939,0.01142855454236269,0.9900183081626892,0.11733682453632355,0.521412193775177,224,0.0,0.41173309087753296,11466,5.352243533707224e-06,1024,0.008425306528806686,67.15075380000053
7,7,moving_boundary,0.9999998211860657,1.0206811428070068,0.027028372511267662,0.01233289111405611,0.0019595583435148,0.012436844408512115,0.013112490996718407,0.9875758290290833,0.13753965497016907,0.5214123129844666,224,0.0,0.411728173494339,11466,6.428488177334657e-06,1024,0.008426439948379993,67.37246709997999
8,8,moving_boundary,0.9999998211860657,1.02068030834198,0.027022577822208405,0.012332598678767681,0.001951267709955573,0.012436702847480774,0.014760100282728672,0.9851146936416626,0.15789808332920074,0.5214123725891113,224,0.0,0.41172656416893005,11466,7.5139391810807865e-06,1024,0.008427618071436882,67.58782649997738
9,9,moving_boundary,0.9999998807907104,1.0206795930862427,0.027018090710043907,0.012332268990576267,0.0019427086226642132,0.012436487711966038,0.016374168917536736,0.9826911687850952,0.17839935421943665,0.5214123725891113,224,0.0,0.41172677278518677,11466,8.610438271716703e-06,1024,0.00842878594994545,67.80677959998138
