step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.0810473263378253e-07,4.172325134277344e-08,-1.9669532775878908e-07,5.3644180297851564e-08
2,0.001,6.243141979013476e-07,1.2516975402832032e-07,-5.900859832763672e-07,1.609325408935547e-07
3,0.0015,1.2505759027523154e-06,2.443790435791016e-07,-1.1801719665527344e-06,3.3378601074218753e-07
4,0.002,2.079809255586567e-06,3.993511199951172e-07,-1.9609928131103515e-06,5.662441253662109e-07
5,0.0025,3.1092036090994252e-06,5.960464477539062e-07,-2.9265880584716798e-06,8.642673492431641e-07
6,0.003,4.329296911401952e-06,8.285045623779297e-07,-4.06801700592041e-06,1.227855682373047e-06
7,0.0035,5.739113318186022e-06,1.0967254638671876e-06,-5.382299423217774e-06,1.6629695892333986e-06
8,0.004,7.327666281716719e-06,1.4007091522216797e-06,-6.857514381408692e-06,2.1696090698242187e-06
9,0.0045000000000000005,9.087783187492315e-06,1.7404556274414064e-06,-8.487701416015625e-06,2.7418136596679688e-06
10,0.005,1.1016030084602555e-05,2.1219253540039063e-06,-1.0263919830322267e-05,3.391504287719727e-06
11,0.0055,1.3104170621532262e-05,2.5391578674316407e-06,-1.2180209159851076e-05,4.112720489501953e-06
12,0.006,1.5344118067261528e-05,2.9921531677246095e-06,-1.4227628707885743e-05,4.905462265014649e-06
13,0.006500000000000001,1.773175696265786e-05,3.4868717193603516e-06,-1.6400218009948733e-05,5.769729614257813e-06
14,0.007,2.026341690595804e-05,4.0173530578613285e-06,-1.869499683380127e-05,6.705522537231445e-06
15,0.0075,2.293228288973746e-05,4.589557647705078e-06,-2.110302448272705e-05,7.712841033935547e-06
16,0.008,2.5739472209593647e-05,5.197525024414063e-06,-2.3624300956726076e-05,8.797645568847656e-06
17,0.0085,2.8681719144559263e-05,5.847215652465821e-06,-2.625584602355957e-05,9.953975677490234e-06
18,0.009000000000000001,3.1758044410962114e-05,6.532669067382813e-06,-2.899765968322754e-05,1.1181831359863283e-05
19,0.0095,3.496715972795348e-05,7.259845733642579e-06,-3.1846761703491215e-05,1.2481212615966797e-05
20,0.01,3.831199311851376e-05,8.028745651245118e-06,-3.480613231658936e-05,1.3852119445800782e-05
21,0.0105,4.1796346906681005e-05,8.833408355712892e-06,-3.787875175476074e-05,1.5300512313842773e-05
22,0.011,4.542216528339111e-05,9.679794311523438e-06,-4.106760025024414e-05,1.6820430755615234e-05
23,0.0115,4.919224271601529e-05,1.0567903518676758e-05,-4.437565803527832e-05,1.8411874771118166e-05
24,0.012,5.310804897663389e-05,1.1491775512695313e-05,-4.7805905342102055e-05,2.0074844360351563e-05
25,0.0125,5.717358494643421e-05,1.245737075805664e-05,-5.1361322402954104e-05,2.1809339523315432e-05
26,0.013000000000000001,6.139155439885931e-05,1.3464689254760743e-05,-5.504488945007324e-05,2.361536026000977e-05
27,0.0135,6.576463807680816e-05,1.4513731002807617e-05,-5.885958671569824e-05,2.5492906570434573e-05
28,0.014,7.02941740370985e-05,1.5598535537719726e-05,-6.280839443206787e-05,2.7441978454589846e-05
29,0.0145,7.497911467924718e-05,1.672506332397461e-05,-6.689131259918213e-05,2.945661544799805e-05
30,0.015,7.982441720436823e-05,1.7893314361572265e-05,-7.111132144927978e-05,3.154277801513672e-05
31,0.0155,8.482741186672555e-05,1.9103288650512695e-05,-7.546544075012208e-05,3.370046615600586e-05
32,0.016,8.998701273278876e-05,2.034902572631836e-05,-7.995665073394776e-05,3.592371940612793e-05
33,0.0165,9.53016098683338e-05,2.1636486053466797e-05,-8.45789909362793e-05,3.821849822998047e-05
34,0.017,0.00010076880998137086,2.296566963195801e-05,-8.93324613571167e-05,4.057884216308594e-05
35,0.0175,0.00010638194937544829,2.4330615997314456e-05,-9.421110153198243e-05,4.3004751205444336e-05
36,0.018000000000000002,0.00011213710514509992,2.5737285614013673e-05,-9.920895099639893e-05,4.549622535705567e-05
37,0.0185,0.00011803028340131605,2.7179718017578125e-05,-0.00010432302951812744,4.8053264617919925e-05
38,0.019,0.0001240549722274129,2.8663873672485354e-05,-0.00010954439640045167,5.067586898803711e-05
39,0.0195,0.000130207201083298,3.0183792114257815e-05,-0.00011487007141113282,5.336403846740723e-05
40,0.02,0.00013647543064597127,3.174543380737305e-05,-0.00012028813362121583,5.611181259155274e-05
41,0.0205,0.00014285815365627037,3.3342838287353514e-05,-0.00012579560279846191,5.892515182495117e-05
42,0.021,0.00014934649879104388,3.4981966018676756e-05,-0.00013138353824615479,6.1798095703125e-05
43,0.021500000000000002,0.00015593375762251903,3.6656856536865234e-05,-0.00013704299926757814,6.473660469055177e-05
44,0.022,0.00016261232103948695,3.836750984191895e-05,-0.0001427680253982544,6.773471832275391e-05
45,0.0225,0.00016937705803861324,4.011392593383789e-05,-0.00014855265617370607,7.079243659973145e-05
46,0.023,0.00017622285823925952,4.1896104812622076e-05,-0.00015439093112945557,7.390975952148438e-05
47,0.0235,0.0001831472411028616,4.371404647827149e-05,-0.00016027987003326417,7.70866870880127e-05
48,0.024,0.00019014252678938647,4.556775093078613e-05,-0.00016621053218841554,8.032321929931641e-05
49,0.0245,0.00019720374825451476,4.745721817016602e-05,-0.00017217993736267091,8.361339569091798e-05
50,0.025,0.000204330986528291,4.938244819641113e-05,-0.00017818510532379152,8.696317672729492e-05
