step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.8349826313165366e-07,5.960464477539063e-08,-2.7716159820556643e-07,0.0
2,0.001,8.305442611084025e-07,1.6689300537109377e-07,-8.13603401184082e-07,0.0
3,0.0015,1.6236659709909276e-06,3.218650817871094e-07,-1.5914440155029299e-06,0.0
4,0.002,2.6482461729007633e-06,5.245208740234375e-07,-2.595782279968262e-06,0.0
5,0.0025,3.885573716158811e-06,7.688999176025391e-07,-3.8087368011474613e-06,0.0
6,0.003,5.318121511289718e-06,1.055002212524414e-06,-5.21242618560791e-06,0.0
7,0.0035,6.9271829895778115e-06,1.3768672943115235e-06,-6.7889690399169925e-06,0.0
8,0.004,8.699346401246699e-06,1.7404556274414064e-06,-8.52346420288086e-06,0.0
9,0.0045000000000000005,1.0617125347932441e-05,2.1457672119140625e-06,-1.0398030281066896e-05,0.0
10,0.005,1.2664768216452536e-05,2.5868415832519535e-06,-1.239776611328125e-05,0.0
11,0.0055,1.4826045550930939e-05,3.069639205932617e-06,-1.450479030609131e-05,0.0
12,0.006,1.7089409432176953e-05,3.594160079956055e-06,-1.6707181930541993e-05,0.0
13,0.006500000000000001,1.9439161899825324e-05,4.154443740844727e-06,-1.8990039825439454e-05,0.0
14,0.007,2.1867972667155846e-05,4.7564506530761726e-06,-2.1344423294067384e-05,0.0
15,0.0075,2.4367307719733303e-05,5.400180816650391e-06,-2.3761391639709475e-05,0.0
16,0.008,2.6931567914955514e-05,6.085634231567383e-06,-2.6234984397888186e-05,0.0
17,0.0085,2.9553801138047215e-05,6.8068504333496095e-06,-2.8759241104125977e-05,0.0
18,0.009000000000000001,3.223556129538281e-05,7.569789886474609e-06,-3.1334161758422854e-05,0.0
19,0.0095,3.4979969322885425e-05,8.374452590942383e-06,-3.396272659301758e-05,0.0
20,0.01,3.7787235532824665e-05,9.22083854675293e-06,-3.664493560791016e-05,0.0
21,0.0105,4.066333535948905e-05,1.0108947753906251e-05,-3.938674926757813e-05,0.0
22,0.011,4.3614207654595755e-05,1.1038780212402345e-05,-4.219412803649903e-05,0.0
23,0.0115,4.6647100049982455e-05,1.2004375457763672e-05,-4.507601261138916e-05,0.0
24,0.012,4.9769353453357705e-05,1.3011693954467774e-05,-4.803836345672608e-05,0.0
25,0.0125,5.298966672663829e-05,1.4060735702514649e-05,-5.109012126922608e-05,0.0
26,0.013000000000000001,5.631382497106297e-05,1.5151500701904298e-05,-5.42372465133667e-05,0.0
27,0.0135,5.975045281191573e-05,1.6283988952636718e-05,-5.748867988586426e-05,0.0
28,0.014,6.330649538186732e-05,1.7452239990234376e-05,-6.085336208343506e-05,0.0
29,0.0145,6.698639390033796e-05,1.8662214279174806e-05,-6.433427333831788e-05,0.0
30,0.015,7.07929781558169e-05,1.991391181945801e-05,-6.793439388275146e-05,0.0
31,0.0155,7.472738053571725e-05,2.1201372146606448e-05,-7.165670394897461e-05,0.0
32,0.016,7.879122842560151e-05,2.2530555725097656e-05,-7.550120353698731e-05,0.0
33,0.0165,8.297992121716629e-05,2.3895502090454104e-05,-7.946491241455078e-05,0.0
34,0.017,8.72922786562838e-05,2.530217170715332e-05,-8.354485034942627e-05,0.0
35,0.0175,9.172084852569427e-05,2.6744604110717776e-05,-8.773505687713623e-05,0.0
36,0.018000000000000002,9.626164820160893e-05,2.8228759765625e-05,-9.202957153320312e-05,0.0
37,0.0185,0.00010090153713296819,2.9748678207397462e-05,-9.641647338867188e-05,0.0
38,0.019,0.00010563197300948403,3.130435943603516e-05,-0.00010088682174682618,0.0
39,0.0195,0.00011044443023581479,3.2895803451538085e-05,-0.00010543167591094972,0.0
40,0.02,0.00011532649636122518,3.452897071838379e-05,-0.00011003613471984864,0.0
41,0.0205,0.00012026507788062701,3.619790077209473e-05,-0.00011468827724456788,0.0
42,0.021,0.00012524422636207527,3.7896633148193363e-05,-0.00011937320232391357,0.0
43,0.021500000000000002,0.00013025728934284333,3.963112831115723e-05,-0.00012408196926116943,0.0
44,0.022,0.00013529301263333926,4.140138626098633e-05,-0.0001288026571273804,0.0
45,0.0225,0.00014033733582146933,4.320740699768067e-05,-0.00013352036476135253,0.0
46,0.023,0.00014538289247396916,4.50432300567627e-05,-0.0001382291316986084,0.0
47,0.0235,0.00015041848352612063,4.690885543823242e-05,-0.00014291703701019287,0.0
48,0.024,0.0001554404755912482,4.881024360656739e-05,-0.00014757812023162843,0.0
49,0.0245,0.00016044153981111607,5.074143409729004e-05,-0.00015220642089843752,0.0
50,0.025,0.00016541621652815211,5.270242691040039e-05,-0.0001567959785461426,0.0
