step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,4.190274356059729e-07,8.344650268554688e-08,-3.963708877563477e-07,1.0728836059570313e-07
2,0.001,1.2546317585913957e-06,2.443790435791016e-07,-1.1861324310302736e-06,3.2782554626464844e-07
3,0.0015,2.502807834979521e-06,4.82797622680664e-07,-2.3633241653442386e-06,6.675720214843751e-07
4,0.002,4.159618511173134e-06,7.987022399902344e-07,-3.921985626220703e-06,1.1324882507324219e-06
5,0.0025,6.214461701324382e-06,1.1861324310302736e-06,-5.85019588470459e-06,1.7285346984863281e-06
6,0.003,8.659147724529862e-06,1.6510486602783205e-06,-8.13603401184082e-06,2.461671829223633e-06
7,0.0035,1.147602304611309e-05,2.187490463256836e-06,-1.0761618614196778e-05,3.3318996429443363e-06
8,0.004,1.4655332563433438e-05,2.8014183044433594e-06,-1.3715028762817384e-05,4.339218139648437e-06
9,0.0045000000000000005,1.8178507907229456e-05,3.4868717193603516e-06,-1.697540283203125e-05,5.489587783813477e-06
10,0.005,2.2034836955157085e-05,4.243850708007813e-06,-2.0530819892883303e-05,6.783008575439454e-06
11,0.0055,2.6209241492884825e-05,5.078315734863281e-06,-2.4363398551940918e-05,8.219480514526368e-06
12,0.006,3.069025752077839e-05,5.990266799926758e-06,-2.8458237648010257e-05,9.804964065551758e-06
13,0.006500000000000001,3.546433150505002e-05,6.973743438720703e-06,-3.280341625213623e-05,1.1533498764038086e-05
14,0.007,4.052683381191608e-05,8.034706115722657e-06,-3.738999366760254e-05,1.341104507446289e-05
15,0.0075,4.5865378337835204e-05,9.173154830932618e-06,-4.22060489654541e-05,1.5431642532348635e-05
16,0.008,5.1477043508723326e-05,1.0389089584350587e-05,-4.7245621681213384e-05,1.7601251602172852e-05
17,0.0085,5.7354893705770006e-05,1.1682510375976562e-05,-5.250275135040283e-05,1.991391181945801e-05
18,0.009000000000000001,6.350150988979528e-05,1.3053417205810547e-05,-5.7977437973022464e-05,2.2375583648681643e-05
19,0.0095,6.991864771030773e-05,1.4507770538330078e-05,-6.366968154907227e-05,2.4986267089843753e-05
20,0.01,7.66034013962543e-05,1.603960990905762e-05,-6.957948207855225e-05,2.77400016784668e-05
21,0.0105,8.356369428887387e-05,1.7648935317993165e-05,-7.571280002593994e-05,3.064274787902832e-05
22,0.011,9.080034921606344e-05,1.933574676513672e-05,-8.207261562347412e-05,3.3688545227050784e-05
23,0.0115,9.832118939657436e-05,2.110004425048828e-05,-8.866488933563234e-05,3.688335418701172e-05
24,0.012,0.00010613083046229953,2.294778823852539e-05,-9.54955816268921e-05,4.02212142944336e-05
25,0.0125,0.00011423840880894599,2.487301826477051e-05,-0.00010257363319396973,4.370808601379395e-05
26,0.013000000000000001,0.00012264439293731673,2.6875734329223635e-05,-0.00010990202426910401,4.733800888061524e-05
27,0.0135,0.0001313554426746085,2.8961896896362307e-05,-0.00011748671531677247,5.111098289489746e-05
28,0.014,0.00014037290406041715,3.112554550170899e-05,-0.00012533068656921388,5.502700805664063e-05
29,0.0145,0.0001497044141480417,3.3366680145263676e-05,-0.00013343989849090576,5.909204483032227e-05
30,0.015,0.00015934760015210185,3.568530082702637e-05,-0.00014181435108184814,6.330013275146484e-05
31,0.0155,0.00016929738462518297,3.8081407546997076e-05,-0.00015045106410980225,6.764531135559083e-05
32,0.016,0.00017955609228732317,4.055500030517579e-05,-0.00015935003757476808,7.213354110717774e-05
33,0.0165,0.0001901184151851126,4.31060791015625e-05,-0.00016850531101226808,7.676482200622559e-05
34,0.017,0.00020097401760758407,4.573464393615723e-05,-0.00017790794372558595,8.153319358825684e-05
35,0.0175,0.00021211762199205256,4.8440694808959964e-05,-0.00018755197525024416,8.643865585327149e-05
36,0.018000000000000002,0.00022353734557408446,5.121827125549317e-05,-0.0001974254846572876,9.148120880126954e-05
37,0.0185,0.00023522670270386377,5.407333374023438e-05,-0.00020751953125000002,9.666085243225098e-05
38,0.019,0.0002471687957273747,5.699992179870606e-05,-0.0002178192138671875,0.00010197162628173829
39,0.0195,0.0002593544183088079,6.0003995895385745e-05,-0.00022830963134765626,0.00010741949081420899
40,0.02,0.0002717667484219946,6.30795955657959e-05,-0.00023897588253021242,0.00011299848556518556
41,0.0205,0.0002843928351313378,6.622672080993653e-05,-0.0002498030662536621,0.00011870861053466798
42,0.021,0.0002972172822965876,6.944537162780763e-05,-0.00026077628135681155,0.0001245439052581787
43,0.021500000000000002,0.00031023233542205566,7.273554801940918e-05,-0.00027188360691070556,0.0001305103302001953
44,0.022,0.0003234186684952005,7.609128952026368e-05,-0.0002831071615219116,0.00013660192489624025
45,0.0225,0.00033676611243093545,7.95125961303711e-05,-0.0002944350242614746,0.00014281868934631347
46,0.023,0.0003502659582428757,8.300542831420899e-05,-0.0003058552742004395,0.00014916062355041504
47,0.0235,0.00036390673272455735,8.656382560729982e-05,-0.0003173559904098511,0.00015562772750854492
48,0.024,0.00037767702997595193,9.018182754516602e-05,-0.00032892823219299316,0.00016221404075622559
49,0.0245,0.0003915682549894699,9.386539459228517e-05,-0.0003405600786209107,0.00016891956329345703
50,0.025,0.0004055767869060042,9.76085662841797e-05,-0.00035224854946136475,0.00017574429512023926
