step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,3.043351739506761e-07,6.343471170566772e-08,-2.976507005314488e-07
2,0.001,9.071549129657797e-07,1.9036234277791664e-07,-8.869566840985499e-07
3,0.0015,1.7993801293414435e-06,3.812136242231645e-07,-1.7585349496584968e-06
4,0.002,2.969085244330927e-06,6.362912472468452e-07,-2.9001037091802573e-06
5,0.0025,4.402346803544788e-06,9.556650866215932e-07,-4.297367013350595e-06
6,0.003,6.0841089180030394e-06,1.3394164852797985e-06,-5.934841738053365e-06
7,0.0035,7.998189175850712e-06,1.7875339608508511e-06,-7.79588026489364e-06
8,0.004,1.0127750101673882e-05,2.2998196982371155e-06,-9.863171726465225e-06
9,0.0045000000000000005,1.2455915566533804e-05,2.8763199679815443e-06,-1.2119266102672555e-05
10,0.005,1.4966340131650213e-05,3.516755668897531e-06,-1.4547294085787144e-05
11,0.0055,1.7642822058405727e-05,4.22054426962859e-06,-1.713056190055795e-05
12,0.006,2.047035377472639e-05,4.98750023325556e-06,-1.9853468984365463e-05
13,0.006500000000000001,2.3435368348145857e-05,5.816971224703593e-06,-2.2701966372551396e-05
14,0.007,2.6525614885031246e-05,6.7087939896737225e-06,-2.5663210180937313e-05
15,0.0075,2.973035407194402e-05,7.662410098419059e-06,-2.872596996894572e-05
16,0.008,3.3040952985174954e-05,8.677190635353327e-06,-3.188119808328338e-05
17,0.0085,3.645031392807141e-05,9.752577170729637e-06,-3.512139664962888e-05
18,0.009000000000000001,3.995328370365314e-05,1.0887720236496534e-05,-3.8441154174506664e-05
19,0.0095,4.354668999440037e-05,1.2082280591130257e-05,-4.183697819826193e-05
20,0.01,4.7228520998032764e-05,1.3335235962586012e-05,-4.5306784159038216e-05
21,0.0105,5.099898044136353e-05,1.4645839655713644e-05,-4.885074667981826e-05
22,0.011,5.485934525495395e-05,1.6013567801564932e-05,-5.2470120863290504e-05
23,0.0115,5.8811921917367727e-05,1.7437723727198318e-05,-5.6167318689404055e-05
24,0.012,6.285973358899355e-05,1.8917222405434586e-05,-5.994568346068263e-05
25,0.0125,6.70065128360875e-05,2.0451319869607687e-05,-6.380921695381403e-05
26,0.013000000000000001,7.125631236704066e-05,2.2039237592252903e-05,-6.776233203709126e-05
27,0.0135,7.561297388747334e-05,2.3680098820477724e-05,-7.180929242167622e-05
28,0.014,8.008034637896344e-05,2.537310319894459e-05,-7.595437637064606e-05
29,0.0145,8.46615293994546e-05,2.7117319405078888e-05,-8.020115637918934e-05
30,0.015,8.935880032368004e-05,2.891173426178284e-05,-8.455239003524184e-05
31,0.0155,9.417405817657709e-05,3.0755694751860574e-05,-8.901034016162157e-05
32,0.016,9.910744120134041e-05,3.264821134507656e-05,-9.357552335131913e-05
33,0.0165,0.00010415820725029334,3.4588167181937024e-05,-9.824759763432667e-05
34,0.017,0.00010932434815913439,3.657473644125275e-05,-0.00010302476584911346
35,0.0175,0.00011460272799013183,3.860708238789812e-05,-0.00010790402302518487
36,0.018000000000000002,0.0001199889593408443,4.068419730174355e-05,-0.0001128811200032942
37,0.0185,0.00012547732330858707,4.280521534383297e-05,-0.00011795029422501102
38,0.019,0.0001310612278757617,4.496911060414277e-05,-0.00012310492456890643
39,0.0195,0.00013673299690708518,4.717487536254339e-05,-0.00012833722576033324
40,0.02,0.00014248437946662307,4.942153100273572e-05,-0.00013363873586058617
41,0.0205,0.00014830668806098402,5.170843724044971e-05,-0.00013900040357839316
42,0.021,0.00015419050760101527,5.4034357162890956e-05,-0.00014441261009778827
43,0.021500000000000002,0.0001601264375494793,5.6398312153760344e-05,-0.00014986563473939896
44,0.022,0.0001661051355767995,5.879958553123288e-05,-0.00015534968406427652
45,0.0225,0.00017211759404744953,6.123720959294587e-05,-0.00016085543029475957
46,0.023,0.00017815497994888574,6.371027848217636e-05,-0.00016637366206850857
47,0.0235,0.00018420886772219092,6.62176898913458e-05,-0.00017189567734021693
48,0.024,0.0001902716321637854,6.875843246234581e-05,-0.00017741357441991568
49,0.0245,0.00019633663760032505,7.133176404749975e-05,-0.00018292035383637995
50,0.025,0.00020239765581209213,7.393652776954696e-05,-0.00018840967095457017
