step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,3.064138623020872e-07,7.949241503017154e-08,-2.959229814724659e-07,0.0
2,0.001,9.03313816779093e-07,2.3552047924732607e-07,-8.72069925773801e-07,0.0
3,0.0015,1.7752008696953478e-06,4.659722170491851e-07,-1.7129530118206354e-06,0.0
4,0.002,2.9068616415296723e-06,7.693105795252039e-07,-2.803213483705295e-06,0.0
5,0.0025,4.283559864497299e-06,1.1436113222377515e-06,-4.12807924540963e-06,0.0
6,0.003,5.890533091702457e-06,1.587607259825459e-06,-5.672555270157463e-06,0.0
7,0.0035,7.713270210104855e-06,2.0997613433777804e-06,-7.421963327512966e-06,0.0
8,0.004,9.73699927620027e-06,2.6785482571819625e-06,-9.361331857095552e-06,0.0
9,0.0045000000000000005,1.1947461170093627e-05,3.3231584105904666e-06,-1.1475994361667177e-05,0.0
10,0.005,1.433076133624817e-05,4.032007821901574e-06,-1.3751859270681544e-05,0.0
11,0.0055,1.687338687997663e-05,4.803711973776027e-06,-1.6175151809932674e-05,0.0
12,0.006,1.956277215262006e-05,5.63720314521489e-06,-1.87329654618511e-05,0.0
13,0.006500000000000001,2.23873197078114e-05,6.5312141508568e-06,-2.141343796347071e-05,0.0
14,0.007,2.533631698120907e-05,7.4846655365050316e-06,-2.420555184206625e-05,0.0
15,0.0075,2.840013902022009e-05,8.496630379534138e-06,-2.7099357345911456e-05,0.0
16,0.008,3.157045436291819e-05,9.565911893769516e-06,-3.0086324440212685e-05,0.0
17,0.0085,3.4840373685656656e-05,1.0691677022168006e-05,-3.315930760751559e-05,0.0
18,0.009000000000000001,3.820388896452894e-05,1.1872693778961666e-05,-3.63122055849691e-05,0.0
19,0.0095,4.165667511556911e-05,1.3108293371876394e-05,-3.954050109142392e-05,0.0
20,0.01,4.519512879131677e-05,1.4397372880319918e-05,-4.284058030196064e-05,0.0
21,0.0105,4.881727866646757e-05,1.573922831242479e-05,-4.6210425106559187e-05,0.0
22,0.011,5.252201948718117e-05,1.7133014877950112e-05,-4.9648991250616355e-05,0.0
23,0.0115,5.63090736559733e-05,1.8578192849797537e-05,-5.3156020603780696e-05,0.0
24,0.012,6.0178846261465464e-05,2.0073823572143783e-05,-5.673213502553504e-05,0.0
25,0.0125,6.413221944676974e-05,2.16189449227701e-05,-6.037849610246072e-05,0.0
26,0.013000000000000001,6.817068668591426e-05,2.3213134506555985e-05,-6.409674648224844e-05,0.0
27,0.0135,7.229565179940287e-05,2.4855441934480444e-05,-6.788864614456659e-05,0.0
28,0.014,7.650877860792772e-05,2.654529227985172e-05,-7.175611933385292e-05,0.0
29,0.0145,8.081154216950941e-05,2.8281969817604607e-05,-7.570096122936947e-05,0.0
30,0.015,8.520473130561743e-05,3.0064172162784373e-05,-7.97244742160707e-05,0.0
31,0.0155,8.968949421521143e-05,3.189151211986391e-05,-8.382801934490053e-05,0.0
32,0.016,9.426570443971353e-05,3.3763097965811185e-05,-8.801179608022134e-05,0.0
33,0.0165,9.893293442798553e-05,3.5678108376780857e-05,-9.227566362365954e-05,0.0
34,0.017,0.00010368981542251434,3.7635405232587186e-05,-9.661860118700768e-05,0.0
35,0.0175,0.00010853450691496393,3.963430800775846e-05,-0.0001010389074565857,0.0
36,0.018000000000000002,0.00011346438399717458,4.167369031530666e-05,-0.00010553421232644038,0.0
37,0.0185,0.00011847577674354206,4.375251963382629e-05,-0.00011010098410403637,0.0
38,0.019,0.00012356459663583736,4.5869798641505214e-05,-0.0001147352217689274,0.0
39,0.0195,0.0001287259811633074,4.802454174972896e-05,-0.00011943207951042597,0.0
40,0.02,0.00013395453259040842,5.021550523953172e-05,-0.00012418623045673522,0.0
41,0.0205,0.00013924480419694491,5.244196165265059e-05,-0.0001289920778725091,0.0
42,0.021,0.0001445902560972633,5.4702620337328596e-05,-0.00013384306290018273,0.0
43,0.021500000000000002,0.00014998466359906568,5.69964253057645e-05,-0.00013873286134614718,0.0
44,0.022,0.000155421596440653,5.9322637366497625e-05,-0.00014365478528766183,0.0
45,0.0225,0.00016089457271616824,6.168009493294664e-05,-0.00014860225240076626,0.0
46,0.023,0.00016639713286221134,6.406761295213471e-05,-0.00015356870382789546,0.0
47,0.0235,0.00017192305075506932,6.648441703300775e-05,-0.00015854765111067163,0.0
48,0.024,0.00017746644223291236,6.89294394545668e-05,-0.00016353308685182588,0.0
49,0.0245,0.00018302188121910716,7.140176502738415e-05,-0.0001685194260492101,0.0
50,0.025,0.00018858422680054695,7.390016176569179e-05,-0.000173501517828994,0.0
