step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,4.1790210264398984e-07,1.0848045349121095e-07,-3.8921833038330085e-07,1.0669231414794921e-07
2,0.001,1.2483155166330522e-06,3.194808959960938e-07,-1.1616945266723634e-06,3.2663345336914065e-07
3,0.0015,2.4793340656052486e-06,6.282329559326172e-07,-2.3031234741210938e-06,6.693601608276367e-07
4,0.002,4.0950631929903605e-06,1.02996826171875e-06,-3.7962198257446288e-06,1.139044761657715e-06
5,0.0025,6.074061590817939e-06,1.5187263488769532e-06,-5.617141723632812e-06,1.742243766784668e-06
6,0.003,8.395289693403194e-06,2.090930938720703e-06,-7.743239402770996e-06,2.480149269104004e-06
7,0.0035,1.1034908578671565e-05,2.739429473876953e-06,-1.014828681945801e-05,3.3581256866455076e-06
8,0.004,1.397140728408456e-05,3.459453582763672e-06,-1.28096342086792e-05,4.375576972961426e-06
9,0.0045000000000000005,1.7188827826418613e-05,4.249811172485351e-06,-1.57088041305542e-05,5.53429126739502e-06
10,0.005,2.0672640116660925e-05,5.104541778564454e-06,-1.8830895423889164e-05,6.8336725234985355e-06
11,0.0055,2.4418310183784225e-05,6.022453308105468e-06,-2.216935157775879e-05,8.276700973510743e-06
12,0.006,2.8423076907304746e-05,7.0059299468994144e-06,-2.5720596313476568e-05,9.860992431640625e-06
13,0.006500000000000001,3.2691532110741444e-05,8.058547973632812e-06,-2.9488801956176755e-05,1.1584758758544921e-05
14,0.007,3.722918883845936e-05,9.17792320251465e-06,-3.348052501678467e-05,1.3447403907775881e-05
15,0.0075,4.2048738991323885e-05,1.0368824005126954e-05,-3.770828247070313e-05,1.5448927879333496e-05
16,0.008,4.7162043291061186e-05,1.163601875305176e-05,-4.218459129333496e-05,1.7587542533874515e-05
17,0.0085,5.258132806493348e-05,1.2984275817871094e-05,-4.692256450653076e-05,1.9861459732055662e-05
18,0.009000000000000001,5.831703119636012e-05,1.4417171478271486e-05,-5.193352699279785e-05,2.2269487380981446e-05
19,0.0095,6.437621371675563e-05,1.593470573425293e-05,-5.7225823402404794e-05,2.4811029434204104e-05
20,0.01,7.076186623579834e-05,1.754164695739746e-05,-6.280243396759034e-05,2.7484297752380372e-05
21,0.0105,7.747199439509699e-05,1.9240379333496094e-05,-6.866216659545899e-05,3.028571605682373e-05
22,0.011,8.449903124388094e-05,2.1029710769653323e-05,-7.479667663574218e-05,3.321588039398194e-05
23,0.0115,9.18296033039325e-05,2.2907257080078128e-05,-8.119344711303713e-05,3.62706184387207e-05
24,0.012,9.944874779988762e-05,2.487301826477051e-05,-8.78363847732544e-05,3.9448142051696787e-05
25,0.0125,0.00010733422645541598,2.692103385925293e-05,-9.470224380493165e-05,4.2747855186462406e-05
26,0.013000000000000001,0.00011546598756365049,2.905130386352539e-05,-0.00010176956653594973,4.6166777610778806e-05
27,0.0135,0.00012382007069370362,3.125905990600586e-05,-0.00010901212692260743,4.9705505371093754e-05
28,0.014,0.00013237373704593655,3.353953361511231e-05,-0.00011640608310699463,5.336225032806397e-05
29,0.0145,0.0001411054446908053,3.589034080505371e-05,-0.00012392818927764893,5.7135224342346194e-05
30,0.015,0.0001499976728942141,3.8309097290039064e-05,-0.00013155996799468994,6.102204322814942e-05
31,0.0155,0.00015903473801220125,4.079341888427734e-05,-0.00013928413391113282,6.502211093902588e-05
32,0.016,0.0001682057237339506,4.3340921401977545e-05,-0.00014708876609802248,6.913483142852782e-05
33,0.0165,0.0001775032593427895,4.595160484313965e-05,-0.00015496551990509035,7.335901260375978e-05
34,0.017,0.00018692163496119175,4.862666130065918e-05,-0.00016290783882141115,7.769286632537842e-05
35,0.0175,0.00019645919415548578,5.1364898681640624e-05,-0.00017091393470764163,8.213579654693603e-05
36,0.018000000000000002,0.00020611440399941029,5.416750907897949e-05,-0.0001789820194244385,8.668601512908935e-05
37,0.0185,0.0002158857531425876,5.70356845855713e-05,-0.000187111496925354,9.133934974670412e-05
38,0.019,0.0002257751990288831,5.996942520141602e-05,-0.00019530296325683596,9.609818458557129e-05
39,0.0195,0.0002357791366859523,6.296992301940918e-05,-0.00020355343818664553,0.00010095834732055664
40,0.02,0.0002458936190330986,6.603717803955079e-05,-0.00021185934543609624,0.0001059168577194214
41,0.0205,0.0002561138601713595,6.916999816894531e-05,-0.0002202153205871582,0.00011097311973571778
42,0.021,0.0002664315035942828,7.236719131469727e-05,-0.00022861242294311526,0.00011612534523010252
43,0.021500000000000002,0.0002768375294037554,7.562875747680664e-05,-0.00023704051971435548,0.00012137174606323243
44,0.022,0.0002873173516628127,7.895112037658691e-05,-0.00024548590183258055,0.00012670695781707763
45,0.0225,0.00029785827386430636,8.233070373535156e-05,-0.00025393426418304446,0.00013213098049163818
46,0.023,0.0003084452511301015,8.576631546020507e-05,-0.00026236891746521,0.00013764142990112306
47,0.0235,0.0003190636770070075,8.925437927246094e-05,-0.00027077436447143556,0.0001432359218597412
48,0.024,0.0003296996567348928,9.279251098632812e-05,-0.00027913451194763186,0.00014891386032104493
49,0.0245,0.0003403405024570695,9.637713432312012e-05,-0.00028743624687194825,0.00015467226505279543
50,0.025,0.00035097259366450245,0.00010000824928283692,-0.00029566407203674317,0.0001605081558227539
