step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,1.6701727499183549e-07,3.963474213607662e-08,-1.4793215774175696e-07,6.663283025185892e-08
2,0.001,4.987612362370972e-07,1.1916235675961905e-07,-4.413090352936992e-07,1.9952302842628302e-07
3,0.0015,9.926085527314105e-07,2.386884426507425e-07,-8.768922700656684e-07,3.991985884238416e-07
4,0.002,1.644861307032807e-06,3.985767289409486e-07,-1.4503640452707844e-06,6.656947098379059e-07
5,0.0025,2.4514397780174697e-06,5.97994158587118e-07,-2.157559075693445e-06,9.984481991745352e-07
6,0.003,3.4083382781130105e-06,8.369407315892496e-07,-2.9938896809975923e-06,1.397470789631521e-06
7,0.0035,4.511316368516629e-06,1.1149588532335183e-06,-3.95455698328694e-06,1.8628798131867664e-06
8,0.004,5.756030371027469e-06,1.4323770530580543e-06,-5.034820770654153e-06,2.3939008787861017e-06
9,0.0045000000000000005,7.138137880720498e-06,1.7885030723932217e-06,-6.229952564389689e-06,2.9903110556715103e-06
10,0.005,8.65358125636797e-06,2.182996648503103e-06,-7.535470282937597e-06,3.651805280700444e-06
11,0.0055,1.0297999037234373e-05,2.615376720278283e-06,-8.946621981192758e-06,4.377961158752442e-06
12,0.006,1.2067464320992725e-05,3.0857958192900393e-06,-1.0459101575566095e-05,5.1680512315644995e-06
13,0.006500000000000001,1.3958458475661723e-05,3.5934560880886318e-06,-1.2069025377588949e-05,6.0219816335542965e-06
14,0.007,1.5967693555015842e-05,4.138111129520442e-06,-1.3772756095946298e-05,6.939341702799161e-06
15,0.0075,1.8092094215826166e-05,4.7195497460252646e-06,-1.5566855903685572e-05,7.919767710167588e-06
16,0.008,2.0329127193490093e-05,5.337243943702516e-06,-1.7448602698919343e-05,8.962895926528094e-06
17,0.0085,2.2676473921427487e-05,5.991205455749992e-06,-1.9415403444935953e-05,1.0068268757166826e-05
18,0.009000000000000001,2.5132202842574158e-05,6.680730290300264e-06,-2.1465310430902184e-05,1.1235475540161128e-05
19,0.0095,2.7695037068643783e-05,7.405689382177636e-06,-2.3596751408314147e-05,1.2464516275511016e-05
20,0.01,3.0363629272538334e-05,8.16584806742631e-06,-2.5808470925008215e-05,1.3754698704546832e-05
21,0.0105,3.313703355871492e-05,8.960807417321383e-06,-2.8099553791556744e-05,1.5105694297730443e-05
22,0.011,3.6014854811988105e-05,9.790673030643006e-06,-3.0469448547663665e-05,1.651742092267734e-05
23,0.0115,3.899660424427463e-05,1.0654705715930365e-05,-3.291815519332886e-05,1.7989092455135558e-05
24,0.012,4.2082095540583564e-05,1.155285854039231e-05,-3.544547426418995e-05,1.95205680967316e-05
25,0.0125,4.527117983698673e-05,1.2484756041699509e-05,-3.805147615943368e-05,2.1111507584729515e-05
26,0.013000000000000001,4.856401818135451e-05,1.3450363020258619e-05,-4.073655980778492e-05,2.276146505761335e-05
27,0.0135,5.1960194019311194e-05,1.4448893351817704e-05,-4.350090120721053e-05,2.4469630924735476e-05
28,0.014,5.5459811992924226e-05,1.5480710765508215e-05,-4.6344641156083936e-05,2.623571185615117e-05
29,0.0145,5.906257680565794e-05,1.6545087803067187e-05,-4.926797911876767e-05,2.8059121191970966e-05
30,0.015,6.276829369635931e-05,1.7642106596879125e-05,-5.227078603008601e-05,2.9939600801843354e-05
31,0.0155,6.657635260980187e-05,1.8771027955483262e-05,-5.535303842364333e-05,3.1876329361923115e-05
32,0.016,7.04861530297833e-05,1.9932004410450854e-05,-5.851417310594574e-05,3.386893140988087e-05
33,0.0165,7.449644098913746e-05,2.112423810433215e-05,-6.17533335535545e-05,3.591673815344262e-05
34,0.017,7.860612212626934e-05,2.2347670371138217e-05,-6.506963977663531e-05,3.8019022134345344e-05
35,0.0175,8.281390080813061e-05,2.3601796683364024e-05,-6.846181285662914e-05,4.017558388822659e-05
36,0.018000000000000002,8.711790981889964e-05,2.4886229845482547e-05,-7.192824534543854e-05,4.238553169205432e-05
37,0.0185,9.151629961163317e-05,2.6200641327955616e-05,-7.546702473182382e-05,4.4648490083499204e-05
38,0.019,9.600689415902925e-05,2.7544632202058335e-05,-7.90761329057649e-05,4.6963626005518165e-05
39,0.0195,0.00010058762717264545,2.89180030034283e-05,-8.275327016049484e-05,4.9330681327759765e-05
40,0.02,0.00010525608301215495,3.0320202271769376e-05,-8.649596079127994e-05,5.174917498911464e-05
41,0.0205,0.00011000931166267005,3.175061988079641e-05,-9.03013536310572e-05,5.4218191800155045e-05
42,0.021,0.0001148449506783098,3.320915023172934e-05,-9.416678524392795e-05,5.673739149814516e-05
43,0.021500000000000002,0.00011976025964067301,3.469515973188745e-05,-9.808948659521395e-05,5.9306140490404274e-05
44,0.022,0.00012475258496795434,3.620847238330391e-05,-0.00010206647745267612,6.192405158140527e-05
45,0.0225,0.00012981931442909437,3.7748560192078114e-05,-0.00010609509438041628,6.459049117846752e-05
46,0.023,0.00013495776488922333,3.9315188494254255e-05,-0.00011017233367979997,6.730506035286613e-05
47,0.0235,0.0001401654167696938,4.090786449552522e-05,-0.00011429559058091774,7.00671724447115e-05
48,0.024,0.00014543986173605524,4.2526271399550544e-05,-0.0001184622485806622,7.287636985928996e-05
49,0.0245,0.00015077868474012567,4.416999854440764e-05,-0.00012266989064028887,7.573190167194274e-05
50,0.025,0.0001561796520425359,4.5838611801778215e-05,-0.00012691597065587692,7.86335918847032e-05
