step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.010718321017385e-07,4.172325134277344e-08,-1.9669532775878908e-07,0.0
2,0.001,5.93245900791716e-07,1.1920928955078125e-07,-5.811452865600586e-07,0.0
3,0.0015,1.1648591404665513e-06,2.3245811462402346e-07,-1.1414289474487306e-06,0.0
4,0.002,1.905962787017233e-06,3.75509262084961e-07,-1.8686056137084962e-06,0.0
5,0.0025,2.8060512709582727e-06,5.543231964111329e-07,-2.7507543563842777e-06,0.0
6,0.003,3.852259996541591e-06,7.62939453125e-07,-3.775954246520996e-06,0.0
7,0.0035,5.03582708761652e-06,1.0013580322265625e-06,-4.9352645874023444e-06,0.0
8,0.004,6.342156177101268e-06,1.2695789337158204e-06,-6.213784217834473e-06,0.0
9,0.0045000000000000005,7.762505023939055e-06,1.5676021575927735e-06,-7.602572441101075e-06,0.0
10,0.005,9.28644573877909e-06,1.901388168334961e-06,-9.08970832824707e-06,0.0
11,0.0055,1.0904083310465327e-05,2.2649765014648438e-06,-1.0666251182556153e-05,0.0
12,0.006,1.2603817559357546e-05,2.658367156982422e-06,-1.2320280075073243e-05,0.0
13,0.006500000000000001,1.4381176982905995e-05,3.0875205993652346e-06,-1.4045834541320801e-05,0.0
14,0.007,1.6226281877836793e-05,3.546476364135742e-06,-1.583397388458252e-05,0.0
15,0.0075,1.813474623215545e-05,4.041194915771484e-06,-1.767873764038086e-05,0.0
16,0.008,2.0100949547159648e-05,4.571676254272461e-06,-1.9574165344238283e-05,0.0
17,0.0085,2.2123708408659016e-05,5.131959915161133e-06,-2.1520256996154786e-05,0.0
18,0.009000000000000001,2.4204543754017545e-05,5.7280063629150396e-06,-2.3517012596130372e-05,0.0
19,0.0095,2.6343641458391014e-05,6.35981559753418e-06,-2.556443214416504e-05,0.0
20,0.01,2.8541179868665162e-05,7.027387619018555e-06,-2.766251564025879e-05,0.0
21,0.0105,3.080309869823884e-05,7.730722427368165e-06,-2.981722354888916e-05,0.0
22,0.011,3.3135299727065304e-05,8.469820022583007e-06,-3.2034516334533694e-05,0.0
23,0.0115,3.5543647057653336e-05,9.244680404663087e-06,-3.4320354461669926e-05,0.0
24,0.012,3.803109437773111e-05,1.00553035736084e-05,-3.667771816253662e-05,0.0
25,0.0125,4.0607917136943795e-05,1.0907649993896484e-05,-3.91155481338501e-05,0.0
26,0.013000000000000001,4.328119087674395e-05,1.1795759201049805e-05,-4.1642785072326666e-05,0.0
27,0.0135,4.6053771689517504e-05,1.271963119506836e-05,-4.426240921020508e-05,0.0
28,0.014,4.893303202086541e-05,1.3685226440429689e-05,-4.698038101196289e-05,0.0
29,0.0145,5.192302765039818e-05,1.468658447265625e-05,-4.980266094207764e-05,0.0
30,0.015,5.5026565474878183e-05,1.5723705291748048e-05,-5.273222923278809e-05,0.0
31,0.0155,5.824531402109584e-05,1.680254936218262e-05,-5.5769085884094244e-05,0.0
32,0.016,6.158038990376794e-05,1.7917156219482423e-05,-5.8916211128234866e-05,0.0
33,0.0165,6.503064247258442e-05,1.9073486328125e-05,-6.217062473297119e-05,0.0
34,0.017,6.859431130758937e-05,2.0265579223632812e-05,-6.553232669830323e-05,0.0
35,0.0175,7.226744237970423e-05,2.14993953704834e-05,-6.899535655975342e-05,0.0
36,0.018000000000000002,7.60454196645579e-05,2.276897430419922e-05,-7.2556734085083e-05,0.0
37,0.0185,7.992149650469921e-05,2.4080276489257812e-05,-7.62075185775757e-05,0.0
38,0.019,8.388821739992111e-05,2.5427341461181642e-05,-7.994174957275391e-05,0.0
39,0.0195,8.793889230095059e-05,2.6816129684448244e-05,-8.375048637390138e-05,0.0
40,0.02,9.206323678842676e-05,2.824068069458008e-05,-8.762478828430177e-05,0.0
41,0.0205,9.625178618758392e-05,2.970695495605469e-05,-9.1552734375e-05,0.0
42,0.021,0.00010049427924308768,3.120899200439453e-05,-9.552538394927979e-05,0.0
43,0.021500000000000002,0.00010478229327396496,3.274679183959961e-05,-9.953379631042481e-05,0.0
44,0.022,0.00010910930312915989,3.432631492614746e-05,-0.00010356903076171876,0.0
45,0.0225,0.00011346508321159502,3.594160079956055e-05,-0.00010762214660644532,0.0
46,0.023,0.00011784128532135535,3.759264945983887e-05,-0.00011168420314788818,0.0
47,0.0235,0.00012223241219727399,3.927946090698242e-05,-0.00011574923992156983,0.0
48,0.024,0.0001266320983859593,4.100799560546875e-05,-0.00011980831623077394,0.0
49,0.0245,0.00013103581628416184,4.2772293090820314e-05,-0.00012385845184326172,0.0
50,0.025,0.00013543813967391042,4.4572353363037113e-05,-0.00012789368629455568,0.0
