step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,1.531497178525816e-07,3.963474213607662e-08,-1.4793215774175696e-07,0.0
2,0.001,4.5306985229680565e-07,1.1811810215627071e-07,-4.3740188042948565e-07,0.0
3,0.0015,8.928630250165151e-07,2.3448795784176809e-07,-8.615217809602026e-07,0.0
4,0.002,1.466383078696346e-06,3.882984476765309e-07,-1.41403806491161e-06,0.0
5,0.0025,2.167349334999543e-06,5.792093089246378e-07,-2.088520939894548e-06,0.0
6,0.003,2.989429207219171e-06,8.068216128612129e-07,-2.878493680728702e-06,0.0
7,0.0035,3.925969367386698e-06,1.0705604327945264e-06,-3.7771862322889916e-06,0.0
8,0.004,4.970643172160604e-06,1.3699799072085406e-06,-4.778121869395098e-06,0.0
9,0.0045000000000000005,6.117188486627095e-06,1.705232567674532e-06,-5.8747065348888036e-06,0.0
10,0.005,7.359385970894718e-06,2.0755557563361197e-06,-7.060639501556639e-06,0.0
11,0.0055,8.691039419922742e-06,2.480832141215406e-06,-8.329444044218293e-06,0.0
12,0.006,1.0106574398985257e-05,2.9206627935875112e-06,-9.675359162758651e-06,0.0
13,0.006500000000000001,1.1600407786818389e-05,3.3947309171120986e-06,-1.1092576924271472e-05,0.0
14,0.007,1.3167758867229157e-05,3.90307171138253e-06,-1.2576005120915686e-05,0.0
15,0.0075,1.4804261030264665e-05,4.445028117322544e-06,-1.4121185137530951e-05,0.0
16,0.008,1.6506045503388395e-05,5.020682267316683e-06,-1.5723939955703853e-05,0.0
17,0.0085,1.827010661288383e-05,5.62978776421134e-06,-1.73810898788332e-05,0.0
18,0.009000000000000001,2.009383969304367e-05,6.271828347303736e-06,-1.9089959737822777e-05,0.0
19,0.0095,2.1975392576418017e-05,6.947191212120962e-06,-2.0848367157883548e-05,0.0
20,0.01,2.391344627494635e-05,7.655219299586742e-06,-2.2655033220456333e-05,0.0
21,0.0105,2.5907452311587203e-05,8.396464069997236e-06,-2.450908966890469e-05,0.0
22,0.011,2.795697379923251e-05,9.16983433595793e-06,-2.6410348772063953e-05,0.0
23,0.0115,3.0062515937158134e-05,9.975975423347293e-06,-2.835903346069216e-05,0.0
24,0.012,3.222455502804069e-05,1.0814547069429413e-05,-3.0355683461887623e-05,0.0
25,0.0125,3.444413167791467e-05,1.168547887501754e-05,-3.2401354763451536e-05,0.0
26,0.013000000000000001,3.6722240198093876e-05,1.2588500976562501e-05,-3.449713855277835e-05,0.0
27,0.0135,3.9060396684567344e-05,1.3523871504415672e-05,-3.6644501479591905e-05,0.0
28,0.014,4.145983605069125e-05,1.4491379261016844e-05,-3.8844792861638075e-05,0.0
29,0.0145,4.392167679142096e-05,1.5490859981596934e-05,-4.1099232951487135e-05,0.0
30,0.015,4.6446832648700235e-05,1.652187953783771e-05,-4.340893640292913e-05,0.0
31,0.0155,4.903617405338213e-05,1.7584649127299394e-05,-4.577473627300714e-05,0.0
32,0.016,5.1690210573995105e-05,1.8678781554454892e-05,-4.819731308719305e-05,0.0
33,0.0165,5.440889680592388e-05,1.980421815331526e-05,-5.0676631645893475e-05,0.0
34,0.017,5.719208015030289e-05,2.0960759459518087e-05,-5.3212598083526163e-05,0.0
35,0.0175,6.0038926330987634e-05,2.2147900945558307e-05,-5.580450840822359e-05,0.0
36,0.018000000000000002,6.294851789116908e-05,2.3365771676611704e-05,-5.845131836538235e-05,0.0
37,0.0185,6.591914341464121e-05,2.4613702860404192e-05,-6.115144397330095e-05,0.0
38,0.019,6.894875509739777e-05,2.589131903460646e-05,-6.390282018916817e-05,0.0
39,0.0195,7.203522102880868e-05,2.7198760997592005e-05,-6.670307690703022e-05,0.0
40,0.02,7.517574269265795e-05,2.8535277824702202e-05,-6.954948029180215e-05,0.0
41,0.0205,7.836753149808916e-05,2.990096338151947e-05,-7.243895624566264e-05,0.0
42,0.021,8.16070161787197e-05,3.129489074541828e-05,-7.536799654247252e-05,0.0
43,0.021500000000000002,8.489120598166975e-05,3.271715378198099e-05,-7.833329242045484e-05,0.0
44,0.022,8.821637847438304e-05,3.4167271430098185e-05,-8.13309719243388e-05,0.0
45,0.0225,9.157926338280329e-05,3.5644516231506855e-05,-8.435774975874297e-05,0.0
46,0.023,9.497625834699845e-05,3.7149040717778236e-05,-8.740960143682527e-05,0.0
47,0.0235,9.840406790639336e-05,3.868031689501184e-05,-9.048311259802867e-05,0.0
48,0.024,0.00010185931679377878,4.023781676930703e-05,-9.357477501621395e-05,0.0
49,0.0245,0.00010533890888275088,4.182096541397215e-05,-9.668139726158202e-05,0.0
50,0.025,0.00010884021032326271,4.343019695732541e-05,-9.979984657032287e-05,0.0
