step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.0158005350889413e-07,5.364418029785157e-08,-1.9431114196777345e-07,0.0
2,0.001,5.942819226201849e-07,1.5616416931152344e-07,-5.733966827392579e-07,0.0
3,0.0015,1.1656699813987776e-06,3.039836883544922e-07,-1.1253356933593752e-06,0.0
4,0.002,1.9056088738538811e-06,4.935264587402344e-07,-1.8405914306640627e-06,0.0
5,0.0025,2.8028538378937905e-06,7.236003875732421e-07,-2.7078390121459965e-06,0.0
6,0.003,3.846998105154349e-06,9.918212890625e-07,-3.7169456481933593e-06,0.0
7,0.0035,5.026752866986459e-06,1.2946128845214845e-06,-4.857182502746582e-06,0.0
8,0.004,6.3308304009634786e-06,1.628398895263672e-06,-6.117820739746095e-06,0.0
9,0.0045000000000000005,7.748286992711638e-06,1.9931793212890624e-06,-7.487535476684571e-06,0.0
10,0.005,9.269331777123692e-06,2.388954162597656e-06,-8.956193923950195e-06,0.0
11,0.0055,1.0882641392500814e-05,2.809762954711914e-06,-1.0513663291931153e-05,0.0
12,0.006,1.257838767573097e-05,3.25322151184082e-06,-1.215040683746338e-05,0.0
13,0.006500000000000001,1.4349130079717455e-05,3.7217140197753913e-06,-1.385807991027832e-05,0.0
14,0.007,1.618584607896821e-05,4.209280014038086e-06,-1.5628933906555178e-05,0.0
15,0.0075,1.8083980239319785e-05,4.718303680419922e-06,-1.745760440826416e-05,0.0
16,0.008,2.0038365852880018e-05,5.2487850189208986e-06,-1.9338726997375488e-05,0.0
17,0.0085,2.2047554818863958e-05,5.799531936645508e-06,-2.1271109580993656e-05,0.0
18,0.009000000000000001,2.4110355481704624e-05,6.368160247802735e-06,-2.3254156112670898e-05,0.0
19,0.0095,2.6227721734983238e-05,6.958246231079102e-06,-2.528786659240723e-05,0.0
20,0.01,2.8401394179741292e-05,7.569789886474609e-06,-2.73740291595459e-05,0.0
21,0.0105,3.063483364187476e-05,8.202791213989258e-06,-2.9516220092773437e-05,0.0
22,0.011,3.293271095672672e-05,8.859634399414063e-06,-3.171861171722412e-05,0.0
23,0.0115,3.530117251043133e-05,9.543895721435549e-06,-3.398656845092774e-05,0.0
24,0.012,3.774507958033094e-05,1.0254383087158204e-05,-3.632545471191406e-05,0.0
25,0.0125,4.027147900010758e-05,1.0995864868164062e-05,-3.8741230964660646e-05,0.0
26,0.013000000000000001,4.28878444407418e-05,1.1768341064453125e-05,-4.1241645812988286e-05,0.0
27,0.0135,4.559885640245636e-05,1.2574195861816408e-05,-4.383087158203125e-05,0.0
28,0.014,4.841034614916477e-05,1.3415813446044923e-05,-4.6514272689819336e-05,0.0
29,0.0145,5.132724389901122e-05,1.4294385910034181e-05,-4.9296617507934574e-05,0.0
30,0.015,5.435276090177937e-05,1.5211105346679687e-05,-5.2180886268615725e-05,0.0
31,0.0155,5.748758419126337e-05,1.6168355941772464e-05,-5.516707897186279e-05,0.0
32,0.016,6.0734597526730973e-05,1.71661376953125e-05,-5.8258175849914556e-05,0.0
33,0.0165,6.409301653199013e-05,1.8205642700195312e-05,-6.145298480987547e-05,0.0
34,0.017,6.756001007393031e-05,1.92868709564209e-05,-6.474852561950683e-05,0.0
35,0.0175,7.113366371603282e-05,2.0411014556884765e-05,-6.814241409301758e-05,0.0
36,0.018000000000000002,7.480853158107074e-05,2.157688140869141e-05,-7.162928581237793e-05,0.0
37,0.0185,7.85792898613521e-05,2.2785663604736326e-05,-7.520318031311035e-05,0.0
38,0.019,8.243810160176167e-05,2.403378486633301e-05,-7.88569450378418e-05,0.0
39,0.0195,8.637829729816809e-05,2.5323629379272462e-05,-8.258283138275148e-05,0.0
40,0.02,9.039091068800322e-05,2.6651620864868167e-05,-8.637249469757081e-05,0.0
41,0.0205,9.446667456687175e-05,2.8018951416015627e-05,-9.0215802192688e-05,0.0
42,0.021,9.859663560054011e-05,2.9422044754028324e-05,-9.410440921783447e-05,0.0
43,0.021500000000000002,0.0001027717700593898,3.086090087890625e-05,-9.80287790298462e-05,0.0
44,0.022,0.000106984421106895,3.233432769775391e-05,-0.00010198116302490233,0.0
45,0.0225,0.00011122467115494743,3.384113311767578e-05,-0.00010595142841339112,0.0
46,0.023,0.00011548602445887813,3.538012504577637e-05,-0.00010993301868438721,0.0
47,0.0235,0.00011976122810011103,3.695130348205567e-05,-0.00011391818523406983,0.0
48,0.024,0.0001240453190058983,3.855466842651367e-05,-0.00011790156364440918,0.0
49,0.0245,0.0001283314736633619,4.0187835693359376e-05,-0.00012187659740447998,0.0
50,0.025,0.00013261644911163995,4.185080528259278e-05,-0.00012583971023559572,0.0
