step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,2.2904777097210172e-07,4.441244527697563e-08,-2.0836014869018982e-07
2,0.001,6.861165502414224e-07,1.3369135842822288e-07,-6.235903242668428e-07
3,0.0015,1.3683824136023759e-06,2.6853521717384865e-07,-1.2423145108186873e-06
4,0.002,2.2722731500834925e-06,4.499102885802131e-07,-2.060073938991991e-06
5,0.0025,3.3931144116650103e-06,6.781192496418953e-07,-3.0714436434209347e-06
6,0.003,4.726162387669319e-06,9.537558298688964e-07,-4.270719273335999e-06
7,0.0035,6.265751380851725e-06,1.2773089110851288e-06,-5.6512540140829515e-06
8,0.004,8.006092684809119e-06,1.6487553011756972e-06,-7.2065390668285545e-06
9,0.0045000000000000005,9.94168749457458e-06,2.0689797111117514e-06,-8.929811883717775e-06
10,0.005,1.2066975614288822e-05,2.537970431149006e-06,-1.0814716006279923e-05
11,0.0055,1.4376219041878358e-05,3.055902197957039e-06,-1.2854719898314215e-05
12,0.006,1.686440191406291e-05,3.623101065386436e-06,-1.5043839994177688e-05
13,0.006500000000000001,1.9527060430846177e-05,4.239729605615139e-06,-1.737670936563518e-05
14,0.007,2.236005457234569e-05,4.905939476884669e-06,-1.9848510419251397e-05
15,0.0075,2.53598209383199e-05,5.621498075925047e-06,-2.2455002181231976e-05
16,0.008,2.8523489163490012e-05,6.386847417161334e-06,-2.5192659450112842e-05
17,0.0085,3.184871093253605e-05,7.2016846388578415e-06,-2.805875919875689e-05
18,0.009000000000000001,3.533395647536963e-05,8.066150257945992e-06,-3.10514478769619e-05
19,0.0095,3.8978454540483654e-05,8.980091479315888e-06,-3.416959589230828e-05
20,0.01,4.278171400073916e-05,9.94345191429602e-06,-3.741249747690745e-05
21,0.0105,4.6743818529648706e-05,1.0956241567328107e-05,-4.078040365129709e-05
22,0.011,5.086542296339758e-05,1.2018426787108183e-05,-4.4273980165598914e-05
23,0.0115,5.51474149688147e-05,1.3129611033946276e-05,-4.789426384377293e-05
24,0.012,5.95907295064535e-05,1.4289817954704631e-05,-5.164250251254998e-05
25,0.0125,6.419671990443021e-05,1.549871012684889e-05,-5.552027141675353e-05
26,0.013000000000000001,6.896635022712871e-05,1.675622843322344e-05,-5.952897481620312e-05
27,0.0135,7.390081009361893e-05,1.8062011804431677e-05,-6.367017340380698e-05
28,0.014,7.900090713519603e-05,1.941609662026167e-05,-6.794487126171589e-05
29,0.0145,8.426695421803743e-05,2.0817969925701618e-05,-7.235386874526739e-05
30,0.015,8.969895861810073e-05,2.2267364329309203e-05,-7.689745689276606e-05
31,0.0155,9.529655653750524e-05,2.376404700044077e-05,-8.157543925335631e-05
32,0.016,0.00010105872934218496,2.530769052100368e-05,-8.638694271212444e-05
33,0.0165,0.00010698405822040513,2.6897947464021854e-05,-9.133066487265751e-05
34,0.017,0.00011307036766083911,2.8534490411402658e-05,-9.640443749958649e-05
35,0.0175,0.00011931511107832193,3.0217041057767347e-05,-0.00010160548117710277
36,0.018000000000000002,0.00012571529077831656,3.19453320116736e-05,-0.00010693073272705078
37,0.0185,0.00013226726150605828,3.371874481672421e-05,-0.00011237631406402215
38,0.019,0.00013896713790018111,3.553670831024647e-05,-0.00011793810699600726
39,0.0195,0.00014581058348994702,3.739910971489735e-05,-0.000123611229355447
40,0.02,0.0001527933491161093,3.930542152374983e-05,-0.00012939103180542588
41,0.0205,0.0001599104725755751,4.125534542254172e-05,-0.00013527218834497035
42,0.021,0.00016715739911887795,4.3248328438494354e-05,-0.00014124956214800477
43,0.021500000000000002,0.0001745292538544163,4.5283766667125747e-05,-0.00014731801638845354
44,0.022,0.00018202158389613032,4.736138726002537e-05,-0.0001534723414806649
45,0.0225,0.00018962970352731645,4.948071364196949e-05,-0.00015970760432537645
46,0.023,0.00019734933448489755,5.164106914889999e-05,-0.00016601906099822372
47,0.0235,0.000205176358576864,5.384206451708451e-05,-0.0001724022877169773
48,0.024,0.00021310706506483257,5.608326682704501e-05,-0.00017885315173771232
49,0.0245,0.00022113765589892864,5.836419222760014e-05,-0.00018536766583565623
50,0.025,0.00022926501696929336,6.068397851777263e-05,-0.00019194261403754354
