step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,2.130408773837189e-07,4.441244527697563e-08,-2.0836014869018982e-07
2,0.001,6.369205038936343e-07,1.3370299711823463e-07,-6.227288622540073e-07
3,0.0015,1.267124162041e-06,2.6868656277656555e-07,-1.2383097782731056e-06
4,0.002,2.097220203722827e-06,4.5015477212473343e-07,-2.0483391836023657e-06
5,0.0025,3.1192507776722778e-06,6.785500090700225e-07,-3.0445517040789127e-06
6,0.003,4.323997018218506e-06,9.543961141389445e-07,-4.217354671709472e-06
7,0.0035,5.701509962818818e-06,1.278042304875271e-06,-5.55642191102379e-06
8,0.004,7.241613275255077e-06,1.6499310504514142e-06,-7.051148259051843e-06
9,0.0045000000000000005,8.933517165132798e-06,2.070807340714964e-06,-8.690194590599276e-06
10,0.005,1.0766634659375995e-05,2.540671403039596e-06,-1.0462571481184568e-05
11,0.0055,1.2730649359582458e-05,3.0596390843129484e-06,-1.2357510058791377e-05
12,0.006,1.4815931535849813e-05,3.6280835047364235e-06,-1.436484762962209e-05
13,0.006500000000000001,1.7013506294460967e-05,4.245969648764003e-06,-1.6475167285534553e-05
14,0.007,1.931532460730523e-05,4.913564680464333e-06,-1.8679898857953958e-05
15,0.0075,2.1714495233027264e-05,5.631090516544646e-06,-2.0971650883438997e-05
16,0.008,2.420552118564956e-05,6.398360710591078e-06,-2.334455530217383e-05
17,0.0085,2.678402051969897e-05,7.215491677925456e-06,-2.579380634415429e-05
18,0.009000000000000001,2.944670086435508e-05,8.082541171461344e-06,-2.8315733288764022e-05
19,0.0095,3.2191965146921575e-05,8.999521924124565e-06,-3.090843165409751e-05
20,0.01,3.5019100323552266e-05,9.96644394035684e-06,-3.357093009981327e-05
21,0.0105,3.792880670516752e-05,1.0983075299009215e-05,-3.630380524555221e-05
22,0.011,4.092243761988357e-05,1.2049172255501617e-05,-3.910835584974848e-05
23,0.0115,4.4002197682857513e-05,1.3164780284569133e-05,-4.198668830213137e-05
24,0.012,4.7171113692456856e-05,1.4329515579447616e-05,-4.4941949454369023e-05
25,0.0125,5.0432525313226506e-05,1.554356458655093e-05,-4.797746805706993e-05
26,0.013000000000000001,5.379005233407952e-05,1.680640343693085e-05,-5.109710764372721e-05
27,0.0135,5.724703805753961e-05,1.811786751204636e-05,-5.430438250186853e-05
28,0.014,6.0806924011558294e-05,1.947782038769219e-05,-5.760291969636455e-05
29,0.0145,6.44728061161004e-05,2.0885980120510794e-05,-6.099605161580257e-05
30,0.015,6.824706360930577e-05,2.234203384432476e-05,-6.44863976049237e-05
31,0.0155,7.21314427210018e-05,2.3845712348702364e-05,-6.807588943047449e-05
32,0.016,7.612699118908495e-05,2.5396806449862197e-05,-7.176573853939772e-05
33,0.0165,8.023362170206383e-05,2.6994781364919618e-05,-7.555604679509997e-05
34,0.017,8.445057028438896e-05,2.863935696950648e-05,-7.944612298160791e-05
35,0.0175,8.877582149580121e-05,3.0330242225318216e-05,-8.34339443827048e-05
36,0.018000000000000002,9.320665412815288e-05,3.2067277061287314e-05,-8.751668792683631e-05
37,0.0185,9.773908095667139e-05,3.3849722967715934e-05,-9.169037366518751e-05
38,0.019,0.00010236848902422935,3.567724706954323e-05,-9.595020674169064e-05
39,0.0195,0.00010708980698836967,3.7549798435065895e-05,-0.00010029077384388074
40,0.02,0.00011189671931788325,3.94665876228828e-05,-0.00010470560664543882
41,0.0205,0.0001167828231700696,4.142740726820193e-05,-0.0001091879021259956
42,0.021,0.00012174129369668663,4.343144973972812e-05,-0.00011373060988262296
43,0.021500000000000002,0.00012676510959863663,4.547877688310109e-05,-0.00011832614109152928
44,0.022,0.0001318470312980935,4.756879206979647e-05,-0.0001229668705491349
45,0.0225,0.0001369800156680867,4.9700913223205134e-05,-0.000127645384054631
46,0.023,0.0001421574124833569,5.187473652767949e-05,-0.00013235460210125893
47,0.0235,0.00014737265883013606,5.408984361565672e-05,-0.00013708752521779388
48,0.024,0.00015261971566360444,5.6345634220633656e-05,-0.00014183775056153536
49,0.0245,0.00015789311146363616,5.864184277015738e-05,-0.00014659935550298542
50,0.025,0.00016318794223479927,6.097761433920823e-05,-0.00015136721776798368
