step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,0.9999998807907104,1.0198925733566284,0.020000005140900612,0.01247412245720625,0.0,0.01247412245720625,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,6.303601799998432
1,1,moving_boundary,0.9999998807907104,1.0207643508911133,0.02734951116144657,0.0122379707172513,0.0021189984399825335,0.012327507138252258,0.0007561031961813569,0.9997544288635254,0.006100853905081749,0.5214122533798218,224,0.0,0.4123327434062958,11466,0.0,1024,0.0029476566705852747,162.62723499999265
2,2,moving_boundary,0.9999998807907104,1.0205864906311035,0.027359724044799805,0.01235270407050848,0.00202760542742908,0.012452508322894573,0.0014472231268882751,0.9993342161178589,0.011819584295153618,0.5214123129844666,224,0.0,0.4119281768798828,11466,2.747829341842589e-07,1024,0.0029476885683834553,162.9385788999789
3,3,moving_boundary,0.9999999403953552,1.0206719636917114,0.027133017778396606,0.012334033846855164,0.00199713371694088,0.012436259537935257,0.0020953670609742403,0.9987747669219971,0.01718130148947239,0.5214123129844666,224,0.0,0.41180557012557983,11466,5.331546617526328e-07,1024,0.00294775003567338,163.15069869998842
4,4,moving_boundary,0.9999998807907104,1.020682692527771,0.027074934914708138,0.012333903461694717,0.001988263800740242,0.01243690773844719,0.0027119359001517296,0.9980926513671875,0.022190282121300697,0.5214122533798218,224,0.0,0.4117649793624878,11466,7.757674893582589e-07,1024,0.002947838045656681,163.36204700000235
5,5,moving_boundary,0.9999998211860657,1.0206862688064575,0.02705281414091587,0.012334928847849369,0.0019815906416624784,0.01243840716779232,0.003303704783320427,0.9973087906837463,0.026828160509467125,0.5214121341705322,224,0.0,0.41174423694610596,11466,1.003675720312458e-06,1024,0.002947949105873704,163.55426559998887
6,6,moving_boundary,0.9999998211860657,1.0206857919692993,0.02703995443880558,0.012334669008851051,0.0019761696457862854,0.012438449077308178,0.003874802030622959,0.9964454174041748,0.031068747863173485,0.5214123725891113,224,0.0,0.4117346704006195,11466,1.217621047544526e-06,1024,0.0029480804223567247,163.7468627000053
7,7,moving_boundary,0.9999998211860657,1.0206859111785889,0.027032339945435524,0.012334642000496387,0.0019715651869773865,0.012438630685210228,0.0044278791174292564,0.995536744594574,0.03488844260573387,0.5214121341705322,224,0.0,0.4117300510406494,11466,1.4181767937770928e-06,1024,0.002948229433968663,163.95078309997916
8,8,moving_boundary,0.9999998211860657,1.0206857919692993,0.02702716737985611,0.012334618717432022,0.001967410556972027,0.012438763864338398,0.004964711610227823,0.9946058392524719,0.03831995278596878,0.5214123725891113,224,0.0,0.4117286801338196,11466,1.6058379515015986e-06,1024,0.002948393812403083,164.14869559998624
9,9,moving_boundary,0.9999998211860657,1.0206860303878784,0.027023257687687874,0.012334532104432583,0.001963583054021001,0.012438802048563957,0.005486584268510342,0.9936740398406982,0.04134221002459526,0.5214122533798218,224,0.0,0.41172918677330017,11466,1.7810561985243112e-06,1024,0.00294857076369226,164.35818660000223
10,10,moving_boundary,0.9999998211860657,1.0206859111785889,0.027020152658224106,0.012334461323916912,0.001960000954568386,0.012438827194273472,0.005994447506964207,0.9927605390548706,0.0439370833337307,0.5214122533798218,224,0.0,0.4117306172847748,11466,1.944276846188586e-06,1024,0.002948758425191045,164.58315429999493
11,11,moving_boundary,0.9999998211860657,1.0206860303878784,0.027017667889595032,0.01233441848307848,0.001956608612090349,0.012438859790563583,0.006489069666713476,0.9918822646141052,0.046129822731018066,0.5214124321937561,224,0.0,0.4117324948310852,11466,2.0959394078090554e-06,1024,0.002948954002931714,164.79233679999015
12,12,moving_boundary,0.9999998211860657,1.0206859111785889,0.027015725150704384,0.012334379367530346,0.001953388098627329,0.0124388812109828,0.006971064954996109,0.9910542368888855,0.04795939102768898,0.5214124321937561,224,0.0,0.4117344617843628,11466,2.2365106815414038e-06,1024,0.002949155867099762,165.0040120999911
13,13,moving_boundary,0.9999998807907104,1.0206857919692993,0.027014033868908882,0.012334298342466354,0.0019503140356391668,0.012438846752047539,0.007440940942615271,0.990289032459259,0.04948761314153671,0.5214124321937561,224,0.0,0.4117366075515747,11466,2.3664822492719395e-06,1024,0.0029493619222193956,165.2153958999843
14,14,moving_boundary,0.9999998211860657,1.0206857919692993,0.027012618258595467,0.012334260158240795,0.0019473542924970388,0.012438849546015263,0.007899163290858269,0.9895968437194824,0.05080747604370117,0.5214123725891113,224,0.0,0.41173845529556274,11466,2.4863763883331558e-06,1024,0.002949570771306753,165.41567869999562
15,15,moving_boundary,0.9999998211860657,1.0206859111785889,0.027011431753635406,0.012334248051047325,0.0019445127109065652,0.012438870966434479,0.008346091024577618,0.9889854788780212,0.05193224176764488,0.5214123725891113,224,0.0,0.41174018383026123,11466,2.5967690362449503e-06,1024,0.0029497805517166853,165.62193579997984
16,16,moving_boundary,0.9999998211860657,1.0206856727600098,0.02701054885983467,0.012334207072854042,0.0019417696166783571,0.012438854202628136,0.00878208875656128,0.9884602427482605,0.05303602293133736,0.5214125514030457,224,0.0,0.4117416739463806,11466,2.6982652343576774e-06,1024,0.002949990564957261,165.84419509998406
17,17,moving_boundary,0.9999998211860657,1.0206856727600098,0.02700968086719513,0.012334166094660759,0.0019391156965866685,0.012438834644854069,0.009207452647387981,0.9880240559577942,0.05450975522398949,0.5214123129844666,224,0.0,0.41174307465553284,11466,2.791524138956447e-06,1024,0.0029501975513994694,166.05187259998638
18,18,moving_boundary,0.9999998807907104,1.0206859111785889,0.027008922770619392,0.012334141880273819,0.0019365273183211684,0.012438827194273472,0.009622473269701004,0.9876774549484253,0.05638454854488373,0.5214122533798218,224,0.0,0.4117441475391388,11466,2.8772358291462297e-06,1024,0.002950402209535241,166.25650649997988
19,19,moving_boundary,0.9999998211860657,1.020686149597168,0.02700836956501007,0.012334132567048073,0.001934003783389926,0.012438834644854069,0.010027383454144001,0.9874187111854553,0.058346934616565704,0.5214123725891113,224,0.0,0.4117453396320343,11466,2.9562629606516566e-06,1024,0.0029506024438887835,166.44965759999468
20,20,moving_boundary,0.9999998211860657,1.0206857919692993,0.027007922530174255,0.012334153056144714,0.001931539038196206,0.012438870035111904,0.010422419756650925,0.9872439503669739,0.06041968986392021,0.5214124321937561,224,0.0,0.41174623370170593,11466,3.0314959076349624e-06,1024,0.0029507975559681654,166.67080459999852
21,21,moving_boundary,0.9999998807907104,1.0206857919692993,0.027007516473531723,0.012334116734564304,0.0019291054923087358,0.012438840232789516,0.010807815939188004,0.9871475100517273,0.06257740408182144,0.521412193775177,224,0.0,0.411747008562088,11466,3.1011722967377864e-06,1024,0.0029509856831282377,166.88941149998573
