step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,6.547541602230922e-07,1.2664823145769333e-07,-5.954527182439051e-07
2,0.001,1.960519057320198e-06,3.818655329723697e-07,-1.7816084891819628e-06
3,0.0015,3.9098217712307815e-06,7.676193831684941e-07,-3.5492005281412276e-06
4,0.002,6.4918781390588265e-06,1.2855161912739277e-06,-5.885178779863054e-06
5,0.0025,9.693762876850087e-06,1.9374535895622103e-06,-8.774094567343127e-06
6,0.003,1.3500931345333811e-05,2.724491196204326e-06,-1.2198835975141264e-05
7,0.0035,1.7897416910273023e-05,3.6477576941251755e-06,-1.6140786101459526e-05
8,0.004,2.2866990548209287e-05,4.708592314273119e-06,-2.0580844648065977e-05
9,0.0045000000000000005,2.839298758772202e-05,5.907239483349258e-06,-2.5499659386696294e-05
10,0.005,3.4459011658327654e-05,7.244967946462566e-06,-3.087801087531261e-05
11,0.0055,4.1049108403967693e-05,8.721801350475289e-06,-3.669729994726367e-05
12,0.006,4.8148118366952986e-05,1.0338029824197292e-05,-4.2939955164911225e-05
13,0.006500000000000001,5.5742475524311885e-05,1.209374750033021e-05,-4.958987847203389e-05
14,0.007,6.381941784638911e-05,1.3988954378874041e-05,-5.6632015912327915e-05
15,0.0075,7.236832607304677e-05,1.6023381249397062e-05,-6.405384192476049e-05
16,0.008,8.138002885971218e-05,1.8196984456153587e-05,-7.184433343354613e-05
17,0.0085,9.084726480068639e-05,2.0509307432803325e-05,-7.999459194252267e-05
18,0.009000000000000001,0.00010076427133753896,2.2959675334277563e-05,-8.849785808706656e-05
19,0.0095,0.00011112696665804833,2.5547202312736772e-05,-9.734922059578821e-05
20,0.01,0.00012193329894216731,2.8271566407056525e-05,-0.00010654582729330286
21,0.0105,0.00013318211131263524,3.1131938158068806e-05,-0.00011608632485149428
22,0.011,0.00014487346925307065,3.4127060644095764e-05,-0.0001259709388250485
23,0.0115,0.00015700825315434486,3.725576607394032e-05,-0.00013620064419228584
24,0.012,0.00016958794731181115,4.0517097659176216e-05,-0.0001467774563934654
25,0.0125,0.00018261441437061876,4.3909880332648754e-05,-0.00015770377649459988
26,0.013000000000000001,0.00019608913862612098,4.743237514048815e-05,-0.0001689818745944649
27,0.0135,0.0002100131387123838,5.108356708660722e-05,-0.00018061355513054878
28,0.014,0.0002243872149847448,5.4861502576386556e-05,-0.0001926003460539505
29,0.0145,0.00023921081447042525,5.8764941059052944e-05,-0.00020494234922807664
30,0.015,0.00025448205997236073,6.279205263126642e-05,-0.00021763831318821758
31,0.0155,0.00027019830304197967,6.694098556181416e-05,-0.00023068588052410632
32,0.016,0.00028635517810471356,7.120987720554695e-05,-0.00024408088938798755
33,0.0165,0.0003029461076948792,7.559682853752747e-05,-0.00025781686417758465
34,0.017,0.00031996428151614964,8.009996236069128e-05,-0.0002718865580391139
35,0.0175,0.00033740015351213515,8.471716864733025e-05,-0.00028628003201447427
36,0.018000000000000002,0.00035524353734217584,8.944633736973628e-05,-0.0003009862848557532
37,0.0185,0.00037348264595493674,9.428535122424364e-05,-0.0003159924817737192
38,0.019,0.0003921045863535255,9.923191100824624e-05,-0.0003312845656182617
39,0.0195,0.00041110027814283967,0.0001042933072312735,-0.0003468602953944355
40,0.02,0.0004304542380850762,0.00010946709517156705,-0.00036270314012654126
41,0.0205,0.0004501498769968748,0.00011474997882032767,-0.0003787954046856612
42,0.021,0.00047017078031785786,0.00012013986997772008,-0.0003951191029045731
43,0.021500000000000002,0.0004905001842416823,0.0001256335963262245,-0.00041165630682371557
44,0.022,0.0005111211794428527,0.00013122834207024425,-0.0004283882735762745
45,0.0225,0.0005320179625414312,0.00013692167703993618,-0.00044529783190228045
46,0.023,0.0005531749338842928,0.00014271079271566123,-0.0004623679560609162
47,0.0235,0.0005745779490098357,0.00014859301154501736,-0.00047958301729522645
48,0.024,0.0005962121649645269,0.000154565364937298,-0.000496927066706121
49,0.0245,0.0006180464406497777,0.00016063114162534475,-0.0005143815651535988
50,0.025,0.0006400669808499515,0.00016678818792570382,-0.0005319311167113483
