step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,6.681475154160712e-07,1.5869150011558213e-07,-5.920454273073693e-07,2.6593292792012377e-07
2,0.001,1.9957852267076422e-06,4.770131561699808e-07,-1.7660222654267563e-06,7.979865149250184e-07
3,0.0015,3.9706176441749875e-06,9.552230985145868e-07,-3.5077450782295287e-06,1.5965831561351386e-06
4,0.002,6.578417475573321e-06,1.592898932028944e-06,-5.80102205276489e-06,2.662027914693034e-06
5,0.0025,9.803726308158941e-06,2.3897825263616605e-06,-8.628382457522896e-06,3.994121326236271e-06
6,0.003,1.3630160942169446e-05,3.3447122949314883e-06,-1.1971686768719524e-05,5.592218064886376e-06
7,0.0035,1.8040149571526853e-05,4.456397585981476e-06,-1.581165734238513e-05,7.455133077666514e-06
8,0.004,2.301635217885626e-05,5.723723745721536e-06,-2.0128969601758828e-05,9.582068507126933e-06
9,0.0045000000000000005,2.8541051586784533e-05,7.144977727274259e-06,-2.490431070327759e-05,1.1971475571159302e-05
10,0.005,3.459711275340098e-05,8.719033143651768e-06,-3.011856726774081e-05,1.4622263082369103e-05
11,0.0055,4.1167574686998924e-05,1.0443883618031898e-05,-3.5753153909848416e-05,1.7533011323823704e-05
12,0.006,4.823631919830382e-05,1.2317851303130627e-05,-4.1790306568145766e-05,2.070225364579929e-05
13,0.006500000000000001,5.578853693395381e-05,1.433910582009263e-05,-4.821365743171509e-05,2.412869939653892e-05
14,0.007,6.381003348587522e-05,1.650601625442506e-05,-5.500741361633063e-05,2.7811081390681225e-05
15,0.0075,7.228825069407883e-05,1.8816365031745496e-05,-6.215769474900616e-05,3.174833190722727e-05
16,0.008,8.121179626910141e-05,2.1268626836341175e-05,-6.965182897612802e-05,3.593917202761794e-05
17,0.0085,9.057076682334718e-05,2.3860900890170117e-05,-7.747875189217991e-05,4.038272176201887e-05
18,0.009000000000000001,0.00010035637023603318,2.659139201397033e-05,-8.562895960695164e-05,4.5077490994310756e-05
19,0.0095,0.00011056119747564013,2.945797649894175e-05,-9.409435621396764e-05,5.002257626826371e-05
20,0.01,0.00012117956228656702,3.2459222894953914e-05,-0.00010286864098601457,5.521709759404343e-05
21,0.0105,0.00013220623999929396,3.5593124825184744e-05,-0.00011194645185170213,6.065979951948629e-05
22,0.011,0.00014363734941696745,3.885778151159211e-05,-0.00012132398725494623,6.634946179202222e-05
23,0.0115,0.00015546982470282414,4.2251221776947256e-05,-0.00013099818483112361,7.228538041978377e-05
24,0.012,0.00016770104423511627,4.57714627108236e-05,-0.00014096701473701665,7.846600662066244e-05
25,0.0125,0.00018032883890522388,4.941674433355254e-05,-0.0001512287639257476,8.489014360848373e-05
26,0.013000000000000001,0.0001933514115924236,5.318472000557606e-05,-0.00016178242334230676,9.155654766428185e-05
27,0.0135,0.0002067666192933988,5.7073629747225586e-05,-0.0001726266084693548,9.846364653955294e-05
28,0.014,0.0002205724258361218,6.108100958696499e-05,-0.0001837602281194972,0.00010561005571695762
29,0.0145,0.00023476624375438391,6.520492354715896e-05,-0.00019518154577946104,0.0001129941208156075
30,0.015,0.0002493446517886972,6.944286072348042e-05,-0.0002068881796100947,0.00012061395279065835
31,0.0155,0.0002643039274059122,7.37926856739315e-05,-0.00021887709071317056,0.00012846799112680387
32,0.016,0.0002796393951771581,7.825157069784448e-05,-0.0002311443836670224,0.00013655459317635354
33,0.0165,0.0002953452691926135,8.28173334204306e-05,-0.00024368498973020432,0.00014487147096573833
34,0.017,0.0003114150531637085,8.748729867259348e-05,-0.00025649281937306336,0.00015341688798168514
35,0.0175,0.00032784108977566183,9.225892035041266e-05,-0.0002695605510801779,0.0001621887205153939
36,0.018000000000000002,0.0003446148651880881,9.712937075322058e-05,-0.00028287969001634857,0.00017118519685399819
37,0.0185,0.00036172701241759105,0.00010209605684430577,-0.00029644080269055094,0.00018040420502189573
38,0.019,0.00037916735193907394,0.00010715626825497843,-0.000310233505222741,0.00018984358611069327
39,0.0195,0.0003969134436617357,0.00011231337241300448,-0.00032425286966984663,0.00019946444456971538
40,0.02,0.00041495318756265,0.00011756470588248541,-0.0003384862945774409,0.00020926470362295316
41,0.0205,0.00043327398136483843,0.00012290660790571073,-0.0003529206270308007,0.00021924265022352907
42,0.021,0.0004518635825131713,0.00012833660277794667,-0.0003675420570561265,0.00022939758037957632
43,0.021500000000000002,0.00047070888990054206,0.00013385140520381185,-0.0003823360237549611,0.00023972864930085308
44,0.022,0.0004897977351532842,0.0001394481874826386,-0.000397288388623966,0.0002502358100545688
45,0.0225,0.0005091175863986856,0.0001451242627121332,-0.00041238454383189284,0.00026091886317636075
46,0.023,0.0005286565138411183,0.0001508765919940676,-0.00042761047994058004,0.0002717779259982072
47,0.0235,0.0005484028028053583,0.00015670247669295049,-0.00044295225791105106,0.00028281312758528346
48,0.024,0.0005683450961998183,0.00016259900697572954,-0.0004583967482949805,0.0002940240338092715
49,0.0245,0.0005884373444319697,0.00016857096998710325,-0.00047391683567227336,0.00030536071991357246
50,0.025,0.0006086692660837309,0.00017461569055797553,-0.0004894997660569319,0.00031682426535238416
