step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.234402800007956
1,5,moving_boundary,0.9999998807907104,1.028489112854004,0.031701281666755676,0.013339260593056679,0.0005942326388321817,0.013596243225038052,0.00023640610743314028,0.9998542070388794,0.0031655440106987953,0.8833342790603638,1868,0.0,0.4167593717575073,47266,0.0,8192,0.000419667165260762,73.02960500001791
2,10,moving_boundary,0.9999998807907104,1.0114861726760864,0.05195707455277443,0.017185838893055916,0.0007803482585586607,0.01751561276614666,0.00045013747876510024,0.9997515678405762,0.0019820851739495993,0.8833343982696533,1868,0.0,0.40930625796318054,47266,1.0829041485749258e-07,8192,0.0004196692898403853,77.82268159999512
3,15,moving_boundary,0.9999999403953552,1.0109570026397705,0.049102783203125,0.015818793326616287,0.000705946353264153,0.016126930713653564,0.0006493483087979257,0.9997552037239075,0.00417114794254303,0.8833340406417847,1868,0.0,0.40950754284858704,47266,7.298432080915518e-08,8192,0.0004196680092718452,82.65145030000713
4,20,moving_boundary,0.9999998807907104,1.0124744176864624,0.04889355227351189,0.0159313827753067,0.0007432091515511274,0.016238011419773102,0.0008357154438272119,0.999752402305603,0.002490804996341467,0.8833343386650085,1868,0.0,0.40964603424072266,47266,1.7255531759019505e-07,8192,0.0004196668742224574,87.42737700001453
5,25,moving_boundary,0.9999998807907104,1.012161374092102,0.049243196845054626,0.016029195860028267,0.0007459743646904826,0.016337895765900612,0.001009262865409255,0.9997525811195374,0.003962407819926739,0.8833338022232056,1868,0.0,0.40950068831443787,47266,1.323268321584692e-07,8192,0.0004196669324301183,92.21983410001849
6,30,moving_boundary,0.9999999403953552,1.0121312141418457,0.049219876527786255,0.01601012982428074,0.0007417550659738481,0.016318904235959053,0.0011701361509039998,0.9997338056564331,0.003656124696135521,0.8833342790603638,1868,0.0,0.40950167179107666,47266,1.8175246907503606e-07,8192,0.0004196659428998828,97.00186550000217
7,35,moving_boundary,0.9999998807907104,1.0121430158615112,0.049212660640478134,0.016013573855161667,0.0007409544195979834,0.01632249355316162,0.001318585011176765,0.9997159838676453,0.004708338528871536,0.8833343982696533,1868,0.0,0.40950629115104675,47266,1.8208733365554508e-07,8192,0.00041966279968619347,101.7832968000148
8,40,moving_boundary,0.9999999403953552,1.012131929397583,0.049219872802495956,0.016016704961657524,0.0007401385810226202,0.016325771808624268,0.0014551420463249087,0.9997150897979736,0.003943266347050667,0.8833339214324951,1868,0.0,0.4094971716403961,47266,2.3169479845819296e-07,8192,0.0004196598019916564,106.54472410000744
9,45,moving_boundary,0.9999998807907104,1.012129306793213,0.04922639578580856,0.016016434878110886,0.0007393653504550457,0.01632557064294815,0.001580395852215588,0.999712347984314,0.00441933935508132,0.8833342790603638,1868,0.0,0.4094967544078827,47266,1.9874291012911272e-07,8192,0.00041965724085457623,111.39515700002084
