step,time_s,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m
0,0.0,0.0,0.0,0.0
1,0.0005,7.1545680491169605e-09,7.1490648956284986e-09,-2.805609355949201e-10
2,0.001,3.047688323931652e-08,3.047520280574645e-08,-3.2014213502407074e-10
3,0.0015,6.742052249819608e-08,6.741029068280113e-08,-1.1746306149973407e-09
4,0.002,1.1761289897549432e-07,1.1760042895048173e-07,-1.7124694995374057e-09
5,0.0025,1.8124356415682996e-07,1.8123421341442736e-07,-1.8405262869336525e-09
6,0.003,2.5852759222289023e-07,2.5852236262835504e-07,-1.6449485107372652e-09
7,0.0035,3.489360551611753e-07,3.4893281508630025e-07,-1.4982651785899748e-09
8,0.004,4.5255796976562124e-07,4.52556434993312e-07,-1.1839438318617113e-09
9,0.0045000000000000005,5.689498721039854e-07,5.689495878868911e-07,-5.983747941584738e-10
10,0.005,6.975198516556702e-07,6.975198516556702e-07,1.1525116277999459e-10
11,0.0055,8.38087260035536e-07,8.380867484447663e-07,9.348151142063443e-10
12,0.006,9.898983535094885e-07,9.898934649754665e-07,3.1106175413242454e-09
13,0.006500000000000001,1.1529824632816599e-06,1.1529726862136158e-06,4.7485810839020814e-09
14,0.007,1.3264132121548755e-06,1.3263919527162216e-06,7.518101696746271e-09
15,0.0075,1.510319407316274e-06,1.5102955330803525e-06,8.47969250372671e-09
16,0.008,1.7037824591170647e-06,1.703738234937191e-06,1.2265518378740126e-08
17,0.0085,1.9073082739851088e-06,1.9072439272349584e-06,1.567415885972423e-08
18,0.009000000000000001,2.119473720085807e-06,2.1193980046518845e-06,1.7919811412525632e-08
19,0.0095,2.341304934816435e-06,2.3412158043356612e-06,2.0437873615719582e-08
20,0.01,2.5716644813655876e-06,2.571562163211638e-06,2.2941966548728487e-08
21,0.0105,2.810698561006575e-06,2.810581236190046e-06,2.567190726665558e-08
22,0.011,3.0580636121158022e-06,3.0579278700315626e-06,2.8819778563615728e-08
23,0.0115,3.3131409509223886e-06,3.3129858820757363e-06,3.204564436032342e-08
24,0.012,3.5762054721999448e-06,3.576030621843529e-06,3.536115400493145e-08
25,0.0125,3.846464096568525e-06,3.846270374197047e-06,3.857770991544385e-08
26,0.013000000000000001,4.1234934542444535e-06,4.123279268242186e-06,4.204106573979516e-08
27,0.0135,4.4072862692701165e-06,4.407051164889708e-06,4.5547494664788246e-08
28,0.014,4.697847543866374e-06,4.697593340097228e-06,4.8869988944488796e-08
29,0.0145,4.9942977966566104e-06,4.994023129256675e-06,5.236943323438936e-08
30,0.015,5.296728886605706e-06,5.296437393553788e-06,5.555106241672547e-08
31,0.0155,5.604642410617089e-06,5.604336365649942e-06,5.85417758713902e-08
32,0.016,5.917973794566933e-06,5.917656380916014e-06,6.130431273732029e-08
33,0.0165,6.236681656446308e-06,6.236352874111617e-06,6.405054620017836e-08
34,0.017,6.56039992463775e-06,6.56006159260869e-06,6.660237517053247e-08
35,0.0175,6.888306870678207e-06,6.887961262691533e-06,6.901566251826807e-08
36,0.018000000000000002,7.220376573968679e-06,7.220024599519093e-06,7.12880918740666e-08
37,0.0185,7.556414402642986e-06,7.556056516477838e-06,7.35744833946228e-08
38,0.019,7.8962521001813e-06,7.895885573816486e-06,7.603085094842754e-08
39,0.0195,8.23950358608272e-06,8.239131602749694e-06,7.833820347968867e-08
40,0.02,8.58573639561655e-06,8.585358045820612e-06,8.060480638505396e-08
41,0.0205,8.934550351114012e-06,8.93416927283397e-06,8.25081940547534e-08
42,0.021,9.285606211051345e-06,9.285219675803091e-06,8.468749257417585e-08
43,0.021500000000000002,9.638974006520584e-06,9.638585652282927e-06,8.648029137248159e-08
44,0.022,9.994108040700667e-06,9.993716048484202e-06,8.85268676142914e-08
45,0.0225,1.0350968295824714e-05,1.0350578122597653e-05,8.990871691594293e-08
46,0.023,1.0708904483180959e-05,1.0708514309953898e-05,9.137555423421873e-08
47,0.0235,1.1068226740462705e-05,1.1067836567235645e-05,9.287730762252977e-08
48,0.024,1.1428720426920336e-05,1.1428329344198573e-05,9.451876792354597e-08
49,0.0245,1.1789797099481802e-05,1.178940055979183e-05,9.66223865361826e-08
50,0.025,1.2151136616012082e-05,1.2150734619353898e-05,9.883660823106766e-08
