step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9992601871490479,1.055232286453247,1.0107978653302387,102664.71758586168,1096.717585861683,0.010797865330238686,0.019879631172612114,0.0004160348823318691,0.0,43.58145830855584,0.8796864558465214,42.701771852709314,0.9798151211550021,0.02714633025206297,0.04701882323561712
50,0.9990244507789612,1.0537482500076294,1.021312044779685,103732.62176418304,2164.6217641830444,0.021312044779684985,0.019958848682969866,0.0004739587151018574,0.02098630457176406,43.78227480669423,1.0020480806265124,42.78022672606772,0.9771129278903228,0.026996335026653537,0.04675902388431523
75,0.9997386932373047,1.0512287616729736,1.031938092031932,104811.88813149929,3243.8881314992905,0.03193809203193221,0.01995504245915519,0.00032274015899601987,0.020098548041857314,43.78933400271177,0.683158836883917,43.10617516582785,0.984398967181332,0.0264191287162583,0.04575927322826131
100,0.9992894530296326,1.0412261486053467,1.0330088144460507,104920.63926565647,3352.6392656564713,0.03300881444605064,0.019954790966849358,0.037723657078266366,0.020023441943802144,43.767684798332894,79.99392840112675,36.22624360279386,0.45286241502153296,0.039731716007883146,0.0688173507975513
125,0.9723175168037415,1.0404269695281982,1.0183415030508942,103430.90978187323,1862.9097818732262,0.01834150305089424,0.019952940378718375,0.05327450947189925,0.017971239852490578,43.72869770071325,109.86024030595216,66.1315426052389,0.6019606585700863,0.05753019688347576,0.09964522397162069
150,0.9749869108200073,1.040959358215332,1.0064415833939198,102222.25874215364,654.2587421536446,0.006441583393919784,0.019956566397776734,0.03453039422430783,0.044722928546742306,43.78434467589873,73.60785385965156,29.823509183752826,0.4051674871626804,0.05721579399968415,0.09910066220284745
175,0.9764847159385681,1.040346384048462,1.001085503420029,101678.25241136551,110.25241136550903,0.001085503420029035,0.020134471486268006,0.03158987511816656,0.049559398694227964,43.75051728653598,67.70072041043107,23.950203123895093,0.3537658532833712,0.05711909333853369,0.09893317174460936
200,0.9396177530288696,1.0191049575805664,0.9903771879935488,100590.63023012877,-977.3697698712349,-0.009622812006451193,0.01983415701431847,0.04312057321009161,0.03110969249278044,39.453777443019206,90.45693050735107,51.00315306433187,0.5638390864941747,0.04799569398504038,0.08313098052661791
225,0.9457533359527588,0.9994646310806274,0.9779707580099437,99330.53394955397,-2237.4660504460335,-0.022029241990056254,0.01992540337789684,0.04030404747047837,0.021779555726987518,39.954633406037054,85.03068179999597,45.07604839395892,0.5301151000997978,0.050422818080891905,0.08733488277690742
250,0.9370492696762085,1.0095384120941162,0.9693496249018738,98454.90270203352,-3113.0972979664803,-0.030650375098126185,0.020038511994028983,0.03476480245151727,0.012747741271431119,42.428847076987864,73.79855906829783,31.36971199130997,0.4250721475778201,0.04084058135983755,0.07073796192588906
