step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.999940037727356,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9998078942298889,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9996301531791687,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.9994374513626099,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102457.3828125,0.00875652580044896,0,0,True
25,lightweight_reduction,0.9992601871490479,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102671.953125,0.010869103703922495,0,0,True
30,lightweight_reduction,0.9991231560707092,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102891.6796875,0.013032448088965028,0,0,True
35,lightweight_reduction,0.9990426301956177,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,103109.5703125,0.01517771652981254,0,0,True
40,lightweight_reduction,0.9990248680114746,1.0528252124786377,0.027183009311556816,0.026486221700906754,0.3515852987766266,0.026486221700906754,0.3515852987766266,0,0.0,3859584,101568,103327.8828125,0.017327138591879333,0,0,True
45,lightweight_reduction,0.9990238547325134,1.0537347793579102,0.026640664786100388,0.026464877650141716,0.3515332341194153,0.026464877650141716,0.3515332341194153,0,0.0,3859584,101568,103543.8203125,0.0194531773048598,0,0,True
50,lightweight_reduction,0.9990244507789612,1.0537482500076294,0.02699633501470089,0.02644142508506775,0.35122716426849365,0.02644142508506775,0.35122716426849365,0,0.0,3859584,101568,103750.515625,0.02148822094557341,0,0,True
55,lightweight_reduction,0.9990249276161194,1.0529725551605225,0.027306457981467247,0.026418481022119522,0.35069918632507324,0.026418481022119522,0.35069918632507324,0,0.0,3859584,101568,103957.078125,0.02352195696479206,0,0,True
60,lightweight_reduction,0.9990832209587097,1.0518242120742798,0.027411865070462227,0.026394875720143318,0.3504849374294281,0.026394875720143318,0.3504849374294281,0,0.0,3859584,101568,104166.34375,0.0255823069273787,0,0,True
65,lightweight_reduction,0.9992915391921997,1.0506113767623901,0.02723991498351097,0.026377584785223007,0.3505605459213257,0.026377584785223007,0.3505605459213257,0,0.0,3859584,101568,104385.859375,0.027743574501811596,0,0,True
70,lightweight_reduction,0.9995421767234802,1.0506831407546997,0.026806486770510674,0.026359980925917625,0.35058751702308655,0.026359980925917625,0.35058751702308655,0,0.0,3859584,101568,104594.0,0.029792848141146817,0,0,True
75,lightweight_reduction,0.9997386932373047,1.0512287616729736,0.026419127359986305,0.02634534053504467,0.35056406259536743,0.02634534053504467,0.35056406259536743,0,0.0,3859584,101568,104793.40625,0.03175612643746062,0,0,True
80,lightweight_reduction,1.0022175312042236,1.0514628887176514,0.026416221633553505,0.026327069848775864,0.3504551351070404,0.026327069848775864,0.3504551351070404,0,0.0,3859584,101568,104993.8515625,0.033729634948999686,0,0,True
85,lightweight_reduction,1.0236892700195312,1.0519565343856812,0.02590128220617771,0.026326987892389297,0.350397527217865,0.026326987892389297,0.350397527217865,0,0.0,3859584,101568,105122.46875,0.034995950988500314,0,0,True
90,lightweight_reduction,1.021554946899414,1.052639365196228,0.028495343402028084,0.0260945875197649,0.3517705798149109,0.0260945875197649,0.3517705798149109,0,0.0,3859584,101568,105096.875,0.03474396463453056,0,0,True
95,lightweight_reduction,1.0056270360946655,1.0452706813812256,0.03127661347389221,0.02548852190375328,0.34842371940612793,0.02548852190375328,0.34842371940612793,0,0.0,3859584,101568,105049.4765625,0.03427729759865312,0,0,True
100,lightweight_reduction,0.9992894530296326,1.0412261486053467,0.039731714874506,0.024525249376893044,0.3471687138080597,0.024525249376893044,0.3471687138080597,0,0.0,3859584,101568,104943.609375,0.033234969429347824,0,0,True
105,lightweight_reduction,0.9881160259246826,1.0405648946762085,0.04664360359311104,0.02371225319802761,0.3467046618461609,0.02371225319802761,0.3467046618461609,0,0.0,3859584,101568,104696.8515625,0.030805485610625395,0,0,True
110,lightweight_reduction,0.9795964956283569,1.0403640270233154,0.051787979900836945,0.023102128878235817,0.3467924892902374,0.023102128878235817,0.3467924892902374,0,0.0,3859584,101568,104394.09375,0.027824647034499054,0,0,True
115,lightweight_reduction,0.973853349685669,1.0403287410736084,0.05588274821639061,0.02265944890677929,0.3467426300048828,0.02265944890677929,0.3467426300048828,0,0.0,3859584,101568,104070.7421875,0.024641050207742595,0,0,True
120,lightweight_reduction,0.9707298278808594,1.0403923988342285,0.05755132809281349,0.022542688995599747,0.34681302309036255,0.022542688995599747,0.34681302309036255,0,0.0,3859584,101568,103752.765625,0.021510373592076245,0,0,True
125,lightweight_reduction,0.9723175168037415,1.0404269695281982,0.05753019452095032,0.02259558066725731,0.3468456268310547,0.02259558066725731,0.3468456268310547,0,0.0,3859584,101568,103423.828125,0.01827177974362004,0,0,True
130,lightweight_reduction,0.9727592468261719,1.0403543710708618,0.057559169828891754,0.02261323109269142,0.34683987498283386,0.02261323109269142,0.34683987498283386,0,0.0,3859584,101568,103104.6015625,0.015128796102118777,0,0,True
135,lightweight_reduction,0.9733834862709045,1.0401544570922852,0.05755117908120155,0.022632760927081108,0.34674549102783203,0.022632760927081108,0.34674549102783203,0,0.0,3859584,101568,102838.6875,0.012510707112476371,0,0,True
140,lightweight_reduction,0.9741522669792175,1.0404247045516968,0.05744142457842827,0.022648608312010765,0.34662744402885437,0.022648608312010765,0.34662744402885437,0,0.0,3859584,101568,102591.8359375,0.01008030026681632,0,0,True
