step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.9958785772323608,1.055232286453247,1.0101082730062996,102594.67707270384,1026.6770727038383,0.010108273006299606
50,0.9960013031959534,1.0521090030670166,1.02014570002501,103614.15846014023,2046.1584601402283,0.020145700025010125
75,0.9971992373466492,1.048946499824524,1.030098935964775,104625.08872807026,3057.088728070259,0.03009893596477492
100,0.9816412925720215,1.0345745086669922,1.0268959587917585,104299.76874256134,2731.7687425613403,0.02689595879175863
125,0.9833685159683228,1.0375384092330933,1.017343957698948,103329.59109556675,1761.5910955667496,0.01734395769894799
150,0.9818000793457031,1.0356996059417725,1.0088700711992395,102468.91539156437,900.9153915643692,0.008870071199239615
175,0.9849724769592285,1.0129354000091553,0.999839661114162,101551.7147000432,-16.285299956798553,-0.000160338885838045
200,0.9661543965339661,1.0052781105041504,0.9916780320182208,100722.75435602665,-845.2456439733505,-0.008321967981779208
225,0.959299623966217,1.0027776956558228,0.9833982791106094,99881.79641270638,-1686.2035872936249,-0.016601720889390603
250,0.959237277507782,0.9974217414855957,0.975651052796881,99094.92613047361,-2473.0738695263863,-0.02434894720311896
275,0.9717272520065308,1.0152844190597534,0.9838299031563633,99925.63560378551,-1642.3643962144852,-0.016170096843636628
300,0.9741889238357544,1.0224508047103882,0.9896696810648737,100518.7701663971,-1049.2298336029053,-0.010330318935126273
325,0.9762726426124573,1.0240453481674194,0.9972317030180361,101286.82961213589,-281.17038786411285,-0.002768296981963934
350,0.9776383638381958,1.0488107204437256,1.00372765365596,101946.61032652855,378.6103265285492,0.0037276536559600385
375,0.9882193207740784,1.049977421760559,1.0100005533946437,102583.73620718718,1015.7362071871758,0.010000553394643744
400,0.9971590042114258,1.0479393005371094,1.0168528259023508,103279.70782124996,1711.7078212499619,0.01685282590235076
425,0.9997667074203491,1.045829176902771,1.021872015836019,103789.49690443277,2221.4969044327736,0.021872015836018957
450,0.9551035761833191,1.0361098051071167,1.0076799669755456,102348.03888577223,780.0388857722282,0.007679966975545726
475,0.9649540185928345,1.0599738359451294,1.0111889021509874,102704.4344136715,1136.4344136714935,0.011188902150987452
500,0.9486473798751831,1.0451295375823975,0.9988125871060617,101447.39684718847,-120.60315281152725,-0.0011874128939383197
