step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9958785772323608,1.055232286453247,1.0101082730062996,102594.67707270384,1026.6770727038383,0.010108273006299606,0.019879631172612114,0.002203288111088151,1.1859840204846688e-08,43.58145830855584,4.644016554282118,38.93744175427372,0.8934405425031311,0.02714633025206297,0.04701882323561712
50,0.9960013031959534,1.0521090030670166,1.02014570002501,103614.15846014023,2046.1584601402283,0.020145700025010125,0.019958848712898946,0.0012791531325675198,0.022052196424898106,43.78227480788806,2.7004609554525727,41.08181385243549,0.9383206796060299,0.02793752386702412,0.048389210775353915
75,0.9971992373466492,1.048946499824524,1.030098935964775,104625.08872807026,3057.088728070259,0.03009893596477492,0.01995507576494057,0.0017607488420311958,0.02106758889377765,43.78928922297753,3.7175434624814425,40.071745760496086,0.9151038181151673,0.027295564636533716,0.04727730477175671
100,0.9816412925720215,1.0345745086669922,1.0268959587917585,104299.76874256134,2731.7687425613403,0.02689595879175863,0.01992856726113756,0.0476307784064562,0.021245788384624185,43.45176466728303,99.2198748376815,55.76811017039847,0.5620659193698053,0.050687331464636096,0.08779303339683432
125,0.9833685159683228,1.0375384092330933,1.017343957698948,103329.59109556675,1761.5910955667496,0.01734395769894799,0.01996843262517469,0.03211279975156615,0.022252650205367236,43.65959221835058,68.72960745534806,25.070015236997477,0.364762962647282,0.051148591364481556,0.08859195897886078
150,0.9818000793457031,1.0356996059417725,1.0088700711992395,102468.91539156437,900.9153915643692,0.008870071199239615,0.019948989231252094,0.03987297043996548,0.04298291020121756,43.553990644815215,84.23330589468901,40.679315249873795,0.4829362307200941,0.04915053124296191,0.08513121733181152
175,0.9849724769592285,1.0129354000091553,0.999839661114162,101551.7147000432,-16.285299956798553,-0.000160338885838045,0.02001016951537566,0.03430191122423699,0.03314959524782103,42.299863520080805,72.82415377941979,30.524290259338983,0.4191506344419095,0.05142775043663264,0.08907547667522026
200,0.9661543965339661,1.0052781105041504,0.9916780320182208,100722.75435602665,-845.2456439733505,-0.008321967981779208,0.019882815446359562,0.03517031096188714,0.03736234844872633,40.71743543420962,74.61985126744709,33.90241583323747,0.45433507648959087,0.04256716715542463,0.07372849624747262
225,0.959299623966217,1.0027776956558228,0.9833982791106094,99881.79641270638,-1686.2035872936249,-0.016601720889390603,0.01991191488956515,0.03501231244603253,0.013046119345337488,41.153255673721176,74.23651419958762,33.08325852586644,0.4456467128416196,0.040990086196602896,0.07099691189914394
250,0.959237277507782,0.9974217414855957,0.975651052796881,99094.92613047361,-2473.0738695263863,-0.02434894720311896,0.019978641836053652,0.029390871423084927,0.02441360154847169,41.22306260225359,61.847044237101244,20.623981634847652,0.3334675389786145,0.03608809211713877,0.06250640909511025
275,0.9717272520065308,1.0152844190597534,0.9838299031563633,99925.63560378551,-1642.3643962144852,-0.016170096843636628,0.019964253646981796,-0.014293871919003038,0.016900756655110503,41.43538013522794,-30.617946334765193,72.05332646999312,1.7389324349104769,0.037954764772249544,0.0657395809748616
300,0.9741889238357544,1.0224508047103882,0.9896696810648737,100518.7701663971,-1049.2298336029053,-0.010330318935126273,0.019937350705181493,0.022094017385887177,0.012785367191945677,41.13333430795738,45.763889201628956,4.6305548936715795,0.10118359637814078,0.028888112283212836,0.0500356782092792
325,0.9762726426124573,1.0240453481674194,0.9972317030180361,101286.82961213589,-281.17038786411285,-0.002768296981963934,0.019966238716155965,-0.0026500588027864647,0.0023962140971227393,41.34730878413657,-5.667917840342903,47.015226624479475,1.1370806953829478,0.02735241109351469,0.047375765723478035
