step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9999998211860657,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9999988079071045,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9999960660934448,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.9999908804893494,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102457.3828125,0.00875652580044896,0,0,True
25,lightweight_reduction,0.999983549118042,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102671.953125,0.010869103703922495,0,0,True
30,lightweight_reduction,0.9999735951423645,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102891.6796875,0.013032448088965028,0,0,True
35,lightweight_reduction,0.9999613761901855,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,103109.5703125,0.01517771652981254,0,0,True
40,lightweight_reduction,0.9999470710754395,1.0528253316879272,0.027182940393686295,0.026486221700906754,0.3515852689743042,0.026486221700906754,0.3515852689743042,0,0.0,3859584,101568,103327.8828125,0.017327138591879333,0,0,True
45,lightweight_reduction,0.9999319911003113,1.0537365674972534,0.02663613110780716,0.026464877650141716,0.3515336215496063,0.026464877650141716,0.3515336215496063,0,0.0,3859584,101568,103544.2421875,0.01945733092607908,0,0,True
50,lightweight_reduction,0.9999159574508667,1.0538928508758545,0.02691134810447693,0.02644142508506775,0.3512706458568573,0.02644142508506775,0.3512706458568573,0,0.0,3859584,101568,103762.296875,0.021604214664067423,0,0,True
55,lightweight_reduction,0.9998997449874878,1.05348539352417,0.027019958943128586,0.026418481022119522,0.35086479783058167,0.026418481022119522,0.35086479783058167,0,0.0,3859584,101568,103973.9140625,0.023687717219005987,0,0,True
60,lightweight_reduction,0.999883770942688,1.0526635646820068,0.026955202221870422,0.026394877582788467,0.35075289011001587,0.026394877582788467,0.35075289011001587,0,0.0,3859584,101568,104193.3671875,0.025848369442147134,0,0,True
65,lightweight_reduction,0.9998690485954285,1.0515425205230713,0.026749493554234505,0.026377586647868156,0.3508843779563904,0.026377586647868156,0.3508843779563904,0,0.0,3859584,101568,104409.4609375,0.027975946533356964,0,0,True
70,lightweight_reduction,0.9998581409454346,1.0515466928482056,0.02642962709069252,0.02635999210178852,0.35087430477142334,0.02635999210178852,0.35087430477142334,0,0.0,3859584,101568,104630.0859375,0.030148136593218338,0,0,True
75,lightweight_reduction,0.9999403357505798,1.0518041849136353,0.02622457779943943,0.02634536102414131,0.35075291991233826,0.02634536102414131,0.35075291991233826,0,0.0,3859584,101568,104837.484375,0.03219010293596408,0,0,True
80,lightweight_reduction,1.0024724006652832,1.0517510175704956,0.02639097161591053,0.026327336207032204,0.3505447506904602,0.026327336207032204,0.3505447506904602,0,0.0,3859584,101568,105053.78125,0.03431967991887209,0,0,True
85,lightweight_reduction,1.0252169370651245,1.052219033241272,0.025850171223282814,0.026329156011343002,0.35046419501304626,0.026329156011343002,0.35046419501304626,0,0.0,3859584,101568,105218.6875,0.03594328430214241,0,0,True
90,lightweight_reduction,1.0285215377807617,1.0600481033325195,0.025662602856755257,0.026326917111873627,0.35331857204437256,0.026326917111873627,0.35331857204437256,0,0.0,3859584,101568,105245.9296875,0.03621150054643195,0,0,True
95,lightweight_reduction,1.020868182182312,1.0495941638946533,0.025777874514460564,0.026313481852412224,0.34966346621513367,0.026313481852412224,0.34966346621513367,0,0.0,3859584,101568,105281.9375,0.03656601980938878,0,0,True
100,lightweight_reduction,1.0196208953857422,1.0451643466949463,0.027677403762936592,0.02596249431371689,0.3482973575592041,0.02596249431371689,0.3482973575592041,0,0.0,3859584,101568,105222.734375,0.03598312829828292,0,0,True
105,lightweight_reduction,1.0114566087722778,1.0431519746780396,0.032419800758361816,0.025392629206180573,0.3478631377220154,0.025392629206180573,0.3478631377220154,0,0.0,3859584,101568,105099.75,0.03477227079395085,0,0,True
110,lightweight_reduction,1.0031406879425049,1.0437864065170288,0.03745107725262642,0.024755068123340607,0.34794774651527405,0.024755068123340607,0.34794774651527405,0,0.0,3859584,101568,104942.71875,0.033226200673440454,0,0,True
115,lightweight_reduction,0.9953570365905762,1.0436760187149048,0.04247458279132843,0.024184005334973335,0.3479052186012268,0.024184005334973335,0.3479052186012268,0,0.0,3859584,101568,104759.1796875,0.031419144686318526,0,0,True
120,lightweight_reduction,0.9867813587188721,1.0442214012145996,0.04718383774161339,0.023649515584111214,0.34805336594581604,0.023649515584111214,0.34805336594581604,0,0.0,3859584,101568,104538.8359375,0.029249723707270005,0,0,True
125,lightweight_reduction,0.9800597429275513,1.0441466569900513,0.05184154957532883,0.02313864231109619,0.34806716442108154,0.02313864231109619,0.34806716442108154,0,0.0,3859584,101568,104267.1640625,0.02657494547987555,0,0,True
130,lightweight_reduction,0.9743296504020691,1.0441005229949951,0.05534222349524498,0.022795602679252625,0.3481021225452423,0.022795602679252625,0.3481021225452423,0,0.0,3859584,101568,103959.1875,0.02354272507088847,0,0,True
135,lightweight_reduction,0.9702546000480652,1.0442571640014648,0.058252811431884766,0.022502614185214043,0.34811297059059143,0.022502614185214043,0.34811297059059143,0,0.0,3859584,101568,103622.21875,0.020225058581442974,0,0,True
140,lightweight_reduction,0.967632532119751,1.0442811250686646,0.060214221477508545,0.022285787388682365,0.34808284044265747,0.022285787388682365,0.34808284044265747,0,0.0,3859584,101568,103255.5703125,0.01661517714732987,0,0,True
145,lightweight_reduction,0.9664188027381897,1.0442135334014893,0.06132543087005615,0.022179637104272842,0.3480566740036011,0.022179637104272842,0.3480566740036011,0,0.0,3859584,101568,102891.9140625,0.013034755656309073,0,0,True
150,lightweight_reduction,0.9668281674385071,1.0440815687179565,0.061624012887477875,0.022159265354275703,0.3480883240699768,0.022159265354275703,0.3480883240699768,0,0.0,3859584,101568,102516.0546875,0.009334186825574985,0,0,True
155,lightweight_reduction,0.9674160480499268,1.0441337823867798,0.06166396662592888,0.02216542884707451,0.34808844327926636,0.02216542884707451,0.34808844327926636,0,0.0,3859584,101568,102164.4375,0.005872297377126654,0,0,True
160,lightweight_reduction,0.9677947163581848,1.0441498756408691,0.06161268427968025,0.02218221314251423,0.34806182980537415,0.02218221314251423,0.34806182980537415,0,0.0,3859584,101568,101795.734375,0.0022421862692974166,0,0,True
165,lightweight_reduction,0.9671880602836609,1.0453916788101196,0.06137753278017044,0.022233325988054276,0.34811776876449585,0.022233325988054276,0.34811776876449585,0,0.0,3859584,101568,101475.609375,-0.0009096430470226843,0,0,True
170,lightweight_reduction,0.9670885801315308,1.053116798400879,0.06143220141530037,0.02224251814186573,0.3505948483943939,0.02224251814186573,0.3505948483943939,0,0.0,3859584,101568,101166.5,-0.003953016698172653,0,0,True
175,lightweight_reduction,0.9682326316833496,1.0535166263580322,0.06146518513560295,0.02224891446530819,0.35133665800094604,0.02224891446530819,0.35133665800094604,0,0.0,3859584,101568,100901.90625,-0.0065581063917769375,0,0,True
180,lightweight_reduction,0.9691612720489502,1.0367377996444702,0.06157233193516731,0.022243086248636246,0.3460859954357147,0.022243086248636246,0.3460859954357147,0,0.0,3859584,101568,100662.5859375,-0.008914363406781664,0,0,True
185,lightweight_reduction,0.9696894884109497,1.022430419921875,0.061640314757823944,0.022245129570364952,0.34099051356315613,0.022245129570364952,0.34099051356315613,0,0.0,3859584,101568,100435.71875,-0.011148011676906112,0,0,True
190,lightweight_reduction,0.9700422286987305,1.011340618133545,0.061687272042036057,0.02224656194448471,0.33743801712989807,0.02224656194448471,0.33743801712989807,0,0.0,3859584,101568,100266.5703125,-0.012813383029103655,0,0,True
195,lightweight_reduction,0.9704564809799194,1.0123462677001953,0.06192687153816223,0.022245699539780617,0.3368801474571228,0.022245699539780617,0.3368801474571228,0,0.0,3859584,101568,100101.984375,-0.014433833737003781,0,0,True
200,lightweight_reduction,0.9718348383903503,1.0172157287597656,0.06428713351488113,0.022190069779753685,0.3385467529296875,0.022190069779753685,0.3385467529296875,0,0.0,3859584,101568,99949.7109375,-0.015933060240430057,0,0,True
205,lightweight_reduction,0.9624953269958496,1.0204013586044312,0.06435903906822205,0.022164879366755486,0.3398433327674866,0.022164879366755486,0.3398433327674866,0,0.0,3859584,101568,99830.796875,-0.01710384299188721,0,0,True
210,lightweight_reduction,0.9505342841148376,1.0240156650543213,0.0614229254424572,0.02230147458612919,0.34070348739624023,0.02230147458612919,0.34070348739624023,0,0.0,3859584,101568,99742.421875,-0.01797394971841525,0,0,True
215,lightweight_reduction,0.9395465850830078,1.0247085094451904,0.05584714189171791,0.02249353751540184,0.3415585160255432,0.02249353751540184,0.3415585160255432,0,0.0,3859584,101568,99645.3125,-0.018930051787964714,0,0,True
220,lightweight_reduction,0.9298266172409058,1.0245082378387451,0.049005765467882156,0.022673700004816055,0.3413604199886322,0.022673700004816055,0.3413604199886322,0,0.0,3859584,101568,99539.515625,-0.019971687687066794,0,0,True
225,lightweight_reduction,0.9221802353858948,1.0245859622955322,0.0422307550907135,0.0227533970028162,0.34141817688941956,0.0227533970028162,0.34141817688941956,0,0.0,3859584,101568,99449.8125,-0.020854870628544422,0,0,True
230,lightweight_reduction,0.9166061878204346,1.0282288789749146,0.03530900925397873,0.02281385287642479,0.34262460470199585,0.02281385287642479,0.34262460470199585,0,0.0,3859584,101568,99316.09375,-0.022171414717233773,0,0,True
235,lightweight_reduction,0.9132521152496338,1.030275821685791,0.03538912162184715,0.022908946499228477,0.3434561491012573,0.022908946499228477,0.3434561491012573,0,0.0,3859584,101568,99181.4375,-0.023497189075299307,0,0,True
240,lightweight_reduction,0.912851095199585,1.027700662612915,0.038428351283073425,0.02301832102239132,0.3427630662918091,0.02301832102239132,0.3427630662918091,0,0.0,3859584,101568,99072.3125,-0.02457159243068683,0,0,True
245,lightweight_reduction,0.9149489402770996,1.0209379196166992,0.04180803522467613,0.023193752393126488,0.34059062600135803,0.023193752393126488,0.34059062600135803,0,0.0,3859584,101568,98897.4375,-0.02629334534499055,0,0,True
250,lightweight_reduction,0.9199471473693848,1.014238953590393,0.044808290898799896,0.02343107759952545,0.3382754623889923,0.02343107759952545,0.3382754623889923,0,0.0,3859584,101568,98675.6328125,-0.028477150160483616,0,0,True
