step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9999998807907104,1.0290498733520508,1.0063402244196789,102211.96391385794,643.9639138579369,0.006340224419678805,0.020000003278255463,0.0,0.0,42.32000693678856,0.0,42.32000693678856,1.0,0.020000003278255463,0.03464102182948257
50,0.9999998807907104,1.027967095375061,1.0129111143393605,102879.35606122017,1311.356061220169,0.012911114339360518,0.020000003278255463,0.0,0.011909791753435461,42.32000693678856,0.0,42.32000693678856,1.0,0.020000003278255463,0.03464102182948257
75,0.9999998807907104,1.027750849723816,1.01943892259362,103542.3724899888,1974.3724899888039,0.019438922593620078,0.020000003278255463,0.00044324748767786334,0.012107135086066824,42.32000693678856,0.9379116940690224,41.38209524271954,0.9778376290091365,0.020000003278255463,0.03464102182948257
100,0.9999998807907104,1.0242582559585571,1.017732556897586,103369.060338974,1801.060338973999,0.017732556897585842,0.020000003278255463,0.022766148141146917,0.012117103838567782,42.32000693678856,48.17316979797877,5.853162861190214,0.12150254769898487,0.024933876465086807,0.04318674086717623
125,0.9999998807907104,1.0244126319885254,1.0120544529630888,102792.34667855501,1224.3466785550117,0.012054452963088883,0.020000003278255463,0.023562002875349205,0.017080810239462847,42.32000693678856,49.857198436642165,7.537191499853606,0.15117559221526986,0.02590767437603229,0.04487340832523824
150,0.9999508261680603,1.0245424509048462,1.0062259136873433,102200.35360139608,632.3536013960838,0.006225913687343296,0.020000003278255463,0.023679715935655803,0.023274717564405856,42.32000693678856,50.10627922611471,7.786272289326149,0.1553951402815009,0.026528289916413553,0.0459483459731454
175,0.9999661445617676,1.0030502080917358,1.0015017270000808,101720.5274079442,152.52740794420242,0.001501727000080758,0.020000003278255463,0.023720008174211864,0.023545671190246975,42.32000693678856,50.1915376198897,7.871530683101142,0.1568298373864092,0.027051818693413172,0.04685512441413314
200,0.9968296885490417,1.0011922121047974,0.9995183504069789,101519.07981413603,-48.92018586397171,-0.00048164959302114555,0.020000003278255463,0.02373408353121666,0.023324350635094183,42.32000693678856,50.22132081069217,7.901313873903611,0.15732986999062384,0.027544154626410793,0.04770787526447685
225,0.9961184859275818,1.000596523284912,0.9977950363149415,101344.04624843597,-223.95375156402588,-0.002204963685058541,0.020000003278255463,0.02372600744812466,0.020979231178212782,42.32000693678856,50.20423188830756,7.884224951519002,0.15704303511822512,0.02780448609776703,0.04815878259967501
250,0.9956969618797302,1.0000001192092896,0.9965978921153398,101222.45470637083,-345.54529362916946,-0.0034021078846602224,0.020000003278255463,0.020810694411742044,0.020861634203567986,42.32000693678856,44.03542962003353,1.7154226832449737,0.038955511460811484,0.025795568853065637,0.04467923586365092
