step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9999998807907104,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9999998807907104,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9999998807907104,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.9999998807907104,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102457.3828125,0.00875652580044896,0,0,True
25,lightweight_reduction,0.9999998807907104,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102671.953125,0.010869103703922495,0,0,True
30,lightweight_reduction,0.9999998807907104,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102891.6796875,0.013032448088965028,0,0,True
35,lightweight_reduction,0.9999998807907104,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,103109.5703125,0.01517771652981254,0,0,True
40,lightweight_reduction,0.9999998807907104,1.0528253316879272,0.027182940393686295,0.026486221700906754,0.3515852689743042,0.026486221700906754,0.3515852689743042,0,0.0,3859584,101568,103327.890625,0.0173272155107908,0,0,True
45,lightweight_reduction,0.9999998807907104,1.053736686706543,0.026636015623807907,0.026464877650141716,0.3515336811542511,0.026464877650141716,0.3515336811542511,0,0.0,3859584,101568,103544.2421875,0.01945733092607908,0,0,True
50,lightweight_reduction,0.9999998807907104,1.0538930892944336,0.026911139488220215,0.02644142508506775,0.35127073526382446,0.02644142508506775,0.35127073526382446,0,0.0,3859584,101568,103762.296875,0.021604214664067423,0,0,True
55,lightweight_reduction,0.9999998807907104,1.053492546081543,0.027015957981348038,0.026418481022119522,0.35086700320243835,0.026418481022119522,0.35086700320243835,0,0.0,3859584,101568,103974.078125,0.023689332516146817,0,0,True
60,lightweight_reduction,0.9999998807907104,1.0526870489120483,0.026941856369376183,0.026394877582788467,0.3507593870162964,0.026394877582788467,0.3507593870162964,0,0.0,3859584,101568,104194.453125,0.02585906117084121,0,0,True
65,lightweight_reduction,0.9999998807907104,1.051592230796814,0.026721714064478874,0.026377586647868156,0.3508990705013275,0.026377586647868156,0.3508990705013275,0,0.0,3859584,101568,104411.1328125,0.02799240718041115,0,0,True
70,lightweight_reduction,1.0000005960464478,1.0516256093978882,0.0263842586427927,0.026359986513853073,0.3509001135826111,0.026359986513853073,0.3509001135826111,0,0.0,3859584,101568,104634.0625,0.03018728831915564,0,0,True
75,lightweight_reduction,1.0000330209732056,1.0519177913665771,0.026166146621108055,0.02634536288678646,0.3507900536060333,0.02634536288678646,0.3507900536060333,0,0.0,3859584,101568,104844.734375,0.03226148368580655,0,0,True
80,lightweight_reduction,1.0005439519882202,1.0518933534622192,0.026320939883589745,0.0263273436576128,0.3505918085575104,0.0263273436576128,0.3505918085575104,0,0.0,3859584,101568,105031.9375,0.034104614642407056,0,0,True
85,lightweight_reduction,1.001611590385437,1.0499624013900757,0.04243091493844986,0.024391017854213715,0.3499230742454529,0.024391017854213715,0.3499230742454529,0,0.0,3859584,101568,105027.109375,0.03405707875511972,0,0,True
90,lightweight_reduction,0.9852654337882996,1.0415263175964355,0.05279768630862236,0.023393217474222183,0.3469778895378113,0.023393217474222183,0.3469778895378113,0,0.0,3859584,101568,104817.9765625,0.03199803641402804,0,0,True
95,lightweight_reduction,0.9783758521080017,1.041517734527588,0.04563499242067337,0.023745985701680183,0.34702566266059875,0.023745985701680183,0.34702566266059875,0,0.0,3859584,101568,104643.7109375,0.03028228317481884,0,0,True
100,lightweight_reduction,0.984067440032959,1.0413764715194702,0.04548550397157669,0.02382478676736355,0.3469342589378357,0.02382478676736355,0.3469342589378357,0,0.0,3859584,101568,104450.90625,0.028384001358695652,0,0,True
