step,lbm_open_boundary_semantics,row_role,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,correction_delta_abs_sum,correction_delta_abs_sum_run,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,midplane_flux,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.58145830855584,0.7005626845678168,0.7005626845678168,42.880895623988025,0.019815649837255478,0.009999999776482582,2.0808558464050293,52.33857727050781,0.00011397177149774507,0.00036111491499468684,0.0003312732385580561,0.0,2.281554051486393e-05,0:43.5814583086;24:2.28155405149e-05;47:0.700562684568,0.010733072477537802,False,False
50,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.78227555092214,0.6927186212593195,0.6927186212593195,43.08955692966282,0.019875673577189445,0.009999999776482582,2.081407070159912,104.79837036132812,6.175887392600998e-05,0.00035913923056796193,0.00032756409071428664,0.0,46.56478475290315,0:43.7822755509;24:46.5647847529;47:0.692718621259,0.02134304348245573,False,False
75,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.78930083648312,1.7252761103615468,1.7252761103615468,42.06402472612157,0.01976984739303589,0.009999999776482582,2.0337166786193848,157.23062133789062,0.00011078270472353324,0.0009970576502382755,0.0008157473677202742,0.0,43.59171901445214,0:43.7893008365;24:43.5917190145;47:1.72527611036,0.03194052690350191,False,False
100,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.76761874323633,81.20031625521436,81.20031625521436,-37.43269751197803,0.00016102561494335532,0.009999999776482582,1.8631130456924438,198.21633911132812,0.013020148500800133,0.041215717792510986,0.03835005121611918,0.0,43.809862282241546,0:43.7676187432;24:43.8098622822;47:81.2003162552,0.028045153657294854,False,False
125,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.76317135884512,81.18511390732378,81.18511390732378,-37.42194254847866,0.005380052141845226,0.009999999776482582,1.992322564125061,246.70877075195312,0.007750223856419325,0.04110795632004738,0.03834462295099741,0.0,63.34754383721064,0:43.7631713588;24:63.3475438372;47:81.1851139073,0.018941947034247356,False,False
150,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,43.773996562274164,81.69092696861779,81.69092696861779,-37.916930406343624,0.008181152865290642,0.009999999776482582,2.0719990730285645,297.89093017578125,0.005393140017986298,0.04203319177031517,0.0385833598489808,0.0,80.15715237453858,0:43.7739965623;24:80.1571523745;47:81.6909269686,0.009666924201135149,False,False
175,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,40.556135043711144,80.66001398916103,80.66001398916103,-40.103878945449885,0.01048473734408617,0.009999999776482582,2.0637054443359375,348.58123779296875,0.003731789765879512,0.04199959337711334,0.038096461939803254,0.0,80.89961299510375,0:40.5561350437;24:80.8996129951;47:80.6600139892,-0.00036996772140733986,False,False
200,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,41.32613559252816,80.931953546566,80.931953546566,-39.605817954037846,0.011380746960639954,0.009999999776482582,2.0932304859161377,399.06341552734375,0.003368517616763711,0.04273900017142296,0.03822535438800234,0.0,78.7920458542329,0:41.3261355925;24:78.7920458542;47:80.9319535466,-0.010211567270024325,False,False
225,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,41.03646154029302,81.04150699972101,81.04150699972101,-40.00504545942799,0.012107969261705875,0.009999999776482582,2.1136388778686523,451.3396911621094,0.0030303725507110357,0.04327359050512314,0.038277120186616304,0.0,43.79813195432866,0:41.0364615403;24:43.7981319543;47:81.0415069997,-0.02006017046886078,False,False
250,regularized_flux_matched_pressure_outlet,flow_repair_candidate_48,41.00089425891062,33.19986097452474,33.19986097452474,7.8010332843858805,0.02496488019824028,0.009999999776482582,0.5424876809120178,493.3465270996094,-0.007986029610037804,0.02176501788198948,0.015697243737099985,0.08695652173913043,42.37426884164124,0:41.0008942589;24:42.3742688416;47:33.1998609745,-0.027093607822589214,False,False
