step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9994639158248901,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9993774890899658,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9993511438369751,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.999330461025238,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102457.3828125,0.00875652580044896,0,0,True
25,lightweight_reduction,0.9993318319320679,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102671.953125,0.010869103703922495,0,0,True
30,lightweight_reduction,0.9993131756782532,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102891.6796875,0.013032448088965028,0,0,True
35,lightweight_reduction,0.9993141889572144,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,103109.5703125,0.01517771652981254,0,0,True
40,lightweight_reduction,0.9993171095848083,1.0528252124786377,0.027183059602975845,0.026486221700906754,0.3515852689743042,0.026486221700906754,0.3515852689743042,0,0.0,3859584,101568,103327.8828125,0.017327138591879333,0,0,True
45,lightweight_reduction,0.9994045495986938,1.0537086725234985,0.02669179067015648,0.026464877650141716,0.3515271246433258,0.026464877650141716,0.3515271246433258,0,0.0,3859584,101568,103537.7734375,0.019393642067383428,0,0,True
50,lightweight_reduction,0.9994105696678162,1.0531798601150513,0.027284929528832436,0.02644142508506775,0.351033091545105,0.02644142508506775,0.351033091545105,0,0.0,3859584,101568,103743.03125,0.021414532628386895,0,0,True
55,lightweight_reduction,0.9994106888771057,1.0528802871704102,0.027336226776242256,0.026418477296829224,0.3506620526313782,0.026418477296829224,0.3506620526313782,0,0.0,3859584,101568,103956.078125,0.023512111344124134,0,0,True
60,lightweight_reduction,0.9994104504585266,1.0521001815795898,0.02724093198776245,0.026394879445433617,0.35055217146873474,0.026394879445433617,0.35055217146873474,0,0.0,3859584,101568,104171.4296875,0.025632381138744487,0,0,True
65,lightweight_reduction,0.9994106888771057,1.0510156154632568,0.027003072202205658,0.02637757919728756,0.350693941116333,0.02637757919728756,0.350693941116333,0,0.0,3859584,101568,104387.078125,0.02775557385200063,0,0,True
70,lightweight_reduction,0.9994113445281982,1.051004409790039,0.026649920269846916,0.02635996975004673,0.35069844126701355,0.02635996975004673,0.35069844126701355,0,0.0,3859584,101568,104592.890625,0.029781925655718338,0,0,True
75,lightweight_reduction,0.999444842338562,1.0513062477111816,0.026393551379442215,0.026345141232013702,0.35059311985969543,0.026345141232013702,0.35059311985969543,0,0.0,3859584,101568,104784.2421875,0.03166590055430844,0,0,True
80,lightweight_reduction,0.9999895691871643,1.051295280456543,0.026534678414463997,0.026324214413762093,0.3504006564617157,0.026324214413762093,0.3504006564617157,0,0.0,3859584,101568,104947.1953125,0.03327027520971172,0,0,True
85,lightweight_reduction,1.0015190839767456,1.0493879318237305,0.04256022721529007,0.024384528398513794,0.349740207195282,0.024384528398513794,0.349740207195282,0,0.0,3859584,101568,104919.5859375,0.032998443776583175,0,0,True
90,lightweight_reduction,0.9856780767440796,1.040708065032959,0.052502602338790894,0.02342299185693264,0.34673354029655457,0.02342299185693264,0.34673354029655457,0,0.0,3859584,101568,104689.15625,0.030729720482829237,0,0,True
95,lightweight_reduction,0.9788556098937988,1.040120244026184,0.04537248983979225,0.02378658950328827,0.3465655446052551,0.02378658950328827,0.3465655446052551,0,0.0,3859584,101568,104522.34375,0.02908734788516068,0,0,True
100,lightweight_reduction,0.984397828578949,1.0401675701141357,0.045232292264699936,0.023865656927227974,0.3465212285518646,0.023865656927227974,0.3465212285518646,0,0.0,3859584,101568,104360.3828125,0.027492741931513864,0,0,True
105,lightweight_reduction,0.9868124723434448,1.0405030250549316,0.04466366022825241,0.023924363777041435,0.34667494893074036,0.023924363777041435,0.34667494893074036,0,0.0,3859584,101568,104190.75,0.025822601606805294,0,0,True
110,lightweight_reduction,0.9875956177711487,1.0403927564620972,0.04484894126653671,0.02399437502026558,0.34661832451820374,0.02399437502026558,0.34661832451820374,0,0.0,3859584,101568,104012.6328125,0.02406892734424228,0,0,True
115,lightweight_reduction,0.9897275567054749,1.040508508682251,0.04492591321468353,0.02399848774075508,0.3466639220714569,0.02399848774075508,0.3466639220714569,0,0.0,3859584,101568,103820.625,0.02217849125708885,0,0,True
120,lightweight_reduction,0.9904388189315796,1.0405856370925903,0.04460382089018822,0.024044247344136238,0.34668847918510437,0.024044247344136238,0.34668847918510437,0,0.0,3859584,101568,103632.375,0.020325053166351605,0,0,True
125,lightweight_reduction,0.9911768436431885,1.0406545400619507,0.04476125165820122,0.02406911551952362,0.34670960903167725,0.02406911551952362,0.34670960903167725,0,0.0,3859584,101568,103429.5,0.018327622873345936,0,0,True
