step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.9993662238121033,1.055232286453247,1.010840227320396,102669.02020847797,1101.020208477974,0.010840227320395931
50,0.9967043399810791,1.0538653135299683,1.021058732857335,103706.8933788538,2138.893378853798,0.021058732857334967
75,0.9941465258598328,1.047463297843933,1.030425053755339,104658.21185982227,3090.2118598222733,0.030425053755339018
100,1.0135705471038818,1.041078805923462,1.0320846515413662,104826.77388775349,3258.7738877534866,0.03208465154136624
125,0.9781784415245056,1.0378518104553223,1.0216327814699844,103765.19834834337,2197.1983483433723,0.021632781469984368
150,0.9700486660003662,1.0352575778961182,1.0046829859337052,102043.64151531458,475.641515314579,0.004682985933705291
175,0.9693945646286011,1.040940284729004,0.9907165151247878,100625.09500819445,-942.9049918055534,-0.009283484875212206
200,0.9672480821609497,1.0258636474609375,0.9842460048851506,99967.89822417498,-1600.1017758250237,-0.015753995114849397
225,0.9221285581588745,1.0277681350708008,0.9824675006519653,99787.25910621881,-1780.7408937811852,-0.017532499348034667
250,0.9329696297645569,1.013154149055481,0.9780225797292847,99335.79737794399,-2232.2026220560074,-0.02197742027071526
