step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.9989007711410522,1.055232286453247,1.0107316185433297,102657.98903220892,1089.9890322089195,0.010731618543329784
50,0.9981542229652405,1.0536103248596191,1.0210628288310366,103707.30939871073,2139.3093987107277,0.021062828831036624
75,0.9977571368217468,1.0498231649398804,1.0312187629209029,104738.82731235027,3170.827312350273,0.031218762920902973
100,0.9822019934654236,1.0400105714797974,1.0267474776428491,104284.6878092289,2716.687809228897,0.026747477642849096
125,0.9890194535255432,1.0386096239089966,1.0174341654174954,103338.75331312418,1770.7533131241798,0.01743416541749547
150,0.9911616444587708,1.0377235412597656,1.0082546357885849,102406.40684777498,838.4068477749825,0.008254635788584815
175,0.9707730412483215,1.003795862197876,0.9984304826476604,101408.58726155758,-159.41273844242096,-0.001569517352339526
200,0.960881769657135,1.002270221710205,0.9892749331431451,100478.67640948296,-1089.323590517044,-0.010725066856854955
225,0.9625367522239685,1.0024162530899048,0.9806018690810443,99597.77063882351,-1970.2293611764908,-0.019398130918955682
250,0.9645615816116333,1.001785397529602,0.9749202817694883,99020.70317876339,-2547.2968212366104,-0.02507971823051168
