step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.999430775642395,1.055232286453247,1.010847565249693,102669.76550728083,1101.7655072808266,0.010847565249693079
50,0.9968394637107849,1.0538723468780518,1.0210983286075948,103710.91504001617,2142.9150400161743,0.021098328607594658
75,0.9942338466644287,1.0476027727127075,1.0304990242885,104665.72489893436,3097.7248989343643,0.030499024288499963
100,1.0135148763656616,1.041128158569336,1.0321645832314814,104834.89238965511,3266.892389655113,0.032164583231481504
125,0.9779466390609741,1.0380860567092896,1.021673971300014,103769.38191699982,2201.381916999817,0.02167397130001395
150,0.9697520732879639,1.0354074239730835,1.0046529209707227,102040.58787715435,472.5878771543503,0.004652920970722573
175,0.9692045450210571,1.040984034538269,0.9906161200541536,100614.89808166027,-953.1019183397293,-0.009383879945846422
200,0.9670268297195435,1.0260319709777832,0.9841112953252156,99954.2160435915,-1613.7839564085007,-0.015888704674784388
225,0.9216775894165039,1.0279546976089478,0.982330963232102,99773.39127355814,-1794.6087264418602,-0.017669036767897963
250,0.9324129819869995,1.0131890773773193,0.9778746869450256,99320.77620363235,-2247.2237963676453,-0.022125313054974453
