step,lbm_open_boundary_semantics,row_role,step133_mass_damped_candidate,step132_authority_sweep_candidate,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.58145830855584,0.6806401016933182,0.6806401016933182,42.90081820686252,16.719667434692383,0.10000000149011612,0.002,8.181036949157715,104.81474304199219,43.50697708129883,0.6076804399490356,42.89929664134979,16.719667434692383,0.0007642919663339853,0.0007642919663339853,7.901545359345619e-06,7.901545359345619e-06,0.0005,0.5,0.38214598316699266,0,0,0.0,0.0001745229383232072,0.00033050961792469025,0.0003218442432175585,0.0,0.9994390305476738,8.488070405269399e-06,4.768371635321881e-07,0:43.5814583086;24:4.76837163532e-07;47:0.680640101693,0.010847565249693079,False,False
50,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.782274916113494,3.7418156172069317,3.7418156172069317,40.04045929890656,26.607269287109375,0.10000000149011612,0.002,13.296724319458008,382.67626953125,43.77075958251953,3.590714693069458,40.18004488945007,26.607269287109375,0.0012439205311238766,0.0012439205311238766,1.2574324500747025e-05,1.2574324500747025e-05,0.0005,0.5,0.6219602655619383,0,0,0.0,0.0007523205131292343,0.0018462545704096556,0.0017738769462817157,0.0,0.9968820796797091,2.554270977170601e-05,45.89503247236668,0:43.7822749161;24:45.8950324724;47:3.74181561721,0.021098328607594658,False,False
75,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.78933497783267,7.251370542483192,7.251370542483192,36.53796443534947,31.201040267944336,0.10000000149011612,0.002,15.69935417175293,750.5147705078125,43.79195785522461,7.028202533721924,36.763755321502686,31.201040267944336,0.001468914793804288,0.001468914793804288,1.4745293810847215e-05,1.4745293810847215e-05,0.0005,0.5,0.734457396902144,0,0,0.0,0.0010846577351912856,0.003631854895502329,0.003444704602033231,0.0,0.9948186726504779,0.00020146792563999043,44.43647907151421,0:43.7893349778;24:44.4364790715;47:7.25137054248,0.030499024288499963,False,False
100,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.792619978941914,63.41498201948319,63.41498201948319,-19.622362040541276,20.567659378051758,0.10000000149011612,0.002,10.871991157531738,1106.7459716796875,43.792579650878906,61.63934326171875,-17.846763610839844,20.567659378051758,0.0010077242041006684,0.0010077242041006684,9.720066373120062e-06,9.720066373120062e-06,0.0005,0.5,0.5038621020503342,0,0,0.0,0.011297769844532013,0.031213724985718727,0.029479511037718908,0.0,1.0167199852673903,0.0020050373554925775,48.03713345966749,0:43.7926199789;24:48.0371334597;47:63.4149820195,0.032164583231481504,False,False
125,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.64377387575063,103.98325270565402,103.98325270565402,-60.33947882990339,-4.199419975280762,0.10000000149011612,0.002,1.7038137912750244,1230.7303466796875,43.6545295715332,102.77474975585938,-59.12022018432617,-4.199419975280762,-0.00014570257917512208,0.00014570257917512208,-1.9846031591441715e-06,1.9846031591441715e-06,0.0005,0.5,0.07285128958756104,0,0,0.0,0.015431879088282585,0.05325840041041374,0.05013165307197797,0.0,0.9802586832884804,0.0006083929454780806,43.900129217286846,0:43.6437738758;24:43.9001292173;47:103.983252706,0.02167397130001395,False,False
150,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.400041219339464,113.19255638437534,113.19255638437534,-69.79251516503587,-29.80891227722168,0.10000000149011612,0.002,14.821663856506348,1447.7030029296875,43.40727615356445,113.62721252441406,-70.21993637084961,-29.80891227722168,-0.001368661061860621,0.001368661061860621,-1.4087388990446925e-05,1.4087388990446925e-05,0.0005,0.5,0.6843305309303105,0,0,0.0,0.009840237908065319,0.05938754230737686,0.0550536637300967,0.0,0.971677936007936,0.0005024596190926399,75.3424260291705,0:43.4000412193;24:75.3424260292;47:113.192556384,0.004652920970722573,False,False
175,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,43.975240797823375,85.77742255828079,85.77742255828079,-41.802181760457415,-40.79521942138672,0.10000000149011612,0.002,20.603586196899414,1912.6444091796875,44.13202667236328,87.29009246826172,-43.15806579589844,-40.79521942138672,-0.0019241641275584698,0.0019241641275584698,-1.927940502355341e-05,1.927940502355341e-05,0.0005,0.5,0.9620820637792349,0,0,0.0,-0.0011172471567988396,0.045558590441942215,0.04068680685175282,0.001890359168241966,0.9963723960242785,0.0004231748361049126,104.88054457890397,0:43.9752407978;24:104.880544579;47:85.7774225583,-0.009383879945846422,False,False
200,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,40.802894188945416,50.92709276696287,50.92709276696287,-10.124198578017456,-34.256919860839844,0.10000000149011612,0.002,17.673137664794922,2405.998779296875,40.9033317565918,51.930572509765625,-11.027240753173828,-34.256919860839844,-0.0016408280935138464,0.0016408280935138464,-1.618947135284543e-05,1.618947135284543e-05,0.0005,0.5,0.8204140467569232,0,0,0.0,-0.006088525056838989,0.02849487215280533,0.023491422583867636,0.08695652173913043,1.0244424520007605,0.0005514090276032914,103.260740011802,0:40.8028941889;24:103.260740012;47:50.927092767,-0.015888704674784388,False,False
225,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,38.81217656007446,45.17883862700315,45.17883862700315,-6.36666206692869,-22.714860916137695,0.10000000149011612,0.002,11.784854888916016,2770.202880859375,38.85588073730469,44.70616912841797,-5.850288391113281,-22.714860916137695,-0.001090494217351079,0.001090494217351079,-1.0734812349255662e-05,1.0734812349255662e-05,0.0005,0.5,0.5452471086755395,0,0,0.0,-0.0030634135473519564,0.025553636252880096,0.020842811212531467,0.015122873345935728,1.0244253505380483,0.00033568208358312823,55.866095977360374,0:38.8121765601;24:55.8660959774;47:45.178838627,-0.017669036767897963,False,False
