step,lbm_open_boundary_semantics,row_role,step133_mass_damped_candidate,step132_authority_sweep_candidate,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.58145830855584,6.035491222310963,6.035491222310963,37.54596708624487,15.62339973449707,0.25,0.005,18.988712310791016,249.7416229248047,43.50697708129883,5.825738430023193,37.681238651275635,15.62339973449707,0.0017909591551870108,0.0017909591551870108,3.691729943966493e-06,3.691729943966493e-06,0.0005,0.5,0.35819183103740215,0,0,0.0,0.0014951486373320222,0.0030608447268605232,0.002866731036116857,0.0,0.994969897521466,2.3713353984884474e-06,0.0,0:43.5814583086;24:0;47:6.03549122231,0.010158814673523859,False,False
50,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.782274850618165,9.622669239330788,9.622669239330788,34.159605611287375,23.559200286865234,0.25,0.005,29.224681854248047,872.4397583007812,43.77075958251953,9.525883674621582,34.24487590789795,23.559200286865234,0.0027568992227315903,0.0027568992227315903,5.566918844124302e-06,5.566918844124302e-06,0.0005,0.5,0.551379844546318,0,0,0.0,0.001501770573668182,0.004947521258145571,0.004584767135810406,0.0,0.9918877355092415,1.9270299695129353e-06,47.642881407768726,0:43.7822748506;24:47.6428814078;47:9.62266923933,0.018925308116677052,False,False
75,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.789326306790215,12.447033791839957,12.447033791839957,31.34229251495026,27.356281280517578,0.25,0.005,34.14034652709961,1673.172119140625,43.79195022583008,11.83093547821045,31.96101474761963,27.356281280517578,0.0032201288267970085,0.0032201288267970085,6.464149919338524e-06,6.464149919338524e-06,0.0005,0.5,0.6440257653594017,0,0,0.0,0.0012446960899978876,0.006405607331544161,0.005938693515338894,0.0,0.9905079987414167,2.715521159976993e-05,50.355601042723585,0:43.7893263068;24:50.3556010427;47:12.4470337918,0.027076621852679002,False,False
100,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.477226117259576,85.16191235157888,85.16191235157888,-41.6846862343193,5.702854156494141,0.25,0.005,8.37369155883789,2284.053466796875,43.50262451171875,85.46737670898438,-41.964752197265625,5.702854156494141,0.0007900821510702372,0.0007900821510702372,1.3475554396791267e-06,1.3475554396791267e-06,0.0005,0.5,0.15801643021404743,0,0,0.0,0.011826964095234871,0.04339206591248512,0.04037833052717276,0.0,0.996758198411343,0.0006520111695703538,53.24256721694759,0:43.4772261173;24:53.2425672169;47:85.1619123516,0.02085900100543109,False,False
125,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.20204678856717,77.596507297243,77.596507297243,-34.39446050867582,-11.250858306884766,0.25,0.005,13.480027198791504,2444.199951171875,43.21260452270508,77.79096984863281,-34.578365325927734,-11.250858306884766,-0.0012714025797322392,0.0012714025797322392,-2.658520543263876e-06,2.658520543263876e-06,0.0005,0.5,0.25428051594644785,0,0,0.0,0.005087254568934441,0.03968186676502228,0.03654182562230433,0.0,1.0035370473938312,6.734908947035558e-05,72.70088579235494,0:43.2020467886;24:72.7008857924;47:77.5965072972,0.011700345234970063,False,False
150,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,43.05291871294179,74.38878440856676,74.38878440856676,-31.335865695624975,-19.720474243164062,0.25,0.005,24.395687103271484,2937.554443359375,43.05565643310547,74.47683715820312,-31.421180725097656,-19.720474243164062,-0.002300905529409647,0.002300905529409647,-4.659847490984248e-06,4.659847490984248e-06,0.0005,0.5,0.4601811058819294,0,0,0.0,0.003080535214394331,0.0384400300681591,0.034912588773955484,0.0,1.00695185337941,3.943483205534126e-05,76.32854928195641,0:43.0529187129;24:76.328549282;47:74.3887844086,0.0036540896982123587,False,False
175,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,39.984072952558535,67.82071415852778,67.82071415852778,-27.836641205969244,-23.76323699951172,0.25,0.005,29.644044876098633,3622.051513671875,40.3093376159668,68.43351745605469,-28.12417984008789,-23.76323699951172,-0.002796261105686426,0.002796261105686426,-5.615131613012636e-06,5.615131613012636e-06,0.0005,0.5,0.5592522211372852,0,0,0.0,0.0012546076904982328,0.03573964536190033,0.0317811343749802,0.0,1.0084981818618306,3.335948567573979e-05,67.27089787950206,0:39.9840729526;24:67.2708978795;47:67.8207141585,-0.004328783938958161,False,False
200,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,41.372371694923146,58.493744869583296,58.493744869583296,-17.12137317466015,-22.875118255615234,0.25,0.005,28.78165054321289,4396.95361328125,41.359214782714844,58.714752197265625,-17.35553741455078,-22.875118255615234,-0.0027152742259204388,0.0027152742259204388,-5.405273896030849e-06,5.405273896030849e-06,0.0005,0.5,0.5430548451840878,0,0,0.0,-0.0001257214171346277,0.03151489049196243,0.027411920295750753,0.001890359168241966,1.0084472353832483,1.6855627592462415e-05,60.85268540100368,0:41.3723716949;24:60.852685401;47:58.4937448696,-0.009549625700300943,False,False
225,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,41.43317982946644,55.076307853825796,55.076307853825796,-13.643128024359356,-19.799205780029297,0.25,0.005,24.956201553344727,5053.03759765625,41.42707061767578,55.160770416259766,-13.733699798583984,-19.799205780029297,-0.002353910356760025,0.002353910356760025,-4.678451205109013e-06,4.678451205109013e-06,0.0005,0.5,0.470782071352005,0,0,0.0,0.00018703166279010475,0.030094945803284645,0.025838622957825255,0.0,1.0073468916132229,1.1139465704755595e-05,24.296854256457237,0:41.4331798295;24:24.2968542565;47:55.0763078538,-0.01322708217334413,False,False
