step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9997081160545349,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9983072280883789,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.996964156627655,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.9959058165550232,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102440.8515625,0.008593765383782294,0,0,True
25,lightweight_reduction,0.9949570894241333,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102605.828125,0.010218062037255829,0,0,True
30,lightweight_reduction,0.9941503405570984,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102778.546875,0.011918585331994328,0,0,True
35,lightweight_reduction,0.9934512972831726,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,102956.2265625,0.013667952135515122,0,0,True
40,lightweight_reduction,0.9928483366966248,1.0528253316879272,0.02718297764658928,0.026486221700906754,0.3515852987766266,0.026486221700906754,0.3515852987766266,0,0.0,3859584,101568,103129.5078125,0.015374013591879333,0,0,True
45,lightweight_reduction,0.9923279881477356,1.0537306070327759,0.0266544409096241,0.026464877650141716,0.3515323996543884,0.026464877650141716,0.3515323996543884,0,0.0,3859584,101568,103279.0,0.016845856962822935,0,0,True
50,lightweight_reduction,0.9918786287307739,1.0527830123901367,0.027587179094552994,0.02644142508506775,0.35094934701919556,0.02644142508506775,0.35094934701919556,0,0.0,3859584,101568,103448.65625,0.01851622804426591,0,0,True
55,lightweight_reduction,0.9914906620979309,1.0495810508728027,0.02920609898865223,0.02633020468056202,0.34958720207214355,0.02633020468056202,0.34958720207214355,0,0.0,3859584,101568,103649.1953125,0.020490659582742595,0,0,True
60,lightweight_reduction,0.9911550879478455,1.0469024181365967,0.030101444572210312,0.026233920827507973,0.3488985598087311,0.026233920827507973,0.3488985598087311,0,0.0,3859584,101568,103826.0546875,0.022231949900559232,0,0,True
65,lightweight_reduction,0.9908654093742371,1.04449462890625,0.03051932342350483,0.026153564453125,0.3485299050807953,0.026153564453125,0.3485299050807953,0,0.0,3859584,101568,104001.6875,0.023961163949275364,0,0,True
70,lightweight_reduction,0.9906156063079834,1.043310523033142,0.03058123029768467,0.02608359046280384,0.3481712341308594,0.02608359046280384,0.3481712341308594,0,0.0,3859584,101568,104164.9921875,0.025568999955694706,0,0,True
75,lightweight_reduction,0.9904373288154602,1.0428255796432495,0.03048914112150669,0.02603841945528984,0.34781962633132935,0.02603841945528984,0.34781962633132935,0,0.0,3859584,101568,104301.4921875,0.02691292717686673,0,0,True
80,lightweight_reduction,0.9908790588378906,1.042297124862671,0.03061627224087715,0.026011593639850616,0.34747228026390076,0.026011593639850616,0.34747228026390076,0,0.0,3859584,101568,104409.6015625,0.02797733107376339,0,0,True
85,lightweight_reduction,0.9921407103538513,1.0407798290252686,0.049179933965206146,0.023652436211705208,0.3467564582824707,0.023652436211705208,0.3467564582824707,0,0.0,3859584,101568,104333.7109375,0.0272301407677615,0,0,True
90,lightweight_reduction,0.9767985343933105,1.0407767295837402,0.05585624277591705,0.022970514371991158,0.3467731475830078,0.022970514371991158,0.3467731475830078,0,0.0,3859584,101568,104065.1015625,0.024585514753662573,0,0,True
95,lightweight_reduction,0.9718645215034485,1.038602590560913,0.05026031285524368,0.023282231763005257,0.3461586833000183,0.023282231763005257,0.3461586833000183,0,0.0,3859584,101568,103851.8359375,0.02248578230840422,0,0,True
100,lightweight_reduction,0.9764012098312378,1.0353789329528809,0.04966220259666443,0.023378312587738037,0.34503373503685,0.023378312587738037,0.34503373503685,0,0.0,3859584,101568,103661.84375,0.020615191300409577,0,0,True
105,lightweight_reduction,0.9793862104415894,1.0334984064102173,0.04947032779455185,0.02339162304997444,0.3443969488143921,0.02339162304997444,0.3443969488143921,0,0.0,3859584,101568,103504.7265625,0.01906827507187303,0,0,True
110,lightweight_reduction,0.9798790812492371,1.0316914319992065,0.0494912788271904,0.02348116785287857,0.3437829911708832,0.02348116785287857,0.3437829911708832,0,0.0,3859584,101568,103317.5859375,0.017225759466564274,0,0,True
115,lightweight_reduction,0.9817573428153992,1.0300524234771729,0.04969242960214615,0.023476602509617805,0.34323370456695557,0.023476602509617805,0.34323370456695557,0,0.0,3859584,101568,103125.6171875,0.01533570797396818,0,0,True
120,lightweight_reduction,0.9828801155090332,1.0287100076675415,0.04926183819770813,0.023493420332670212,0.3427753150463104,0.023493420332670212,0.3427753150463104,0,0.0,3859584,101568,102944.2890625,0.013550420038791745,0,0,True
125,lightweight_reduction,0.9834886789321899,1.0275973081588745,0.0493960902094841,0.0235378909856081,0.3423938453197479,0.0235378909856081,0.3423938453197479,0,0.0,3859584,101568,102700.1015625,0.011146242541942344,0,0,True
130,lightweight_reduction,0.9849532842636108,1.0267000198364258,0.04928314685821533,0.023536700755357742,0.34209245443344116,0.023536700755357742,0.34209245443344116,0,0.0,3859584,101568,102574.21875,0.009906848121455576,0,0,True
135,lightweight_reduction,0.9840174913406372,1.0258780717849731,0.04834142327308655,0.02359250746667385,0.34181469678878784,0.02359250746667385,0.34181469678878784,0,0.0,3859584,101568,102420.234375,0.00839077637641777,0,0,True
140,lightweight_reduction,0.9821684956550598,1.02512526512146,0.047098543494939804,0.023646412417292595,0.3415619432926178,0.023646412417292595,0.3415619432926178,0,0.0,3859584,101568,102278.6875,0.006997159538437303,0,0,True
145,lightweight_reduction,0.9816515445709229,1.0244698524475098,0.04612037539482117,0.023669077083468437,0.3413388431072235,0.023669077083468437,0.3413388431072235,0,0.0,3859584,101568,102136.296875,0.005595235458018273,0,0,True
150,lightweight_reduction,0.9807876944541931,1.023884654045105,0.04556348919868469,0.02370438352227211,0.34114348888397217,0.02370438352227211,0.34114348888397217,0,0.0,3859584,101568,101974.578125,0.004003013990626969,0,0,True
155,lightweight_reduction,0.9806695580482483,1.0232915878295898,0.04537990689277649,0.02369513176381588,0.34094902873039246,0.02369513176381588,0.34094902873039246,0,0.0,3859584,101568,101795.765625,0.0022424939449432893,0,0,True
160,lightweight_reduction,0.9803188443183899,1.0219700336456299,0.04541677236557007,0.02364877425134182,0.34057265520095825,0.02364877425134182,0.34057265520095825,0,0.0,3859584,101568,101631.53125,0.0006255045880592312,0,0,True
165,lightweight_reduction,0.9800739884376526,1.0160551071166992,0.04600396007299423,0.023538729175925255,0.33889642357826233,0.023538729175925255,0.33889642357826233,0,0.0,3859584,101568,101468.3671875,-0.0009809468779536862,0,0,True
170,lightweight_reduction,0.9791976809501648,1.0083439350128174,0.04610728845000267,0.023378966376185417,0.3360613286495209,0.023378966376185417,0.3360613286495209,0,0.0,3859584,101568,101290.734375,-0.002729852168005671,0,0,True
175,lightweight_reduction,0.9593763947486877,1.0085780620574951,0.040141697973012924,0.023449288681149483,0.33612149953842163,0.023449288681149483,0.33612149953842163,0,0.0,3859584,101568,101110.1953125,-0.004507371293123818,0,0,True
180,lightweight_reduction,0.9468275308609009,1.0087642669677734,0.03682276979088783,0.024011561647057533,0.3362063765525818,0.024011561647057533,0.3362063765525818,0,0.0,3859584,101568,100965.1328125,-0.005935601641264965,0,0,True
185,lightweight_reduction,0.9570317268371582,1.0088199377059937,0.03568269684910774,0.02463829517364502,0.3362654745578766,0.02463829517364502,0.3362654745578766,0,0.0,3859584,101568,100863.59375,-0.006935316733616887,0,0,True
190,lightweight_reduction,0.9580762982368469,1.0087636709213257,0.03483687713742256,0.024587448686361313,0.33623242378234863,0.024587448686361313,0.33623242378234863,0,0.0,3859584,101568,100773.5078125,-0.007822268701756459,0,0,True
195,lightweight_reduction,0.9591252207756042,1.0086352825164795,0.034142229706048965,0.024614449590444565,0.33619391918182373,0.024614449590444565,0.33619391918182373,0,0.0,3859584,101568,100679.6015625,-0.00874683401760397,0,0,True
200,lightweight_reduction,0.9596191644668579,1.0084744691848755,0.03369108587503433,0.02461777627468109,0.3361547291278839,0.02461777627468109,0.3361547291278839,0,0.0,3859584,101568,100609.8046875,-0.00943402757266068,0,0,True
205,lightweight_reduction,0.960566520690918,1.0082769393920898,0.03275557607412338,0.02464914321899414,0.3360772728919983,0.02464914321899414,0.3360772728919983,0,0.0,3859584,101568,100548.3359375,-0.010039225568092313,0,0,True
210,lightweight_reduction,0.9618578553199768,1.0080658197402954,0.0311594121158123,0.024702278897166252,0.33600789308547974,0.024702278897166252,0.33600789308547974,0,0.0,3859584,101568,100474.0859375,-0.010770262902685885,0,0,True
215,lightweight_reduction,0.9629673361778259,1.007838249206543,0.030503954738378525,0.024737685918807983,0.33593326807022095,0.024737685918807983,0.33593326807022095,0,0.0,3859584,101568,100394.65625,-0.01155229747558286,0,0,True
220,lightweight_reduction,0.9646869897842407,1.0076148509979248,0.030268622562289238,0.024774176999926567,0.33585697412490845,0.024774176999926567,0.33585697412490845,0,0.0,3859584,101568,100318.5625,-0.012301487673282924,0,0,True
225,lightweight_reduction,0.9673176407814026,1.0073820352554321,0.030095010995864868,0.02480154111981392,0.33578112721443176,0.02480154111981392,0.33578112721443176,0,0.0,3859584,101568,100241.984375,-0.013055446843494014,0,0,True
230,lightweight_reduction,0.9684350490570068,1.0071237087249756,0.029907967895269394,0.02484615333378315,0.33570441603660583,0.02484615333378315,0.33570441603660583,0,0.0,3859584,101568,100167.84375,-0.013785407313327032,0,0,True
