step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,6.031603287725476,37.549855020830364,0.8616016186282284
50,43.78227480669423,9.6172091954489,34.16506561124533,0.7803401207929368
75,43.7893210252618,12.44102043627318,31.34830058898862,0.7158891678385233
100,43.47746753978264,85.16167300168999,41.684205461907354,0.4894714252628662
125,43.202403215722086,77.60011560972423,34.39771239400214,0.44326882922442057
150,43.05334110931038,74.39381383281594,31.340472723505556,0.42127794111935857
175,39.98435417771161,67.82970789209095,27.845353714379343,0.41051855565525963
200,41.372215958198204,58.50638310107509,17.134167142876883,0.2928597912688613
225,41.43286453497211,55.08893013403912,13.656065599067006,0.24789128352719642
250,41.5842529430566,14.316100609083913,27.268152333972687,0.6557326488782265
