step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.9949603080749512,1.055232286453247,1.010159322573547,102599.86207515001,1031.862075150013,0.010159322573546913
50,0.9918832778930664,1.052783727645874,1.0189270194621067,103490.37951272726,1922.3795127272606,0.018927019462106773
75,0.9904424548149109,1.0428307056427002,1.0270797584092017,104318.43690210581,2750.4369021058083,0.0270797584092018
100,0.9764043092727661,1.0353832244873047,1.0208631733563864,103687.03079146147,2119.0307914614677,0.020863173356386537
125,0.983491837978363,1.0276060104370117,1.0117041044701278,102756.76248282194,1188.7624828219414,0.01170410447012781
150,0.9807946681976318,1.0238944292068481,1.0036568551235694,101939.4194611907,371.41946119070053,0.0036568551235694365
175,0.959383487701416,1.0085736513137817,0.9956725532049343,101128.46988391876,-439.5301160812378,-0.004327446795065747
200,0.959618330001831,1.008471131324768,0.990448822137074,100597.90596681833,-970.0940331816673,-0.009551177862925994
225,0.9673134684562683,1.007380485534668,0.9867681353062476,100224.06596678495,-1343.934033215046,-0.013231864693752421
250,0.9703392386436462,1.0051559209823608,0.9858075174108082,100126.49792838097,-1441.5020716190338,-0.014192482589191811
