step,lbm_open_boundary_semantics,row_role,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.58145830855584,0.6803624710661054,0.6803624710661054,42.901095837489734,16.737947463989258,0.10000000149011612,0.002,8.189980506896973,104.81495666503906,43.50697708129883,0.4906803071498871,43.01629677414894,16.737947463989258,0.0007650665356777608,0.0007650665356777608,7.910183740023058e-06,7.910183740023058e-06,0.0005,0.5,0.3825332678388804,0,0,0.0,1,0,0,0.0,43.50697708129883,0.607398271560669,0.00017465162090957165,0.0003301609249319881,0.0003217128838627799,0.0,0.9994392688817473,8.271881558130649e-06,4.768371635321881e-07,0.5555201017550891,0.4450446201775139,0.34869326328382366,0.816506091061442,0:43.5814583086;24:4.76837163532e-07;47:0.680362471066,0.010847593461079424,False,False
50,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.782274916113494,3.74655922688172,3.74655922688172,40.03571568923177,26.703027725219727,0.10000000149011612,0.002,13.340703010559082,382.9993591308594,43.77075958251953,3.327763795852661,40.44299578666687,26.703027725219727,0.0012482833117246628,0.0012482833117246628,1.2619579138117842e-05,1.2619579138117842e-05,0.0005,0.5,0.6241416558623314,0,0,0.0,1,0,0,0.0,43.77075958251953,3.5950140953063965,0.000753518776036799,0.0018485550535842776,0.0017761327640167992,0.0,0.9968781511251777,2.5850644412142403e-05,45.89502919764255,3.4777369040143893,3.212300931720667,2.951630236411142,0.9282482121359461,0:43.7822749161;24:45.8950291976;47:3.74655922688,0.021097996890094194,False,False
75,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.78933998031295,7.273615458207638,7.273615458207638,36.515724522105316,31.317745208740234,0.10000000149011612,0.002,15.761859893798828,752.301025390625,43.791969299316406,7.610641002655029,36.18132829666138,31.317745208740234,0.0014748778194189072,0.0014748778194189072,1.4800448298046831e-05,1.4800448298046831e-05,0.0005,0.5,0.7374389097094536,0,0,0.0,1,0,0,0.0,43.791969299316406,7.049620151519775,0.001089066849090159,0.003642934374511242,0.0034553364034463074,0.0,0.9948001251554218,0.0002012494032672146,44.436808516755775,8.416259132033217,10.88192554903936,16.00006282083197,1.157094319928091,0:43.7893399803;24:44.4368085168;47:7.27361545821,0.030495424200936202,False,False
100,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.79262977229338,63.3845383509112,63.3845383509112,-19.59190857861782,20.059263229370117,0.10000000149011612,0.002,10.580659866333008,1102.6402587890625,43.792572021484375,58.43025588989258,-14.637683868408203,20.059263229370117,0.0009806413436308503,0.0009806413436308503,9.479803338763304e-06,9.479803338763304e-06,0.0005,0.5,0.49032067181542516,0,0,0.0,1,0,5,0.05,58.43025588989258,61.61430358886719,0.011285237967967987,0.031199244782328606,0.029464608029724716,0.0,1.0167458883868723,0.0020042910163358438,48.04641959872026,59.866365437905095,56.64829697349699,54.09454347247768,0.9444947773614962,0:43.7926297723;24:48.0464195987;47:63.3845383509,0.032158245182893674,False,False
125,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.6436814962428,103.89105227776602,103.89105227776602,-60.24737078152322,-3.254621744155884,0.10000000149011612,0.002,1.2433089017868042,1227.9161376953125,43.65443801879883,100.19169616699219,-56.53725814819336,-3.254621744155884,-0.00010274116357322782,0.00010274116357322782,-1.538101173537143e-06,1.538101173537143e-06,0.0005,0.5,0.05137058178661391,0,0,0.0,1,0,5,0.04,100.19169616699219,102.68031311035156,0.015413552522659302,0.05320831015706062,0.0500828539666549,0.0,0.9803437992845907,0.0006083251477916095,43.92629388315761,101.50011168654235,98.95859966781671,96.26761779768593,0.9769860778305414,0:43.6436814962;24:43.9262938832;47:103.891052278,0.021687547107612705,False,False
150,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.39904808196493,113.27196383211606,113.27196383211606,-69.87291575015112,-28.918012619018555,0.10000000149011612,0.002,14.35679817199707,1431.9737548828125,43.40635681152344,114.3212661743164,-70.91490936279297,-28.918012619018555,-0.0013251329073682427,0.0013251329073682427,-1.3666358427144587e-05,1.3666358427144587e-05,0.0005,0.5,0.6625664536841214,0,0,0.0,1,0,5,0.03333333333333333,114.3212661743164,113.69689178466797,0.009877935983240604,0.05942864343523979,0.05509635992480234,0.0,0.9716062652253473,0.0005025842615255204,75.28302914780232,114.0227792086296,114.52193609370248,114.76377030602833,1.0066284308235915,0:43.399048082;24:75.2830291478;47:113.271963832,0.004670005228907978,False,False
175,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.97390569237099,86.04600284410542,86.04600284410542,-42.072097151734425,-41.144691467285156,0.10000000149011612,0.002,20.7531681060791,1893.0406494140625,44.13029861450195,90.31838989257812,-46.18809127807617,-41.144691467285156,-0.0019380769226700068,0.0019380769226700068,-1.9444563804427162e-05,1.9444563804427162e-05,0.0005,0.5,0.9690384613350034,0,0,0.0,1,0,5,0.02857142857142857,90.31838989257812,87.55632019042969,-0.0010617717634886503,0.045700497925281525,0.04082412090801039,0.001890359168241966,0.9961303386886539,0.00042284255994443277,104.80893940526352,88.82960113061962,91.54939439495823,94.18376477656608,1.0323501173152392,0:43.9739056924;24:104.808939405;47:86.0460028441,-0.009415670965282362,False,False
200,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,40.808389913923484,51.00883558931479,51.00883558931479,-10.200445675391308,-35.50204086303711,0.10000000149011612,0.002,18.291242599487305,2394.144287109375,40.90868377685547,53.67271423339844,-12.764030456542969,-35.50204086303711,-0.0016990764997899532,0.0016990764997899532,-1.6777903510956094e-05,1.6777903510956094e-05,0.0005,0.5,0.8495382498949766,0,0,0.0,1,0,5,0.025,53.67271423339844,52.028892517089844,-0.006109199952334166,0.028538702055811882,0.02353091749779069,0.08695652173913043,1.0243640188796759,0.0005523154006669687,103.37093043772836,52.54925504066302,54.259686419836754,56.13063613397637,1.0301990710736968,0:40.8083899139;24:103.370930438;47:51.0088355893,-0.01597000671129277,False,False
225,convective_plane_flux_controlled_damped_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,38.81560243265793,44.79379082689665,44.79379082689665,-5.978188394238714,-23.4245662689209,0.10000000149011612,0.002,12.1653413772583,2768.680419921875,38.85969161987305,43.22980880737305,-4.3701171875,-23.4245662689209,-0.001126082381233573,0.001126082381233573,-1.1070211257901974e-05,1.1070211257901974e-05,0.0005,0.5,0.5630411906167865,0,0,0.0,1,0,5,0.022222222222222223,43.22980880737305,44.336158752441406,-0.0032207402400672436,0.025370895862579346,0.020658934497180304,0.01890359168241966,1.0247342170749585,0.0003353670184488578,56.16004761571419,43.60309800180711,42.60070654380871,41.80593010578901,0.9734183510011263,0:38.8156024327;24:56.1600476157;47:44.7937908269,-0.017706965109205462,False,False
