step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
25,0.99712735414505,1.055232286453247,1.010493921756242,102633.84664493799,1065.846644937992,0.010493921756242046
50,0.9946655631065369,1.053321123123169,1.0200233105276655,103601.72760367393,2033.727603673935,0.020023310527665553
75,0.9929898977279663,1.0457119941711426,1.0289535587858913,104508.75505876541,2940.7550587654114,0.02895355878589134
100,0.9775702953338623,1.038162350654602,1.0231267040197531,103916.93307387829,2348.9330738782883,0.023126704019753152
125,0.9846054911613464,1.0329527854919434,1.01324717501365,102913.4890717864,1345.4890717864037,0.013247175013650005
150,0.9842897057533264,1.0292614698410034,1.0041600440510872,101990.52735418081,422.52735418081284,0.004160044051087083
175,0.9626546502113342,1.0051462650299072,0.99504464641143,101064.69464671612,-503.30535328388214,-0.004955353588570043
200,0.9567010402679443,1.0064691305160522,0.9878786514849457,100336.85887402296,-1231.1411259770393,-0.012121348515054342
225,0.9635442495346069,1.00694739818573,0.9823356491056399,99773.86720836163,-1794.1327916383743,-0.017664350894360175
250,0.9689143300056458,1.0060499906539917,0.9801767357397958,99554.59069561958,-2013.4093043804169,-0.019823264260204167
