step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9998530149459839,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9991283416748047,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9983832836151123,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.9977419376373291,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102457.3828125,0.00875652580044896,0,0,True
25,lightweight_reduction,0.99712735414505,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102671.953125,0.010869103703922495,0,0,True
30,lightweight_reduction,0.9965620040893555,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102891.6796875,0.013032448088965028,0,0,True
35,lightweight_reduction,0.9960348010063171,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,103093.0390625,0.015014956113145872,0,0,True
40,lightweight_reduction,0.9955449104309082,1.0528252124786377,0.027182983234524727,0.026486221700906754,0.3515852689743042,0.026486221700906754,0.3515852689743042,0,0.0,3859584,101568,103264.21875,0.016700326382325142,0,0,True
45,lightweight_reduction,0.9950893521308899,1.0537337064743042,0.026645278558135033,0.026464877650141716,0.35153305530548096,0.026464877650141716,0.35153305530548096,0,0.0,3859584,101568,103442.171875,0.018452385347747322,0,0,True
50,lightweight_reduction,0.9946655631065369,1.053321123123169,0.02726057358086109,0.02644142508506775,0.3511055111885071,0.02644142508506775,0.3511055111885071,0,0.0,3859584,101568,103581.2109375,0.019821311215146502,0,0,True
55,lightweight_reduction,0.9942715764045715,1.051347255706787,0.028218859806656837,0.026418481022119522,0.35016775131225586,0.026418481022119522,0.35016775131225586,0,0.0,3859584,101568,103737.109375,0.021356228093494013,0,0,True
60,lightweight_reduction,0.9939051270484924,1.049299955368042,0.028797613456845284,0.02639487199485302,0.3496864140033722,0.02639487199485302,0.3496864140033722,0,0.0,3859584,101568,103931.9296875,0.023274354988775992,0,0,True
65,lightweight_reduction,0.9935641288757324,1.0471761226654053,0.02909965068101883,0.026335470378398895,0.3494470417499542,0.026335470378398895,0.3494470417499542,0,0.0,3859584,101568,104128.21875,0.02520694263941399,0,0,True
70,lightweight_reduction,0.9932478666305542,1.046230673789978,0.029176829382777214,0.026278024539351463,0.34913086891174316,0.026278024539351463,0.34913086891174316,0,0.0,3859584,101568,104317.296875,0.027068534134766856,0,0,True
75,lightweight_reduction,0.9929898977279663,1.0457119941711426,0.02908330038189888,0.026227198541164398,0.3487616181373596,0.026227198541164398,0.3487616181373596,0,0.0,3859584,101568,104515.28125,0.029017813189193446,0,0,True
80,lightweight_reduction,0.9933119416236877,1.0450302362442017,0.029462840408086777,0.02619040012359619,0.3483567535877228,0.02619040012359619,0.3483567535877228,0,0.0,3859584,101568,104676.8125,0.030608188602709516,0,0,True
85,lightweight_reduction,0.9943346977233887,1.0425347089767456,0.04749324172735214,0.023829134181141853,0.34751594066619873,0.023829134181141853,0.34751594066619873,0,0.0,3859584,101568,104634.75,0.03019405718336484,0,0,True
90,lightweight_reduction,0.9783598184585571,1.0411404371261597,0.055751558393239975,0.022999055683612823,0.34687262773513794,0.022999055683612823,0.34687262773513794,0,0.0,3859584,101568,104374.9375,0.02763604186357908,0,0,True
95,lightweight_reduction,0.9724897146224976,1.0399917364120483,0.04953745752573013,0.023341065272688866,0.3465728759765625,0.023341065272688866,0.3465728759765625,0,0.0,3859584,101568,104161.203125,0.02553169428363264,0,0,True
100,lightweight_reduction,0.9775702953338623,1.038162350654602,0.0491708405315876,0.023413363844156265,0.3459188640117645,0.023413363844156265,0.3459188640117645,0,0.0,3859584,101568,103942.9921875,0.023383272167414933,0,0,True
105,lightweight_reduction,0.9801146984100342,1.0371465682983398,0.04869379475712776,0.023460539057850838,0.3455912470817566,0.023460539057850838,0.3455912470817566,0,0.0,3859584,101568,103718.171875,0.021169776652095147,0,0,True
110,lightweight_reduction,0.980900764465332,1.0359389781951904,0.04894281178712845,0.023537704721093178,0.3451773226261139,0.023537704721093178,0.3451773226261139,0,0.0,3859584,101568,103550.7734375,0.019521635136066477,0,0,True
115,lightweight_reduction,0.9830487966537476,1.0348490476608276,0.04900122061371803,0.023539919406175613,0.3448171019554138,0.023539919406175613,0.3448171019554138,0,0.0,3859584,101568,103363.4140625,0.01767696580123661,0,0,True
120,lightweight_reduction,0.9837644100189209,1.03385591506958,0.04866776242852211,0.02357564866542816,0.34448114037513733,0.02357564866542816,0.34448114037513733,0,0.0,3859584,101568,103168.03125,0.015753300744328923,0,0,True
125,lightweight_reduction,0.9846054911613464,1.0329527854919434,0.04879305511713028,0.02359638549387455,0.3441741466522217,0.02359638549387455,0.3441741466522217,0,0.0,3859584,101568,102948.53125,0.013592187007718966,0,0,True
130,lightweight_reduction,0.9857361912727356,1.0321462154388428,0.04859994351863861,0.02360847219824791,0.34390610456466675,0.02360847219824791,0.34390610456466675,0,0.0,3859584,101568,102744.359375,0.011581988175409577,0,0,True
135,lightweight_reduction,0.9855738282203674,1.0313674211502075,0.04820619896054268,0.02366541139781475,0.3436434864997864,0.02366541139781475,0.3436434864997864,0,0.0,3859584,101568,102541.265625,0.009582404152882798,0,0,True
140,lightweight_reduction,0.9850981831550598,1.0306235551834106,0.04747394099831581,0.02368052862584591,0.34339553117752075,0.02368052862584591,0.34339553117752075,0,0.0,3859584,101568,102326.640625,0.007469287817028986,0,0,True
145,lightweight_reduction,0.9846813678741455,1.0299233198165894,0.046707089990377426,0.023703094571828842,0.343159019947052,0.023703094571828842,0.343159019947052,0,0.0,3859584,101568,102126.03125,0.005494164008349086,0,0,True
150,lightweight_reduction,0.9842897057533264,1.0292614698410034,0.04647456109523773,0.023735757917165756,0.342939168214798,0.023735757917165756,0.342939168214798,0,0.0,3859584,101568,101928.609375,0.0035504231155482043,0,0,True
155,lightweight_reduction,0.9844653606414795,1.0285580158233643,0.04627615585923195,0.023709557950496674,0.34270918369293213,0.023709557950496674,0.34270918369293213,0,0.0,3859584,101568,101746.40625,0.0017565202622873346,0,0,True
160,lightweight_reduction,0.983835756778717,1.0270776748657227,0.04623565450310707,0.02367348037660122,0.34228235483169556,0.02367348037660122,0.34228235483169556,0,0.0,3859584,101568,101577.7890625,9.637939606962823e-05,0,0,True
165,lightweight_reduction,0.9837076663970947,1.0208771228790283,0.04696235433220863,0.023574376478791237,0.3405176103115082,0.023574376478791237,0.3405176103115082,0,0.0,3859584,101568,101421.0859375,-0.0014464601301591052,0,0,True
170,lightweight_reduction,0.9831598401069641,1.0047634840011597,0.046869900077581406,0.023409806191921234,0.3348599374294281,0.023409806191921234,0.3348599374294281,0,0.0,3859584,101568,101226.96875,-0.003357664323408948,0,0,True
175,lightweight_reduction,0.9626546502113342,1.0051462650299072,0.04143496975302696,0.02347726747393608,0.33497554063796997,0.02347726747393608,0.33497554063796997,0,0.0,3859584,101568,101038.140625,-0.005216794413594833,0,0,True
180,lightweight_reduction,0.9487996697425842,1.0055147409439087,0.040017127990722656,0.023997584357857704,0.33510705828666687,0.023997584357857704,0.33510705828666687,0,0.0,3859584,101568,100874.7734375,-0.006825245771305923,0,0,True
185,lightweight_reduction,0.9569976925849915,1.0058212280273438,0.039273206144571304,0.02442527376115322,0.33524832129478455,0.02442527376115322,0.33524832129478455,0,0.0,3859584,101568,100739.7421875,-0.008154712237121928,0,0,True
190,lightweight_reduction,0.9567722678184509,1.0060768127441406,0.03862480819225311,0.02447734959423542,0.33531931042671204,0.02447734959423542,0.33531931042671204,0,0.0,3859584,101568,100610.046875,-0.009431643086405168,0,0,True
195,lightweight_reduction,0.9566344618797302,1.006290316581726,0.03793249651789665,0.024458400905132294,0.335389643907547,0.024458400905132294,0.335389643907547,0,0.0,3859584,101568,100477.234375,-0.010739264581364209,0,0,True
200,lightweight_reduction,0.9567010402679443,1.0064691305160522,0.037439554929733276,0.024443233385682106,0.33547064661979675,0.024443233385682106,0.33547064661979675,0,0.0,3859584,101568,100341.3828125,-0.012076807532884372,0,0,True
205,lightweight_reduction,0.9576535224914551,1.0066131353378296,0.036604903638362885,0.02446030080318451,0.3355029225349426,0.02446030080318451,0.3355029225349426,0,0.0,3859584,101568,100217.8125,-0.01329343395557656,0,0,True
210,lightweight_reduction,0.9589661359786987,1.0067362785339355,0.03543275222182274,0.024504445493221283,0.3355478048324585,0.024504445493221283,0.3355478048324585,0,0.0,3859584,101568,100111.125,-0.014343838610586012,0,0,True
215,lightweight_reduction,0.9601855278015137,1.0068256855010986,0.03467155992984772,0.024537337943911552,0.3355783224105835,0.024537337943911552,0.3355783224105835,0,0.0,3859584,101568,100014.5234375,-0.015294940950890044,0,0,True
220,lightweight_reduction,0.9613384008407593,1.0069042444229126,0.0340043306350708,0.024571102112531662,0.3356013596057892,0.024571102112531662,0.3356013596057892,0,0.0,3859584,101568,99916.9296875,-0.016255811992950536,0,0,True
225,lightweight_reduction,0.9635442495346069,1.00694739818573,0.03349122405052185,0.02460038661956787,0.3356190621852875,0.02460038661956787,0.3356190621852875,0,0.0,3859584,101568,99791.25,-0.017493206521739132,0,0,True
230,lightweight_reduction,0.9647676944732666,1.006937026977539,0.03305403143167496,0.02464519813656807,0.33562812209129333,0.02464519813656807,0.33562812209129333,0,0.0,3859584,101568,99684.578125,-0.018543457338925647,0,0,True
235,lightweight_reduction,0.9659104943275452,1.0068811178207397,0.03222997486591339,0.0246746726334095,0.3356234133243561,0.0246746726334095,0.3356234133243561,0,0.0,3859584,101568,99604.546875,-0.01933141466800567,0,0,True
240,lightweight_reduction,0.9669311046600342,1.0066882371902466,0.029803559184074402,0.0246838741004467,0.3355710804462433,0.0246838741004467,0.3355710804462433,0,0.0,3859584,101568,99507.984375,-0.020282132413752364,0,0,True
245,lightweight_reduction,0.967760443687439,1.0062288045883179,0.026634151116013527,0.024701030924916267,0.33542874455451965,0.024701030924916267,0.33542874455451965,0,0.0,3859584,101568,99441.828125,-0.020933481756064902,0,0,True
250,lightweight_reduction,0.9689143300056458,1.0060499906539917,0.026456743478775024,0.02473238669335842,0.335298627614975,0.02473238669335842,0.335298627614975,0,0.0,3859584,101568,99561.4453125,-0.019755776302575613,0,0,True
