step,lbm_open_boundary_semantics,row_role,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.58145830855584,6.092821640242882,6.092821640242882,37.48863666831296,15.78142261505127,0.25,0.005,19.219118118286133,252.7415771484375,43.50697708129883,5.484050750732422,38.022926330566406,15.78142261505127,0.0018091424135491252,0.0018091424135491252,7.458139407390263e-06,7.458139407390263e-06,0.0005,0.5,0.36182848270982504,0,0,0.0,1,0,0,0.0,0.0,5.881167888641357,0.0015102112665772438,0.003090051468461752,0.0028941010978620406,0.0,0.9949219978092299,2.390018531698512e-06,0.0,5.709006439382456,5.302519034983531,4.876884809667121,0.9370053443998198,0:43.5814583086;24:0;47:6.09282164024,0.010152871397141397,False,False
50,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.78227480669423,9.690099659637038,9.690099659637038,34.09217514705719,23.732749938964844,0.25,0.005,29.50311851501465,882.376220703125,43.77075958251953,9.407304763793945,34.363454818725586,23.732749938964844,0.0027775256894528866,0.0027775256894528866,1.1215855920454487e-05,1.1215855920454487e-05,0.0005,0.5,0.5555051378905773,0,0,0.0,1,0,0,0.0,0.0,9.593734741210938,0.0015099098673090339,0.004982861690223217,0.004617161314068749,0.0,0.9918304564878485,1.927473468086395e-06,47.650275227235234,9.509121599888033,9.318506092724807,9.117629779487416,0.9813234057330857,0:43.7822748067;24:47.6502752272;47:9.69009965964,0.01890276730466674,False,False
75,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.78932588797117,12.494504490182957,12.494504490182957,31.294821397788212,27.467693328857422,0.25,0.005,34.35063171386719,1691.50341796875,43.79195022583008,12.27049732208252,31.52145290374756,27.467693328857422,0.0032342765480279922,0.0032342765480279922,1.2980952305952087e-05,1.2980952305952087e-05,0.0005,0.5,0.6468553096055984,0,0,0.0,1,0,0,0.0,0.0,11.879993438720703,0.00124375952873379,0.006430757697671652,0.005961585742054376,0.0,0.9904675943695981,2.7178390071355326e-05,50.42111427598328,13.22552345725715,15.743851003202124,21.145771320555518,1.058507239534674,0:43.789325888;24:50.421114276;47:12.4945044902,0.027039791213814463,False,False
100,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.4751962575405,85.14003898818662,85.14003898818662,-41.664842730646114,5.586493492126465,0.25,0.005,8.243675231933594,2300.645751953125,43.50099563598633,85.14088439941406,-41.639888763427734,5.586493492126465,0.0007765938644297421,0.0007765938644297421,2.6401198738312814e-06,2.6401198738312814e-06,0.0005,0.5,0.15531877288594842,0,0,0.0,1,0,0,0.0,0.0,85.4617691040039,0.011812117882072926,0.04338063299655914,0.040367200310009274,0.0,0.9967769952825427,0.0006522729738110754,53.303461682694866,85.04807547628394,84.47403966645285,84.82407350428099,0.9989198558868944,0:43.4751962575;24:53.3034616827;47:85.1400389882,0.020823200211567403,False,False
125,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.197116426071254,77.49166538891933,77.49166538891933,-34.294548962848076,-11.515785217285156,0.25,0.005,13.840428352355957,2465.958251953125,43.20763397216797,78.08130645751953,-34.87367248535156,-11.515785217285156,-0.0013025652151554823,0.0013025652151554823,-5.442243036668515e-06,5.442243036668515e-06,0.0005,0.5,0.26051304303109646,0,0,0.0,1,0,0,0.0,0.0,77.68695831298828,0.005063391290605068,0.039628949016332626,0.03648907144880539,0.0,1.0036300266397473,6.740231651033796e-05,72.6776099551087,77.88804520044093,78.31402169090495,78.77777442266839,1.0051151283113122,0:43.1971164261;24:72.6776099551;47:77.4916653889,0.011682645113764316,False,False
150,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,43.048816135129215,74.29432686359556,74.29432686359556,-31.245510728466343,-19.956453323364258,0.25,0.005,24.740455627441406,2969.644775390625,43.051490783691406,74.58966064453125,-31.538169860839844,-19.956453323364258,-0.0023290663957595825,0.0023290663957595825,-9.43121631280519e-06,9.43121631280519e-06,0.0005,0.5,0.4658132791519165,0,0,0.0,1,0,0,0.0,0.0,74.3815689086914,0.0030730878934264183,0.038390304893255234,0.03486531928189571,0.0,1.0070366924787064,3.947850859606092e-05,76.21195489513747,74.49672694018648,74.70645219757553,74.92289489162772,1.0027243005641941,0:43.0488161351;24:76.2119548951;47:74.2943268636,0.0036607059968779805,False,False
175,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,39.989234470033914,67.73164203339675,67.73164203339675,-27.74240756336284,-23.908546447753906,0.25,0.005,29.88747787475586,3664.473876953125,40.313846588134766,68.41978454589844,-28.105937957763672,-23.908546447753906,-0.002813863568007946,0.002813863568007946,-1.1298935532977339e-05,1.1298935532977339e-05,0.0005,0.5,0.5627727136015892,0,0,0.0,1,0,0,0.0,0.0,68.3481216430664,0.0012542796321213245,0.035694073885679245,0.031737782595642194,0.0,1.0085494170116793,3.331356852885195e-05,67.09934763654793,67.82153673482135,67.90733206601313,67.97176108678443,1.0013272186931519,0:39.98923447;24:67.0993476365;47:67.7316420334,-0.004300502679946292,False,False
200,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,41.373852051244896,58.35474459384096,58.35474459384096,-16.980892542596067,-22.913738250732422,0.25,0.005,28.8973331451416,4439.3759765625,41.36090087890625,58.5140380859375,-17.15313720703125,-22.913738250732422,-0.00272043002769351,0.00272043002769351,-1.0828799531736877e-05,1.0828799531736877e-05,0.0005,0.5,0.544086005538702,0,0,0.0,1,0,0,0.0,0.0,58.574398040771484,-0.00013426771329250187,0.03144420310854912,0.027346396529878157,0.001890359168241966,1.0084614025847898,1.68203266979416e-05,60.726252443085,58.28968041978899,58.25278808620989,58.24307819247038,0.9988850234114668,0:41.3738520512;24:60.7262524431;47:58.3547445938,-0.009488535638858705,False,False
225,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,False,0.6,41.440538188012,54.99121087467459,54.99121087467459,-13.550672686662594,-19.73980140686035,0.25,0.005,24.935701370239258,5100.6259765625,41.43452072143555,54.9747314453125,-13.540210723876953,-19.73980140686035,-0.002347224857658148,0.002347224857658148,-9.328829037258402e-06,9.328829037258402e-06,0.0005,0.5,0.46944497153162956,0,0,0.0,1,0,0,0.0,0.0,55.073158264160156,0.00019314188102725893,0.030049916356801987,0.025799296732199915,0.0,1.0073236375765449,1.1021148592197815e-05,24.185928032179767,54.8902383410202,54.784749090125906,54.66377808280899,0.9981638423295587,0:41.440538188;24:24.1859280322;47:54.9912108747,-0.013136069430595835,False,False
