step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9997080564498901,1.049536943435669,0.026540545746684074,0.026570012792944908,0.3490698039531708,0.026570012792944908,0.3490698039531708,0,0.0,3859584,101568,101790.984375,0.002195419571124764,0,0,True
10,lightweight_reduction,0.9983009099960327,1.0534439086914062,0.027761563658714294,0.026476578786969185,0.3514310121536255,0.026476578786969185,0.3514310121536255,0,0.0,3859584,101568,102023.7734375,0.004487372376142092,0,0,True
15,lightweight_reduction,0.9969404339790344,1.055024266242981,0.0278440173715353,0.026529407128691673,0.35108304023742676,0.026529407128691673,0.35108304023742676,0,0.0,3859584,101568,102233.734375,0.006554568121849401,0,0,True
20,lightweight_reduction,0.995867133140564,1.0531331300735474,0.027465179562568665,0.026503615081310272,0.35187041759490967,0.026503615081310272,0.35187041759490967,0,0.0,3859584,101568,102440.8515625,0.008593765383782294,0,0,True
25,lightweight_reduction,0.9949091076850891,1.055232286453247,0.02714633010327816,0.026508033275604248,0.3519652485847473,0.026508033275604248,0.3519652485847473,0,0.0,3859584,101568,102605.828125,0.010218062037255829,0,0,True
30,lightweight_reduction,0.9940962195396423,1.0553185939788818,0.027526086196303368,0.026547668501734734,0.35146790742874146,0.026547668501734734,0.35146790742874146,0,0.0,3859584,101568,102776.4921875,0.011898355658278199,0,0,True
35,lightweight_reduction,0.9933936595916748,1.0542048215866089,0.0275092963129282,0.026520196348428726,0.3513267934322357,0.026520196348428726,0.3513267934322357,0,0.0,3859584,101568,102951.5390625,0.013621800788634215,0,0,True
40,lightweight_reduction,0.9927893877029419,1.0528252124786377,0.027182981371879578,0.026486221700906754,0.3515852689743042,0.026486221700906754,0.3515852689743042,0,0.0,3859584,101568,103126.8203125,0.015347553486334278,0,0,True
45,lightweight_reduction,0.9922694563865662,1.053730845451355,0.026654500514268875,0.026464877650141716,0.3515324294567108,0.026464877650141716,0.3515324294567108,0,0.0,3859584,101568,103278.9296875,0.01684516469261972,0,0,True
50,lightweight_reduction,0.9918214678764343,1.0527796745300293,0.027589475736021996,0.02644142508506775,0.35094842314720154,0.02644142508506775,0.35094842314720154,0,0.0,3859584,101568,103448.53125,0.01851499734168242,0,0,True
55,lightweight_reduction,0.9914354085922241,1.0495446920394897,0.029226453974843025,0.026327533647418022,0.3495754301548004,0.026327533647418022,0.3495754301548004,0,0.0,3859584,101568,103647.9609375,0.020478506394730624,0,0,True
60,lightweight_reduction,0.991102933883667,1.0468485355377197,0.030131107196211815,0.02623005211353302,0.3488811254501343,0.02623005211353302,0.3488811254501343,0,0.0,3859584,101568,103824.359375,0.022215258496770637,0,0,True
65,lightweight_reduction,0.9908163547515869,1.044435739517212,0.030550852417945862,0.02614949643611908,0.34850963950157166,0.02614949643611908,0.34850963950157166,0,0.0,3859584,101568,103999.546875,0.023940088167533083,0,0,True
70,lightweight_reduction,0.9905697703361511,1.0432493686676025,0.030610250309109688,0.026079541072249413,0.3481511175632477,0.026079541072249413,0.3481511175632477,0,0.0,3859584,101568,104161.4921875,0.025534540283356964,0,0,True
75,lightweight_reduction,0.9903969168663025,1.0427697896957397,0.030520552769303322,0.026034804061055183,0.34780141711235046,0.026034804061055183,0.34780141711235046,0,0.0,3859584,101568,104297.375,0.026872390910523,0,0,True
80,lightweight_reduction,0.9908698797225952,1.042249083518982,0.030642421916127205,0.026008257642388344,0.34745678305625916,0.026008257642388344,0.34745678305625916,0,0.0,3859584,101568,104406.375,0.02794556356332703,0,0,True
85,lightweight_reduction,0.9922292232513428,1.0407795906066895,0.04913673922419548,0.023658275604248047,0.3467564284801483,0.023658275604248047,0.3467564284801483,0,0.0,3859584,101568,104330.8359375,0.02720183460834121,0,0,True
90,lightweight_reduction,0.9768861532211304,1.0407747030258179,0.055825162678956985,0.022973038256168365,0.34677255153656006,0.022973038256168365,0.34677255153656006,0,0.0,3859584,101568,104061.03125,0.02454544000078765,0,0,True
95,lightweight_reduction,0.9718703627586365,1.0385903120040894,0.05022798851132393,0.023286228999495506,0.34615522623062134,0.023286228999495506,0.34615522623062134,0,0.0,3859584,101568,103849.6328125,0.022464091175370196,0,0,True
100,lightweight_reduction,0.9764387011528015,1.0353389978408813,0.04964563623070717,0.023380398750305176,0.34502166509628296,0.023380398750305176,0.34502166509628296,0,0.0,3859584,101568,103660.109375,0.02059811530206364,0,0,True
105,lightweight_reduction,0.9793945550918579,1.0334241390228271,0.04944736883044243,0.02339402213692665,0.3443732261657715,0.02339402213692665,0.3443732261657715,0,0.0,3859584,101568,103504.0234375,0.019061352369840894,0,0,True
110,lightweight_reduction,0.979913055896759,1.0315968990325928,0.04948290437459946,0.02348441630601883,0.34375202655792236,0.02348441630601883,0.34375202655792236,0,0.0,3859584,101568,103313.40625,0.017184607848928796,0,0,True
115,lightweight_reduction,0.981807291507721,1.0299463272094727,0.049673616886138916,0.02347833849489689,0.3431987464427948,0.02347833849489689,0.3431987464427948,0,0.0,3859584,101568,103122.1328125,0.015301402139453371,0,0,True
120,lightweight_reduction,0.9829075932502747,1.028595209121704,0.04923596605658531,0.023495983332395554,0.34273725748062134,0.023495983332395554,0.34273725748062134,0,0.0,3859584,101568,102942.3359375,0.013531190310924701,0,0,True
125,lightweight_reduction,0.9835311770439148,1.0274795293807983,0.049381207674741745,0.023538991808891296,0.34235459566116333,0.023538991808891296,0.34235459566116333,0,0.0,3859584,101568,102697.359375,0.011119244004017013,0,0,True
130,lightweight_reduction,0.9849739670753479,1.0265827178955078,0.04926333203911781,0.02353878878057003,0.34205320477485657,0.02353878878057003,0.34205320477485657,0,0.0,3859584,101568,102574.640625,0.009911001742674858,0,0,True
135,lightweight_reduction,0.9840471744537354,1.0257643461227417,0.048328597098588943,0.023595185950398445,0.34177669882774353,0.023595185950398445,0.34177669882774353,0,0.0,3859584,101568,102423.9140625,0.008427005183719282,0,0,True
140,lightweight_reduction,0.9821779131889343,1.0250160694122314,0.047062717378139496,0.02364831417798996,0.3415253460407257,0.02364831417798996,0.3415253460407257,0,0.0,3859584,101568,102277.8125,0.006988544620352867,0,0,True
145,lightweight_reduction,0.9816288948059082,1.0243655443191528,0.04607038199901581,0.023672081530094147,0.34130391478538513,0.023672081530094147,0.34130391478538513,0,0.0,3859584,101568,102135.34375,0.005585851350819156,0,0,True
150,lightweight_reduction,0.9807677865028381,1.023785948753357,0.04551951587200165,0.023707978427410126,0.3411104381084442,0.023707978427410126,0.3411104381084442,0,0.0,3859584,101568,101972.5,0.003982553560176434,0,0,True
155,lightweight_reduction,0.9806563854217529,1.0231995582580566,0.04533245041966438,0.02369781583547592,0.3409181833267212,0.02369781583547592,0.3409181833267212,0,0.0,3859584,101568,101795.4375,0.0022392633506616256,0,0,True
