step,lbm_open_boundary_semantics,row_role,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0;24:0;47:0,0.0,False,False
25,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.58145830855584,6.092821640242882,6.092821640242882,37.48863666831296,15.78142261505127,0.25,0.005,19.219118118286133,252.7415771484375,43.50697708129883,5.484050750732422,38.022926330566406,15.78142261505127,0.0018091424135491252,0.0018091424135491252,7.458139407390263e-06,7.458139407390263e-06,0.0005,0.5,0.36182848270982504,0,0,0.0,1,0,0,0.0,43.50697708129883,5.881167888641357,0.0015102112665772438,0.003090051468461752,0.0028941010978620406,0.0,0.9949219978092299,2.390018531698512e-06,0.0,5.709006439382456,5.302519034983531,4.876884809667121,0.9370053443998198,0:43.5814583086;24:0;47:6.09282164024,0.010152871397141397,False,False
50,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.78227480669423,9.690099659637038,9.690099659637038,34.09217514705719,23.732749938964844,0.25,0.005,29.50311851501465,882.376220703125,43.77075958251953,9.407304763793945,34.363454818725586,23.732749938964844,0.0027775256894528866,0.0027775256894528866,1.1215855920454487e-05,1.1215855920454487e-05,0.0005,0.5,0.5555051378905773,0,0,0.0,1,0,0,0.0,43.77075958251953,9.593734741210938,0.0015099098673090339,0.004982861690223217,0.004617161314068749,0.0,0.9918304564878485,1.927473468086395e-06,47.650275227235234,9.509121599888033,9.318506092724807,9.117629779487416,0.9813234057330857,0:43.7822748067;24:47.6502752272;47:9.69009965964,0.01890276730466674,False,False
75,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.78932588797117,12.494504490182957,12.494504490182957,31.294821397788212,27.467693328857422,0.25,0.005,34.35063171386719,1691.50341796875,43.79195022583008,12.27049732208252,31.52145290374756,27.467693328857422,0.0032342765480279922,0.0032342765480279922,1.2980952305952087e-05,1.2980952305952087e-05,0.0005,0.5,0.6468553096055984,0,0,0.0,1,0,0,0.0,43.79195022583008,11.879993438720703,0.00124375952873379,0.006430757697671652,0.005961585742054376,0.0,0.9904675943695981,2.7178390071355326e-05,50.42111427598328,13.22552345725715,15.743851003202124,21.145771320555518,1.058507239534674,0:43.789325888;24:50.421114276;47:12.4945044902,0.027039791213814463,False,False
100,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.4751962575405,85.13697206722244,85.13697206722244,-41.66177580968194,5.580628395080566,0.25,0.005,8.23725700378418,2303.116455078125,43.50099563598633,85.13716888427734,-41.636173248291016,5.580628395080566,0.0007758780848234892,0.0007758780848234892,2.6373481887276284e-06,2.6373481887276284e-06,0.0005,0.5,0.15517561696469784,0,0,0.0,1,0,3,0.03,85.13716888427734,85.45854187011719,0.011808362789452076,0.0433792807161808,0.04036564376893575,0.0,0.9967795207899325,0.0006521536819334011,53.303461682694866,85.04468712249817,84.47051447766073,84.82046853014168,0.9989160414977948,0:43.4751962575;24:53.3034616827;47:85.1369720672,0.02081945755359938,False,False
125,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.197116426071254,77.49030470057384,77.49030470057384,-34.29318827450259,-11.518476486206055,0.25,0.005,13.843133926391602,2468.428955078125,43.20763397216797,78.07982635498047,-34.8721923828125,-11.518476486206055,-0.001302893739193678,0.001302893739193678,-5.443514965008944e-06,5.443514965008944e-06,0.0005,0.5,0.2605787478387356,0,0,0.0,1,0,3,0.024,78.07982635498047,77.6855697631836,0.005062337964773178,0.039628636091947556,0.036488390768418665,0.0,1.0036311233539437,6.741038479962833e-05,72.71412926246178,77.88659587829186,78.31249512148051,78.77616561726126,1.0051140743251599,0:43.1971164261;24:72.7141292625;47:77.4903047006,0.011679397964006185,False,False
150,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,43.04881281565471,74.29367575993453,74.29367575993453,-31.244862944279816,-19.957677841186523,0.25,0.005,24.740779876708984,2972.115478515625,43.051490783691406,74.5888671875,-31.537376403808594,-19.957677841186523,-0.0023292158730328083,0.0023292158730328083,-9.431794751435518e-06,9.431794751435518e-06,0.0005,0.5,0.46584317460656166,0,0,0.0,1,0,3,0.02,74.5888671875,74.38076782226562,0.003072763793170452,0.038390085101127625,0.03486499644702367,0.0,1.0070371908366342,3.948749521176149e-05,76.20974242440448,74.49603704853656,74.70572332787131,74.92213063906439,1.0027238023496903,0:43.0488128157;24:76.2097424244;47:74.2936757599,0.003657690948315514,False,False
175,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,39.98507542882881,67.73117034125198,67.73117034125198,-27.746094912423175,-23.90951156616211,0.25,0.005,29.8902587890625,3666.944580078125,40.309730529785156,68.4193344116211,-28.109603881835938,-23.90951156616211,-0.0028139716014266014,0.0028139716014266014,-1.1299392099317629e-05,1.1299392099317629e-05,0.0005,0.5,0.5627943202853203,0,0,0.0,1,0,3,0.017142857142857144,68.4193344116211,68.34757995605469,0.0012542404001578689,0.0356939472258091,0.03173755207960582,0.0,1.0085497184151286,3.3316357738646693e-05,67.09831151744635,67.82107763908452,67.90688359615882,67.97131625425891,1.001327413912672,0:39.9850754288;24:67.0983115174;47:67.7311703413,-0.004304165130911868,False,False
200,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,41.3739318061205,58.35445773732047,58.35445773732047,-16.98052593119997,-22.914140701293945,0.25,0.005,28.897397994995117,4441.8466796875,41.361080169677734,58.51374435424805,-17.152664184570312,-22.914140701293945,-0.0027204800862818956,0.0027204800862818956,-1.0828989616129547e-05,1.0828989616129547e-05,0.0005,0.5,0.5440960172563791,0,0,0.0,1,0,3,0.015,58.51374435424805,58.5740966796875,-0.00013431387196760625,0.03144407644867897,0.027346257415549177,0.001890359168241966,1.0084615754833293,1.681896383694234e-05,60.722804379066766,58.289374884407,58.252471999157834,58.242748035946136,0.9988846978373711,0:41.3739318061;24:60.7228043791;47:58.3544577373,-0.009491538989258473,False,False
225,regularized_plane_flux_controlled_pressure_outlet,plane_flux_control_candidate_48,True,False,False,1,True,0.7,41.4405879741029,54.99106591941627,54.99106591941627,-13.550477945313375,-19.739933013916016,0.25,0.005,24.935714721679688,5103.0966796875,41.43455505371094,54.974571228027344,-13.540016174316406,-19.739933013916016,-0.0023472411558032036,0.0023472411558032036,-9.328890882898122e-06,9.328890882898122e-06,0.0005,0.5,0.4694482311606407,0,0,0.0,1,0,3,0.013333333333333334,54.974571228027344,55.07299041748047,0.0001930901053128764,0.03004992939531803,0.025799227248317656,0.0,1.0073236952657285,1.1017991913854113e-05,24.191309831955966,54.89007997009494,54.784559193276806,54.66352317391146,0.9981635935286413,0:41.4405879741;24:24.191309832;47:54.9910659194,-0.013139023797066616,False,False
