step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999969005584717,1.049536943435669,1.0021985481084144,101791.30213427544,223.3021342754364,0.0021985481084144257
10,0.9999653697013855,1.0534439086914062,1.0044874795715464,102023.78432512283,455.78432512283325,0.004487479571546484
15,0.9998729825019836,1.055024266242981,1.0065539796498064,102233.67460507154,665.6746050715446,0.006553979649806481
20,0.9996993541717529,1.0531331300735474,1.0087323348855373,102454.92578965425,886.9257896542549,0.008732334885537324
25,0.9994313716888428,1.055232286453247,1.0108475934610794,102669.76837265491,1101.7683726549149,0.010847593461079424
30,0.9990651607513428,1.0553185939788818,1.0129588148095976,102884.20090258121,1316.200902581215,0.012958814809597657
35,0.9986063241958618,1.0542048215866089,1.0150415648470932,103095.74165838957,1527.7416583895683,0.01504156484709326
40,0.998066782951355,1.0528253316879272,1.0170947755871795,103304.28216683865,1736.282166838646,0.017094775587179485
45,0.9974669814109802,1.0537364482879639,1.0191145878972951,103509.43046355247,1941.430463552475,0.01911458789729516
50,0.9968344569206238,1.0538724660873413,1.0210979968900942,103710.88134813309,2142.881348133087,0.021097996890094194
55,0.996197521686554,1.0532416105270386,1.0230442613836264,103908.55954021215,2340.5595402121544,0.023044261383626283
60,0.9955812692642212,1.0518274307250977,1.0249538436613006,104102.51199299097,2534.5119929909706,0.024953843661300514
65,0.9950094223022461,1.0497376918792725,1.0268289525016072,104292.96304768324,2724.963047683239,0.02682895250160719
70,0.9945270419120789,1.048664927482605,1.0286733515651,104480.29497176409,2912.2949717640877,0.02867335156510011
75,0.9942158460617065,1.0475951433181763,1.030495424200936,104665.35924524069,3097.3592452406883,0.030495424200936202
80,0.9964883327484131,1.0463733673095703,1.0323008780350653,104848.73558026552,3280.735580265522,0.03230087803506539
85,1.0193978548049927,1.0460586547851562,1.033574881724586,104978.13358700275,3410.133587002754,0.03357488172458603
90,1.02213454246521,1.053364872932434,1.0333243359969466,104952.68615853786,3384.6861585378647,0.03332433599694652
95,1.014494776725769,1.0429481267929077,1.0329166841261892,104911.28177332878,3343.281773328781,0.032916684126189165
100,1.013541579246521,1.041128396987915,1.0321582451828937,104834.24864673615,3266.248646736145,0.032158245182893674
105,1.0059771537780762,1.0410875082015991,1.0309038153299668,104706.83871543407,3138.8387154340744,0.030903815329966864
110,0.9983066320419312,1.0405210256576538,1.029225079035803,104536.33282750845,2968.3328275084496,0.029225079035803105
115,0.9913792014122009,1.0399118661880493,1.0270961507874357,104320.10184317827,2752.1018431782722,0.02709615078743573
120,0.9837415218353271,1.0390806198120117,1.024566253813872,104063.14526736736,2495.145267367363,0.024566253813872115
125,0.9780330061912537,1.038084626197815,1.0216875471076128,103770.760784626,2202.760784626007,0.021687547107612705
130,0.9733677506446838,1.0374559164047241,1.0185269790900509,103449.74821221828,1881.7482122182846,0.018526979090050848
135,0.9704216122627258,1.037509560585022,1.0151612737733064,103107.9002546072,1539.9002546072006,0.015161273773306559
140,0.968992292881012,1.0371326208114624,1.0116736332609517,102753.66758304834,1185.6675830483437,0.011673633260951714
145,0.968956708908081,1.0363001823425293,1.0081486121341163,102395.63823723793,827.6382372379303,0.008148612134116358
150,0.9697327017784119,1.0353859663009644,1.004670005228908,102042.32309108973,474.3230910897255,0.004670005228907978
155,0.9702907800674438,1.0342828035354614,1.0013188285460881,101701.95077776909,133.95077776908875,0.001318828546088224
160,0.9706419706344604,1.0330917835235596,0.9981774455775573,101382.88679242134,-185.11320757865906,-0.0018225544224426892
165,0.9702192544937134,1.0329605340957642,0.9953351514255505,101094.20065999031,-473.79934000968933,-0.0046648485744495245
170,0.9693418145179749,1.0398268699645996,0.9928280571557784,100839.5601091981,-728.4398908019066,-0.00717194284422167
175,0.9691962003707886,1.0409494638442993,0.9905843290347176,100611.6691313982,-956.330868601799,-0.009415670965282362
180,0.9696916937828064,1.025409460067749,0.9886125229743897,100411.39673346281,-1156.6032665371895,-0.011387477025610325
185,0.9689750671386719,1.0113344192504883,0.9869978423509101,100247.39685189724,-1320.6031481027603,-0.013002157649089874
190,0.9684209227561951,1.0164117813110352,0.9857208709430276,100117.69741994143,-1450.3025800585747,-0.01427912905697242
195,0.9682477712631226,1.0217753648757935,0.9847414065445829,100018.2151799202,-1549.7848200798035,-0.015258593455417094
200,0.9671298861503601,1.0259544849395752,0.9840299932887072,99945.95835834742,-1622.041641652584,-0.01597000671129277
205,0.955951452255249,1.0281527042388916,0.983528492056777,99895.02188122272,-1672.978118777275,-0.016471507943223013
210,0.9452760219573975,1.030638575553894,0.9831725689233354,99858.87148040533,-1709.1285195946693,-0.01682743107666459
215,0.9357187747955322,1.030137300491333,0.9828935581920804,99830.53291845322,-1737.4670815467834,-0.017106441807919655
220,0.9275804162025452,1.0285919904708862,0.9826218649180443,99802.93757599592,-1765.062424004078,-0.017378135081955712
