step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9997081756591797,1.0495445728302002,0.026628755033016205,0.026546284556388855,0.3490747809410095,0.026546284556388855,0.3490747809410095,0,0.0,3859584,101568,101790.9453125,0.0021950349765674226,0,0,True
10,lightweight_reduction,0.9982950687408447,1.0540794134140015,0.027877219021320343,0.026444068178534508,0.35170358419418335,0.026444068178534508,0.35170358419418335,0,0.0,3859584,101568,102024.25,0.004492064429741651,0,0,True
15,lightweight_reduction,0.996922492980957,1.0564875602722168,0.028247596696019173,0.026502056047320366,0.3515811562538147,0.026502056047320366,0.3515811562538147,0,0.0,3859584,101568,102232.1015625,0.006538492069352552,0,0,True
20,lightweight_reduction,0.9958314895629883,1.0545425415039062,0.02808034047484398,0.026470722630620003,0.3523913025856018,0.026470722630620003,0.3523913025856018,0,0.0,3859584,101568,102439.625,0.00858168911468179,0,0,True
25,lightweight_reduction,0.9948610067367554,1.057106852531433,0.027735553681850433,0.026463981717824936,0.35265955328941345,0.026463981717824936,0.35265955328941345,0,0.0,3859584,101568,102605.7265625,0.010217062091406742,0,0,True
30,lightweight_reduction,0.9940407872200012,1.057600736618042,0.0283189844340086,0.026498349383473396,0.3522433042526245,0.026498349383473396,0.3522433042526245,0,0.0,3859584,101568,102777.0,0.011903355387523629,0,0,True
35,lightweight_reduction,0.9933335185050964,1.0567010641098022,0.028454771265387535,0.026532357558608055,0.35200074315071106,0.026532357558608055,0.35200074315071106,0,0.0,3859584,101568,102948.0078125,0.0135870334406506,0,0,True
40,lightweight_reduction,0.9927272796630859,1.055006980895996,0.028233911842107773,0.026500264182686806,0.3524077832698822,0.026500264182686806,0.3524077832698822,0,0.0,3859584,101568,103123.484375,0.015314709111137366,0,0,True
45,lightweight_reduction,0.9922070503234863,1.0562275648117065,0.02777029201388359,0.02647589147090912,0.35245370864868164,0.02647589147090912,0.35245370864868164,0,0.0,3859584,101568,103275.21875,0.016808628209672338,0,0,True
50,lightweight_reduction,0.99176025390625,1.055554986000061,0.02866210974752903,0.026426997035741806,0.35192161798477173,0.026426997035741806,0.35192161798477173,0,0.0,3859584,101568,103448.0390625,0.018510151450259926,0,0,True
55,lightweight_reduction,0.9913766980171204,1.0524663925170898,0.03046947345137596,0.02624898962676525,0.3505561053752899,0.02624898962676525,0.3505561053752899,0,0.0,3859584,101568,103644.671875,0.02044612353300252,0,0,True
60,lightweight_reduction,0.9910471439361572,1.0498754978179932,0.03151627629995346,0.02614932507276535,0.3497024476528168,0.02614932507276535,0.3497024476528168,0,0.0,3859584,101568,103822.71875,0.02219910552536232,0,0,True
65,lightweight_reduction,0.9907640814781189,1.0475348234176636,0.03206082060933113,0.026055315509438515,0.3494330644607544,0.026055315509438515,0.3494330644607544,0,0.0,3859584,101568,103993.671875,0.02388224514610901,0,0,True
70,lightweight_reduction,0.9905214309692383,1.0458866357803345,0.032230012118816376,0.025989416986703873,0.34915584325790405,0.025989416986703873,0.34915584325790405,0,0.0,3859584,101568,104157.890625,0.02549908066517013,0,0,True
75,lightweight_reduction,0.9903521537780762,1.04568350315094,0.032123737037181854,0.02595570497214794,0.34886932373046875,0.02595570497214794,0.34886932373046875,0,0.0,3859584,101568,104296.2421875,0.026861237668360113,0,0,True
