step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9997079968452454,1.049526572227478,1.0021897196874172,101790.4054492116,222.40544921159744,0.0021897196874172717,0.02564507252703965,0.00018037657578812917,0.0,56.75498195655012,0.3815654300640058,56.37341652648611,0.9932769702868354,0.026454372031414236,0.04582031644073855
10,0.9982999563217163,1.0528329610824585,1.00440838054015,102015.75039470196,447.7503947019577,0.0044083805401500245,0.01886806166281885,0.0009728317431054063,0.0,41.250506485452036,2.055030277652752,39.19547620779928,0.9501816958689341,0.027639816397714713,0.04787356631271727
15,0.9969204068183899,1.0536577701568604,1.0063225374531843,102210.16748404503,642.1674840450287,0.006322537453184356,0.020034583825054658,0.001752232476590916,0.0,43.92563553938942,3.6963665070051785,40.22926903238424,0.9158494473303513,0.027453330027916827,0.04755056244530825
20,0.9958285093307495,1.0520141124725342,1.0082876799251383,102409.76307463646,841.7630746364594,0.008287679925138423,0.020084949081767146,0.0023721309153394796,0.0,44.04406660633848,4.998563693885261,39.04550291245322,0.8865099415419124,0.026882832265078965,0.0465624313344687
25,0.9948588013648987,1.053523063659668,1.0101458188058325,102598.4905244708,1030.4905244708061,0.010145818805832606,0.019871652117509585,0.0029174610187316275,3.168961914975042e-10,43.568660023182346,6.141707986795126,37.42695203638722,0.8590338104608405,0.026587795343179756,0.046051412395630535
30,0.9940377473831177,1.0532540082931519,1.0119686106439367,102783.62784588337,1215.6278458833694,0.011968610643936766,0.01999156499749828,0.0033780380631031185,1.4243602673097107e-07,43.84589145349025,7.105422697175122,36.74046875631513,0.8379455300911778,0.026787916499022252,0.04639803240521915
35,0.9933305978775024,1.0519555807113647,1.01374550721131,102964.10367643833,1396.1036764383316,0.013745507211309975,0.019934765762158288,0.0037724846407453335,5.2511706886152734e-05,43.72262305324516,7.929458351617174,35.79316470162799,0.8186417511602466,0.026637966410459114,0.04613831123322834
40,0.9927239418029785,1.0509816408157349,1.0154862405295662,103140.90647810698,1572.9064781069756,0.015486240529566158,0.019955805578534904,0.004109006890250697,0.0026403407537695708,43.77455967566367,8.631518347287415,35.143041328376256,0.8028188424683098,0.02622067859993241,0.045415547544016915
45,0.9922032356262207,1.0515236854553223,1.017196319897547,103314.59581935406,1746.5958193540573,0.017196319897547035,0.01994631719284309,0.004396023762921604,0.01871883741092282,43.7576719121395,9.229581417843136,34.528090494296364,0.789075126382978,0.02577133773671966,0.04463726633901557
50,0.9917559623718262,1.0503358840942383,1.0188798750888628,103485.59115302563,1917.5911530256271,0.0188798750888629,0.019950669407598067,0.004640789386023642,0.021584319256224963,43.771238901992334,9.73906994389636,34.03216895809597,0.7775007016433098,0.026617864579963284,0.046103493841484426
55,0.991371750831604,1.046923279762268,1.0205411154937607,103654.32001847029,2086.3200184702873,0.020541115493760705,0.019947139543634338,0.004849368234522401,0.020141488733606338,43.76723372885228,10.172833816377386,33.5943999124749,0.7675696417232959,0.02813802536467993,0.04873648955628743
