step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999900460243225,1.0033235549926758,1.0001127233255769,101579.4490827322,11.449082732200623,0.0001127233255769595
10,0.9998850226402283,1.0081647634506226,1.000466044650078,101615.33522301912,47.33522301912308,0.00046604465007800763
15,0.9996336698532104,1.0119658708572388,1.0010089362227952,101670.47563427687,102.47563427686691,0.0010089362227952397
20,0.9992672801017761,1.0161086320877075,1.0017461221055999,101745.35013002157,177.3501300215721,0.0017461221055999146
25,0.9987994432449341,1.0202419757843018,1.0026721186676517,101839.40174883604,271.4017488360405,0.0026721186676516274
30,0.9982433915138245,1.0243637561798096,1.0037821875984894,101952.14923000336,384.14923000335693,0.003782187598489258
35,0.9976112246513367,1.0285218954086304,1.0050738615165191,102083.34196650982,515.341966509819,0.00507386151651917
40,0.9969120621681213,1.0326834917068481,1.0065443718098175,102232.69875597954,664.698755979538,0.0065443718098174425
45,0.99615478515625,1.0368597507476807,1.0081918829478085,102400.033167243,832.0331672430038,0.008191882947808402
50,0.9953457117080688,1.0410488843917847,1.0100149140407455,102585.19478929043,1017.1947892904282,0.010014914040745395
55,0.9945025444030762,1.0417293310165405,1.0118907295899828,102775.71762299538,1207.7176229953766,0.011890729589982834
60,0.9937217235565186,1.040899634361267,1.0136839239444366,102957.84878718853,1389.84878718853,0.013683923944436535
65,0.9930604696273804,1.0412168502807617,1.0154471821178082,103136.93939334154,1568.9393933415413,0.01544718211780818
70,0.9924918413162231,1.0411689281463623,1.017174404635016,103312.36992996931,1744.3699299693108,0.017174404635016054
75,0.9920048713684082,1.0411629676818848,1.0188719905142936,103484.79033255577,1916.7903325557709,0.018871990514293585
80,0.9916125535964966,1.0411673784255981,1.02053528834632,103653.72816675901,2085.728166759014,0.020535288346319847
85,0.9914116859436035,1.0411241054534912,1.0220893403942444,103811.5701251626,2243.5701251626015,0.022089340394244265
90,0.9912530779838562,1.041075348854065,1.0233136932133793,103935.9251922965,2367.925192296505,0.023313693213379262
95,0.9910524487495422,1.0409111976623535,1.0240729295055335,104013.03930401802,2445.0393040180206,0.02407292950553344
100,0.9915359020233154,1.040428876876831,1.0244401541380674,104050.33757549524,2482.337575495243,0.024440154138067532
105,0.9922741651535034,1.0397229194641113,1.0244212063527052,104048.41308683157,2480.4130868315697,0.02442120635270528
110,0.9931095838546753,1.0388410091400146,1.0240227033313136,104007.93793195486,2439.9379319548607,0.024022703331313608
115,0.9941952228546143,1.0377949476242065,1.0232541647428093,103929.87900459766,2361.879004597664,0.023254164742809388
120,0.9954000115394592,1.036605954170227,1.0221221795336126,103814.90553086996,2246.905530869961,0.022122179533612563
125,0.996773362159729,1.035300374031067,1.0206359077782547,103663.94788122177,2095.9478812217712,0.020635907778254678
130,0.9980583190917969,1.0339062213897705,1.0188373745382113,103481.27445709705,1913.2744570970535,0.018837374538211382
135,0.9981867074966431,1.0324463844299316,1.0169024302799632,103284.74603867531,1716.7460386753082,0.016902430279963257
140,0.9982763528823853,1.030901312828064,1.0150531819166537,103096.92158091068,1528.9215809106827,0.015053181916653696
145,0.9986523389816284,1.029371976852417,1.0132806193160988,102916.88594269753,1348.885942697525,0.013280619316098821
150,0.9990788102149963,1.0280908346176147,1.0115507852806045,102741.19015938044,1173.190159380436,0.011550785280604482
155,0.9994283318519592,1.0269945859909058,1.0098697121249818,102570.44692111015,1002.4469211101532,0.009869712124981818
160,0.9992109537124634,1.0260109901428223,1.0082260603495952,102403.50449758768,835.5044975876808,0.008226060349595157
165,0.998589038848877,1.0248650312423706,1.0066112293682818,102239.48934447765,671.4893444776535,0.006611229368281875
170,0.9976690411567688,1.022536277770996,1.0050094439474972,102076.7992028594,508.7992028594017,0.00500944394749726
175,0.9965637922286987,1.0172408819198608,1.0034097267588262,101914.31912744045,346.3191274404526,0.003409726758826132
180,0.9954032301902771,1.0092148780822754,1.001829545333437,101753.82326042652,185.8232604265213,0.001829545333436922
185,0.9944072961807251,1.0077331066131592,1.0003012722216091,101598.5996170044,30.59961700439453,0.0003012722216091144
190,0.992603063583374,1.0080395936965942,0.998835032051705,101449.67653542757,-118.32346457242966,-0.0011649679482950304
195,0.9874486923217773,1.0082709789276123,0.9974287969078435,101306.84804433584,-261.15195566415787,-0.002571203092156564
200,0.982648491859436,1.0084254741668701,0.9960881544138577,101170.6816675067,-397.3183324933052,-0.00391184558614234
205,0.9780771732330322,1.0085210800170898,0.9948181196866486,101041.68678033352,-526.313219666481,-0.005181880313351459
210,0.9740649461746216,1.0085599422454834,0.9936219187536721,100920.19104397297,-647.808956027031,-0.0063780812463278885
215,0.9710367918014526,1.0085384845733643,0.9925071099108741,100806.96213942766,-761.0378605723381,-0.0074928900891258875
220,0.9699341654777527,1.0084728002548218,0.9914887764349711,100703.53204494715,-864.4679550528526,-0.008511223565028874
225,0.9717006683349609,1.0083578824996948,0.9905767292400474,100610.89723545313,-957.1027645468712,-0.009423270759952654
230,0.9731321930885315,1.0081989765167236,0.9897467191656787,100526.59477221966,-1041.405227780342,-0.010253280834321263
235,0.9741169810295105,1.0079952478408813,0.9889644244492111,100447.13866245747,-1120.8613375425339,-0.011035575550788967
240,0.9752025604248047,1.0077437162399292,0.9882297153240182,100372.51572602987,-1195.484273970127,-0.011770284675981875
245,0.9764858484268188,1.0074503421783447,0.9875710620706233,100305.61763238907,-1262.3823676109314,-0.012428937929376688
250,0.9777985215187073,1.0070620775222778,0.987058991193654,100253.60761755705,-1314.3923824429512,-0.012941008806346006
