step,lbm_open_boundary_semantics,row_role,step135_interior_reflection_candidate,step136_ramped_throughput_calibration_candidate,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,open_boundary_inlet_ramp_steps,open_boundary_inlet_ramp_profile,open_boundary_inlet_ramp_factor,open_boundary_flux_control_target_scale,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_target_scale,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,x_profile_flux_samples,x_profile_ux_mean_samples,x_profile_rho_mean_samples,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,2,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":1.0,""12"":1.0,""18"":1.0,""24"":1.0,""30"":1.0,""36"":1.0,""42"":1.0,""45"":1.0,""46"":1.0,""47"":1.0,""6"":1.0}",0:0;6:0;12:0;18:0;24:0;30:0;36:0;42:0;45:0;46:0;47:0,0.0,False,False
5,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.05,1.0,1.9738331052726537,0.009405314917092051,0.009405314917092051,1.9644277903555616,0.05986985191702843,0.3499999940395355,0.005,0.07027889043092728,0.12368838489055634,1.4220860004425049,7.614865899085999e-05,1.422009851783514,0.05986985191702843,6.614078301936388e-06,6.614078301936388e-06,2.8293881015883926e-08,2.8293881015883926e-08,0.0005,0.5,0.0013228156603872776,0,0,0.0,2,1.0,0,0,0.0,1.4220860004425049,0.0041822269558906555,3.833350092463661e-06,4.477829861571081e-06,4.444886559472656e-06,0.0,0.9999930844246102,9.501572727969381e-09,0.0,0.0022022183163941823,0.00030865893647211975,6.614439108587527e-05,0.2341461541486659,"{""0"":1.9738331052726537,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.00030865893647211975,""46"":0.0022022183163941823,""47"":0.009405314917092051,""6"":0.0}","{""0"":0.0009313106220739318,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":1.4586909728418207e-07,""46"":1.0407474883849247e-06,""47"":4.444886559472656e-06,""6"":0.0}","{""0"":1.001613802010711,""12"":0.9999998807907104,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999998807907104,""45"":0.9999997631306909,""46"":0.9999984734056127,""47"":0.9999930844246102,""6"":0.9999998807907104}",0:1.97383310527;6:0;12:0;18:0;24:0;30:0;36:0;42:0;45:0.000308658936472;46:0.00220221831639;47:0.00940531491709,5.621917688985553e-05,False,False
10,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.1,1.0,4.308611787496796,0.09931650857637775,0.09931650857637775,4.209295278920418,0.34163618087768555,0.3499999940395355,0.005,0.48653751611709595,1.5681209564208984,3.9050543308258057,0.01386408694088459,3.891190243884921,0.34163618087768555,4.5828750444343314e-05,4.5828750444343314e-05,1.614537694649698e-07,1.614537694649698e-07,0.0005,0.5,0.009165750088868663,0,0,0.0,2,1.0,0,0,0.0,3.9050543308258057,0.07120193541049957,3.626302714110352e-05,4.829665704164654e-05,4.693973120506624e-05,0.0,0.999919831076732,5.4108016859185305e-08,0.0,0.05393090182467725,0.0245426318590729,0.008794790162708808,0.5430205169083503,"{""0"":4.308611787496796,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.00045281649322852777,""45"":0.0245426318590729,""46"":0.05393090182467725,""47"":0.09931650857637775,""6"":0.07281756853669616}","{""0"":0.0020289977674970198,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":2.139965309463044e-07,""45"":1.1598818277012394e-05,""46"":2.5488286140836815e-05,""47"":4.693973120506624e-05,""6"":3.4411179198345303e-05}","{""0"":1.0035540185488465,""12"":0.9999998807907104,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999996338933987,""45"":0.9999809949914088,""46"":0.999957172062762,""47"":0.999919831076732,""6"":1.0000474179737509}",0:4.3086117875;6:0.0728175685367;12:0;18:0;24:0;30:0;36:0;42:0.000452816493229;45:0.0245426318591;46:0.0539309018247;47:0.0993165085764,0.0002316048993214392,False,False
15,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.15,1.0,6.3307130960754066,0.30994993729523557,0.30994993729523557,6.020763158780171,0.793877899646759,0.3499999940395355,0.005,1.2250690460205078,6.108974456787109,5.9046478271484375,0.11571136862039566,5.788936458528042,0.793877899646759,0.00011541567801032215,0.00011541567801032215,3.751786152861314e-07,3.751786152861314e-07,0.0005,0.5,0.02308313560206443,0,0,0.0,2,1.0,0,0,0.0,5.9046478271484375,0.2594767212867737,0.00010405344073660672,0.0001536681520519778,0.00014651642138382577,0.0,0.9997457903308093,1.978339161209918e-07,0.0,0.22418318545410493,0.15115373815448405,0.09262735845298325,0.723288371697796,"{""0"":6.3307130960754066,""12"":0.00019201450135408738,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.00010258518349992095,""42"":0.022674350211130748,""45"":0.15115373815448405,""46"":0.22418318545410493,""47"":0.30994993729523557,""6"":1.6628354062896618}","{""0"":0.002976266628845167,""12"":9.074409381256482e-08,""18"":0.0,""24"":0.0,""30"":0.0,""36"":4.8480720301859096e-08,""42"":1.0715854908528592e-05,""45"":7.144250129074722e-05,""46"":0.000105966110700851,""47"":0.00014651642138382577,""6"":0.0007847775905832097}","{""0"":1.0052311048615858,""12"":0.9999999883663903,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998266789323,""42"":0.9999825273040112,""45"":0.9998771143489164,""46"":0.9998167452661212,""47"":0.9997457903308093,""6"":1.0013462683090866}",0:6.33071309608;6:1.66283540629;12:0.000192014501354;18:0;24:0;30:0;36:0.0001025851835;42:0.0226743502111;45:0.151153738154;46:0.224183185454;47:0.309949937295,0.0004985909774035647,False,False
20,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.2,1.0,8.507678102257021,0.6149887270332675,0.6149887270332675,7.892689375223753,1.388102650642395,0.3499999940395355,0.005,2.21868896484375,15.119232177734375,8.07496166229248,0.336384654045105,7.7385770082473755,1.388102650642395,0.00020904975826852024,0.00020904975826852024,6.560031806657207e-07,6.560031806657207e-07,0.0005,0.5,0.04180995165370405,0,0,0.0,2,1.0,0,0,0.0,8.07496166229248,0.547238290309906,0.00019111712754238397,0.00030750923906452954,0.0002907848182227418,0.0,0.9994929997084947,3.2047557840170905e-07,0.0,0.4983328612108435,0.39220896095122226,0.29692570927100104,0.8103121883466434,"{""0"":8.507678102257021,""12"":0.08324375683613155,""18"":0.0,""24"":0.0,""30"":2.6073306543582875e-05,""36"":0.0005859825748797275,""42"":0.14251921383654825,""45"":0.39220896095122226,""46"":0.4983328612108435,""47"":0.6149887270332675,""6"":4.104153978653644}","{""0"":0.003992523346184304,""12"":3.933778044305111e-05,""18"":0.0,""24"":0.0,""30"":1.2321980596334203e-08,""36"":2.769295100414623e-07,""42"":6.736093238223321e-05,""45"":0.0001854137161656999,""46"":0.00023560367957550226,""47"":0.0002907848182227418,""6"":0.0019330422339841216}","{""0"":1.007045223604754,""12"":1.000058587534892,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998712134046,""36"":0.9999995481765113,""42"":0.9998843860592418,""45"":0.9996778262191098,""46"":0.9995898382988229,""47"":0.9994929997084947,""6"":1.003382329735729}",0:8.50767810226;6:4.10415397865;12:0.0832437568361;18:0;24:0;30:2.60733065436e-05;36:0.00058598257488;42:0.142519213837;45:0.392208960951;46:0.498332861211;47:0.614988727033,0.0008577567090356057,False,False
25,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.25,1.0,10.643354811629223,0.9998344687520435,0.9998344687520435,9.64352034287718,2.1059772968292236,0.3499999940395355,0.005,3.437436103820801,29.769729614257812,10.215904235839844,0.649196207523346,9.566708028316498,2.1059772968292236,0.0003238774952478707,0.0003238774952478707,9.95263462755247e-07,9.95263462755247e-07,0.0005,0.5,0.06477549904957414,0,0,0.0,2,1.0,0,0,0.0,10.215904235839844,0.9170670509338379,0.0002896674268413335,0.0005000964156351984,0.00047290256224752673,0.0,0.9991731679169127,4.679669442243918e-07,1.2330710790209144e-06,0.8560953705907659,0.7215035694532526,0.5966817399649675,0.8562371045872349,"{""0"":10.643354811629223,""12"":1.3957943048525774,""18"":0.0007448010134612702,""24"":1.2330710790209144e-06,""30"":0.00015751458793555062,""36"":0.019602676880458973,""42"":0.3776621721657575,""45"":0.7215035694532526,""46"":0.8560953705907659,""47"":0.9998344687520435,""6"":6.100315818317213}","{""0"":0.004985952566092612,""12"":0.0006588929164469188,""18"":3.5198520639723404e-07,""24"":5.827368742979487e-10,""30"":7.44398029606766e-08,""36"":9.264167154285798e-06,""42"":0.00017853470166170456,""45"":0.00034117836930508687,""46"":0.00040486827232072344,""47"":0.00047290256224752673,""6"":0.002868512278952634}","{""0"":1.0088253714749853,""12"":1.0011191012052598,""18"":1.0000003840499654,""24"":0.9999998807907104,""30"":0.9999997838909098,""36"":0.9999848790959734,""42"":0.9996899679331338,""45"":0.9994047740456738,""46"":0.9992928730855593,""47"":0.9991731679169127,""6"":1.005031443047839}",0:10.6433548116;6:6.10031581832;12:1.39579430485;18:0.000744801013461;24:1.23307107902e-06;30:0.000157514587936;36:0.0196026768805;42:0.377662172166;45:0.721503569453;46:0.856095370591;47:0.999834468752,0.001304983562791618,False,False
30,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.3,1.0,12.798019268740049,1.4516551014788082,1.4516551014788082,11.34636416726124,2.925891399383545,0.3499999940395355,0.005,4.841472625732422,51.16026306152344,12.365577697753906,1.040283441543579,11.325294256210327,2.925891399383545,0.0004562229150906205,0.0004562229150906205,1.382746404487989e-06,1.382746404487989e-06,0.0005,0.5,0.0912445830181241,0,0,0.0,2,1.0,0,0,0.0,12.365577697753906,1.3564801216125488,0.000394166330806911,0.0007262810249812901,0.0006868638887756948,0.0,0.9987966572348247,6.096041367298022e-07,7.532723270508837e-05,1.2853720951768866,1.1267843850369283,0.9762689539574118,0.8854528144236683,"{""0"":12.798019268740049,""12"":3.898505477984044,""18"":0.08513903448864961,""24"":7.532723270508837e-05,""30"":0.0006075575948885928,""36"":0.12638990024734786,""42"":0.7016743997037279,""45"":1.1267843850369283,""46"":1.2853720951768866,""47"":1.4516551014788082,""6"":8.266704642906518}","{""0"":0.0059846517832823,""12"":0.001836480335697764,""18"":4.023326399769474e-05,""24"":3.559888799841818e-08,""30"":2.8712565299094396e-07,""36"":5.973672323960578e-05,""42"":0.00033179628836617776,""45"":0.0005330038114037366,""46"":0.0006081011060866067,""47"":0.0006868638887756948,""6"":0.0038802429860601262}","{""0"":1.0106241685005577,""12"":1.003217151180783,""18"":1.000061753904887,""24"":0.9999998476081624,""30"":0.9999995372189466,""36"":0.9998977080353717,""42"":0.9994213716575915,""45"":0.9990677737502385,""46"":0.9989355526484254,""47"":0.9987966572348247,""6"":1.0068337414237638}",0:12.7980192687;6:8.26670464291;12:3.89850547798;18:0.0851390344886;24:7.53272327051e-05;30:0.000607557594889;36:0.126389900247;42:0.701674399704;45:1.12678438504;46:1.28537209518;47:1.45165510148,0.0018366669294692542,False,False
35,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.35,1.0,14.95962004988544,1.9593784547574484,1.9593784547574484,13.000241595127992,3.8329524993896484,0.3499999940395355,0.005,6.403304100036621,79.91207122802734,14.527115821838379,1.4969784021377563,13.030137419700623,3.8329524993896484,0.0006034687394276261,0.0006034687394276261,1.8114142221747898e-06,1.8114142221747898e-06,0.0005,0.5,0.12069374788552523,0,0,0.0,2,1.0,0,0,0.0,14.527115821838379,1.853826642036438,0.0005005498533137143,0.000985318678431213,0.0009274917379004479,0.0,0.99837245869614,7.706087612439774e-07,0.001528833063748632,1.7740078015976741,1.5951672213846602,1.4232962752380847,0.9053931348945442,"{""0"":14.95962004988544,""12"":5.880494208823076,""18"":1.1874486423830841,""24"":0.001528833063748632,""30"":0.017164899040842313,""36"":0.34965260476706667,""42"":1.1018591543056,""45"":1.5951672213846602,""46"":1.7740078015976741,""47"":1.9593784547574484,""6"":10.400176696945874}","{""0"":0.006982985657062346,""12"":0.0027656440260764633,""18"":0.0005606359710088546,""24"":7.225103398591634e-07,""30"":8.112066081631918e-06,""36"":0.00016528977482141276,""42"":0.0005212026338864537,""45"":0.0007548584978097067,""46"":0.0008396142536661164,""47"":0.0009274917379004479,""6"":0.004873076675412208}","{""0"":1.0124309394783244,""12"":1.0048489081048335,""18"":1.000947802695525,""24"":1.0000007131149278,""30"":0.9999867373468294,""36"":0.9997131952660295,""42"":0.9990886857976085,""45"":0.9986771929917578,""46"":0.9985277238662842,""47"":0.99837245869614,""6"":1.0086069843381473}",0:14.9596200499;6:10.4001766969;12:5.88049420882;18:1.18744864238;24:0.00152883306375;30:0.0171648990408;36:0.349652604767;42:1.10185915431;45:1.59516722138;46:1.7740078016;47:1.95937845476,0.002450598733031344,False,False
40,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.4,1.0,17.128029580064535,2.5141001325251557,2.5141001325251557,14.613929447539379,4.813610076904297,0.3499999940395355,0.005,8.100981712341309,116.96208953857422,16.69362449645996,2.0084683895111084,14.685156106948853,4.813610076904297,0.0007633202476426959,0.0007633202476426959,2.274862936246791e-06,2.274862936246791e-06,0.0005,0.5,0.15266404952853918,0,0,0.0,2,1.0,0,0,0.0,16.69362449645996,2.3997747898101807,0.0006062196334823966,0.0012692302698269486,0.001190629000481727,0.0,0.9979078074765791,9.238499827313252e-07,0.0839457977321907,2.312523792755708,2.1165899299086623,1.9265509887633285,0.9198216741005518,"{""0"":17.128029580064535,""12"":8.028560656100728,""18"":3.6638500145348676,""24"":0.0839457977321907,""30"":0.11193952524883047,""36"":0.6631316431370595,""42"":1.5656127200967247,""45"":2.1165899299086623,""46"":2.312523792755708,""47"":2.5141001325251557,""6"":12.547109531629543}","{""0"":0.007980880496974168,""12"":0.0037692005066940516,""18"":0.0017262678449253405,""24"":3.966939899785607e-05,""30"":5.290630594567418e-05,""36"":0.0003135608616011593,""42"":0.0007408545668314375,""45"":0.0010020413555189244,""46"":0.0010949808755453363,""47"":0.001190629000481727,""6"":0.005868639858590971}","{""0"":1.0142447347339025,""12"":1.0066344987016544,""18"":1.0030225203821475,""24"":1.0000610793245313,""30"":0.9999096135279631,""36"":0.9994534854345827,""42"":0.998702114071197,""45"":0.9982413601954178,""46"":0.9980770936535076,""47"":0.9979078074765791,""6"":1.0103943147370855}",0:17.1280295801;6:12.5471095316;12:8.0285606561;18:3.66385001453;24:0.0839457977322;30:0.111939525249;36:0.663131643137;42:1.5656127201;45:2.11658992991;46:2.31252379276;47:2.51410013253,0.0031445533003148676,False,False
45,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,True,False,False,False,2,True,0.7,100,linear,0.45,1.0,19.30480160643519,3.108382870187656,3.108382870187656,16.196418736247537,5.8568196296691895,0.3499999940395355,0.005,9.90902328491211,162.86769104003906,18.868803024291992,2.5661275386810303,16.302675485610962,5.8568196296691895,0.0009338697418570518,0.0009338697418570518,2.7678734113578685e-06,2.7678734113578685e-06,0.0005,0.5,0.18677394837141037,0,0,0.0,2,1.0,0,0,0.0,18.868803024291992,2.9866907596588135,0.0007094615139067173,0.0015737988287582994,0.001472806130395718,0.0,0.997408860065536,1.0799419009567942e-06,1.0374064204976483,2.8930350356604055,2.6825032576251475,2.4771101439420926,0.930720299422365,"{""0"":19.30480160643519,""12"":10.162050995415143,""18"":5.667248308534537,""24"":1.0374064204976483,""30"":0.32479318980184907,""36"":1.0531725024875338,""42"":2.0826275370316862,""45"":2.6825032576251475,""46"":2.8930350356604055,""47"":3.108382870187656,""6"":14.705183486982982}","{""0"":0.00897902658447757,""12"":0.00476243619581276,""18"":0.0026658247903892543,""24"":0.0004898660130895536,""30"":0.00015353453969142231,""36"":0.0004981527427674205,""42"":0.000985934780471578,""45"":0.0012705611579271125,""46"":0.0013705217843965076,""47"":0.001472806130395718,""6"":0.006865820428884689}","{""0"":1.0160671351988058,""12"":1.0084070828664056,""18"":1.0046701630144355,""24"":1.0008023314192074,""30"":0.9997366393840605,""36"":0.9991293428131223,""42"":0.9982700408744452,""45"":0.9977670959804369,""46"":0.9975901876764622,""47"":0.997408860065536,""6"":1.0121920086260328}",0:19.3048016064;6:14.705183487;12:10.1620509954;18:5.66724830853;24:1.0374064205;30:0.324793189802;36:1.05317250249;42:2.08262753703;45:2.68250325763;46:2.89303503566;47:3.10838287019,0.003916892523524629,False,False
